Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;
2004 48 5;834;39044850098;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;835;39044850744;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;836;39044930837;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;837;39044911418;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;838;39044851669;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;839;39044851534;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;840;39044850908;3;1;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;841;39044921149;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;842;39044921170;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;843;39044921182;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;844;39044921181;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;845;39044921177;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;846;39044850811;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;847;39044921172;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;848;39044912036;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;849;39044921152;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;850;39044851072;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;851;39044840718;3;1;0;0;1;0;0;0;1;0;0;0;0;
2004 48 5;852;39044911435;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;853;39044911265;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;854;39044911181;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;855;39044850740;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;856;39044851040;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;857;39044851139;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;858;39044850943;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;859;39044850867;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;860;39044911138;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;861;39044840251;3;1;1;0;0;0;0;0;0;0;0;1;0;
2004 48 5;862;39044911145;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;863;39044911175;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;864;39044910219;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;865;39044930548;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;866;39044850742;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;867;39044850727;3;0;0;1;1;0;1;0;0;0;0;0;0;
2004 48 5;868;39044930790;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;869;39044851198;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;870;39044851203;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;871;39044840819;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;872;39044851222;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;873;39044850866;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;874;39044850203;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;875;39044911403;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;876;39044850775;3;1;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;877;39044930528;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;878;39044911400;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;879;39044911364;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;880;39044911245;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;881;39044850743;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;882;39044911225;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;883;39044920075;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;884;39044850169;3;0;0;1;1;0;0;0;0;0;0;0;0;
2004 48 5;885;39044920958;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;886;39044920848;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;887;39044850741;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;888;39044930273;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;889;39044911355;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;890;39044911359;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;891;39044911354;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;892;39044850261;3;1;1;0;1;0;0;0;0;0;0;0;0;
2004 48 5;893;39044911226;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;894;39044911158;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;895;39044911143;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;896;39044911177;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;897;39044850793;3;1;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;898;39044940939;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;899;39044911172;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;900;39044940910;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;901;39044911210;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;902;39044841390;3;1;0;0;0;0;0;0;0;0;0;1;0;
2004 48 5;903;39044911361;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;904;39044911276;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;905;39044940819;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;906;39044940742;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;907;39044850792;3;1;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;908;39044911357;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;909;39044911251;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;910;39044911353;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;911;39044911362;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;912;39044911358;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;913;39044850726;3;1;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;914;39044911351;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;915;39044911148;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;916;39044911363;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;917;39044911360;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;918;39044910222;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;919;39044911365;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;920;39044911272;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;921;39044911167;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;922;39044850262;3;1;1;0;1;0;0;0;0;0;0;0;0;
2004 48 5;923;39044911155;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;924;39044911352;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;925;39044911254;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;926;39044911162;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;927;39044910181;3;1;0;0;0;0;0;1;0;0;0;0;0;
2004 48 5;928;39044911199;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;929;39044911182;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;930;39044911249;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;931;39044910930;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;932;39044850820;3;1;0;0;0;0;0;0;0;0;0;0;1;
2004 48 5;933;39044930775;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;934;39044850794;3;1;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;935;39044920095;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;936;39044940947;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;937;39044920153;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;938;39044940918;3;0;0;1;0;0;1;0;0;0;0;0;0;
2004 48 5;939;39044850747;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;940;39044940909;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;941;39044940157;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;942;39044851601;3;0;0;1;0;0;0;0;0;0;0;1;0;
2004 48 5;943;39044940741;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;944;39044850245;3;1;1;0;1;0;0;0;0;0;0;0;0;
2004 48 5;945;39044940365;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;946;39044950452;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;947;39044950155;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;948;39044950104;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;949;39045110287;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;950;39044850099;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;951;39044911192;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;952;39044920975;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;953;39044920871;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;954;39044920158;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;955;39044850087;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;956;39044920982;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;957;39044940709;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;958;39044940710;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;959;39045050135;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;960;39044850490;3;1;0;0;1;0;0;0;1;0;0;0;0;
2004 48 5;961;39044930235;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;962;39044920991;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;963;39044920949;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;964;39044940825;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;965;39044910805;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;966;39044940122;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;967;39044950032;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;968;39045110289;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;969;39045110285;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;970;39044910225;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;971;39044940571;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;972;39044911174;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;973;39044910676;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;974;39044940111;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;975;39044920962;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;976;39044850263;3;1;1;0;1;0;0;0;0;0;0;0;0;
2004 48 5;977;39044920948;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;978;39044920960;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;979;39044920851;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;980;39044940480;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;981;39044850131;3;1;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;982;39044940155;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;983;39044950805;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;984;39044950803;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;985;39044950440;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;986;39044910702;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;987;39045050548;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;988;39045120131;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;989;39045140163;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;990;39045150041;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;991;39044850784;3;1;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;992;39044911257;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;993;39044911261;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;994;39044911006;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;995;39044920984;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;996;39044850586;3;1;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;997;39044840684;3;0;0;1;0;1;0;0;0;0;0;1;1;
2004 48 5;998;39044851445;3;0;0;1;0;0;1;0;0;0;0;0;0;
2004 48 5;999;39044940826;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1000;39044850022;3;1;0;0;1;0;0;0;1;0;0;0;0;
2004 48 5;1001;39044920951;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1002;39044920974;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1003;39044920808;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1004;39044920031;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1005;39044940938;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1006;39044840754;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1007;39044940575;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1008;39044940372;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1009;39044940363;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1010;39044940911;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1011;39044850251;3;1;1;0;1;0;0;0;0;0;0;0;0;
2004 48 5;1012;39044940181;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1013;39044940203;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1014;39044950102;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1015;39044950110;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1016;39044910231;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1017;39044950143;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1018;39044950128;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1019;39045120127;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1020;39045120126;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1021;39044910082;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1022;39044920027;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1023;39044950469;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1024;39045040247;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1025;39045110288;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1026;39044950443;3;0;0;0;0;0;0;0;0;1;0;1;0;
2004 48 5;1027;39044850197;3;1;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;1028;39044950500;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1029;39044851609;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1030;39044950166;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1031;39044851664;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1032;39044851515;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1033;39044851503;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1034;39045050550;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1035;39044841650;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1036;39044851422;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1037;39044850771;3;1;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;1038;39045150199;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1039;39044851096;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1040;39045220025;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1041;39044940912;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1042;39044940737;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1043;39044840134;3;1;1;0;1;0;0;1;1;0;0;0;0;
2004 48 5;1044;39044911012;3;1;1;0;0;0;0;1;0;0;0;1;1;
2004 48 5;1045;39045020868;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1046;39044912407;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1047;39044910608;3;1;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;1048;39044931014;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1049;39044931021;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1050;39044911065;2;1;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;1;39044912236;8;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;2;39045210921;8;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;3;39044912470;8;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;4;39044912284;8;1;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;5;39044930951;8;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;6;39044921055;8;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;7;39044910232;8;1;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;8;39044921054;8;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;9;39044910940;8;0;0;1;1;0;0;0;0;0;0;0;0;
2004 49 1;10;39044911020;8;1;1;0;0;0;0;0;0;0;1;0;1;
2004 49 1;11;39044912287;8;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;12;39044912238;4;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;13;39044910572;4;1;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;14;39044921133;4;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;15;39044930094;4;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;16;39044911069;10;1;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;17;39044911091;6;0;0;1;1;0;1;0;0;0;0;0;0;
2004 49 1;18;39045030760;6;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;19;39044911123;10;1;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;20;39045030730;1;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;21;39044912332;1;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;22;39045030739;1;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;23;39044911024;10;1;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;24;39044910949;16;0;0;1;1;0;0;0;0;0;0;0;0;
2004 49 1;25;39044912405;16;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;26;39044930933;16;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;27;39044910117;10;1;0;0;0;0;0;0;0;0;0;1;0;
2004 49 1;28;39044930888;16;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;29;39044910932;16;0;0;1;1;0;0;0;0;0;0;0;0;
2004 49 1;30;39044911056;10;1;1;0;0;0;0;1;0;0;0;0;1;
2004 49 1;31;39044912467;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;32;39044912239;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;33;39044912286;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;34;39044911544;10;1;0;0;0;0;0;0;1;0;0;0;0;
2004 49 1;35;39044912371;13;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;36;39044930930;13;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;37;39044851421;13;1;0;0;1;0;0;0;0;0;0;0;0;
2004 49 1;38;39044912377;13;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;39;39044912374;13;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;40;39044911025;13;1;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;41;39044912446;13;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;42;39045030677;13;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;43;39045030676;13;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;44;39044912293;13;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;45;39045030706;13;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;46;39044910169;2;1;0;0;1;0;0;0;0;0;0;0;0;
2004 49 1;47;39044912369;12;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;48;39044912420;12;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;49;39044912419;12;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;50;39044930886;12;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;51;39044912418;12;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;52;39044911129;10;1;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;53;39044912399;11;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;54;39044940611;11;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;55;39044910166;10;1;1;0;1;0;0;0;1;0;0;0;0;
2004 49 1;56;39044940216;11;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;57;39044912469;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;58;39044910078;10;1;0;0;0;0;0;0;0;0;0;1;1;
2004 49 1;59;39044930912;6;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;60;39045030765;6;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;61;39044911070;10;1;1;0;0;0;0;1;0;0;0;0;0;
2004 49 1;62;39045030748;6;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;63;39044912388;6;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;64;39044912339;6;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;65;39045030759;6;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;66;39044850783;17;1;0;0;1;0;0;0;0;0;0;0;0;
2004 49 1;67;39045020861;17;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;68;39044912404;17;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;69;39044911032;17;1;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;70;39044911098;17;0;0;1;1;0;1;0;0;0;0;0;0;
2004 49 1;71;39044912400;17;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;72;39044910119;17;1;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;73;39045030660;17;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;74;39044930884;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;75;39044930798;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;76;39044930270;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;77;39044910631;17;1;0;0;1;0;0;0;0;0;0;0;0;
2004 49 1;78;39044950816;12;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;79;39044921128;12;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;80;39044920980;12;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;81;39044930506;12;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;82;39044940907;12;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;83;39044940612;12;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;84;39044911066;2;1;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;85;39044940726;12;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;86;39044940135;12;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;87;39044911125;2;1;0;0;0;0;0;1;1;0;0;0;0;
2004 49 1;88;39050320015;2;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;89;39044910939;2;0;0;1;1;0;0;0;0;0;0;0;0;
