Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;
2004 49 2;65;22044920610;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;66;22044920439;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;67;22044920462;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;68;22044920588;5;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;69;22044920457;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;70;22044920560;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;71;22044920234;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;72;22044920594;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;73;22044920522;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;74;22044920446;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;75;22044920001;5;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 2;76;22044920569;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;77;22044920616;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;78;22044920022;5;0;1;1;0;1;0;1;0;0;0;0;0;
2004 49 2;79;22044920428;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;80;22044920711;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;81;22044920621;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;82;22044920578;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;83;22044920595;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;84;22044920628;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;85;22044910421;5;1;1;0;1;0;0;1;0;0;0;0;0;
2004 49 2;86;22044920554;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;87;22044920454;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;88;22044920631;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;89;22044920129;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;90;22044920612;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;91;22044920471;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;92;22044920308;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;93;22044920567;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;94;22044920615;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;95;22044920434;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;96;22044920228;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;97;22044920606;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;98;22044920085;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;99;22044920089;5;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 2;100;22044920668;5;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;101;22044920468;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;102;22044920523;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;103;22044920310;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;104;22044920476;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;105;22044920580;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;106;22044920444;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;107;22044920005;5;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 2;108;22044920441;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;109;22044920472;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;110;22044920285;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;111;22044920464;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;112;22044920435;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;113;22044920456;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;114;22044910068;5;1;1;0;1;0;0;1;0;0;0;0;0;
2004 49 2;115;22044920287;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;116;22044920230;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;117;22044920416;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;118;22044950221;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;119;22044920396;5;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;120;22044920577;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;121;22044920229;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;122;22044920429;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;123;22044920301;5;0;0;1;0;0;0;1;0;0;1;0;0;
2004 49 2;124;22044920698;5;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;125;22044920608;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;126;22044920629;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;127;22044950235;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;128;22044950231;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;129;22044920466;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;130;22044920630;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;131;22044920442;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;132;22044950230;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;133;22044920412;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;134;22044950232;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;135;22044920625;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;136;22044920528;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;137;22044920222;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;138;22044920521;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;139;22044950252;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;140;22044920420;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;141;22044920403;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;142;22044950234;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;143;22044920176;5;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 2;144;22044920303;5;0;0;1;0;0;0;1;0;0;1;0;0;
2004 49 2;145;22044920436;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;146;22044920307;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;147;22044920008;5;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 2;148;22044920603;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;149;22044950255;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;150;22044920469;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;151;22044920463;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;152;22044920245;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;153;22044920627;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;154;22044950239;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;155;22044920602;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;156;22044920467;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;157;22044950227;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;158;22044950228;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;159;22044920614;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;160;22044950253;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;161;22044920626;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;162;22044920289;5;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;163;22044920605;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;164;22044920415;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;165;22044920438;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;166;22044920524;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;167;22044920604;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;168;22044920447;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;169;22044920413;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;170;22044920480;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;171;22044920296;5;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;172;22044920003;5;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 2;173;22044950249;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;174;22044920453;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;175;22044920323;5;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;176;22044920110;5;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 2;177;22044920699;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;178;22044920465;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;179;22044920397;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;180;22044920433;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;181;22044920611;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;182;22044920516;5;0;0;1;0;0;0;0;0;0;1;0;0;
2004 49 2;183;22044920417;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;184;22044920520;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;185;22044920431;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;186;22044920570;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;187;22044920126;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;188;22044920737;3;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 2;189;22044910554;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;190;22044920734;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;191;22044920061;3;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 2;192;22044920227;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;193;22044920141;3;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 2;194;22044910738;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;195;22044920342;3;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 2;196;22044910541;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;197;22044920170;3;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 2;198;22044920072;3;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 2;199;22044920530;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;200;22044910491;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;201;22044910583;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;202;22044920035;3;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 2;203;22044920363;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;204;22044910477;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;205;22044910627;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;206;22044920683;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;207;22044920012;3;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 2;208;22044920194;3;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 2;209;22044910515;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;210;22044910447;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;211;22044910582;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;212;22044920062;3;0;0;1;0;0;0;1;0;0;0;0;0;
2004 49 2;213;22044910538;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;214;22044910661;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;215;22044920026;3;0;0;1;0;0;0;1;0;0;0;0;0;
2004 49 2;216;22044920264;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;217;22044920492;3;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 2;218;22044920196;3;0;0;1;0;0;0;1;0;0;0;0;0;
2004 49 2;219;22044910542;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;220;22044910490;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;221;22044920658;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;222;22044920197;3;0;0;1;0;0;0;1;0;0;0;0;0;
2004 49 2;223;22044920515;3;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 2;224;22044920421;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;225;22044920164;3;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 2;226;22044920123;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;227;22044920316;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;228;22044920006;3;0;0;1;0;0;0;1;0;0;0;0;0;
2004 49 2;229;22044920669;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;230;22044920573;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;231;22044920499;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;232;22044920077;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;233;22044920064;3;0;0;1;0;0;0;1;0;0;0;0;0;
2004 49 2;234;22044920302;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;235;22044920207;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;236;22044920226;3;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 2;237;22044920343;3;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 2;238;22044920662;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;239;22044920408;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;240;22044920069;3;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 2;241;22044920238;3;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 2;242;22044920375;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;243;22044920361;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;244;22044920163;3;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 2;245;22044920642;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;246;22044920125;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;247;22044920049;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;248;22044920646;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;249;22044920075;3;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 2;250;22044920080;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;251;22044920201;3;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 2;252;22044920517;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;253;22044920400;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;254;22044920473;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;255;22044920160;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;256;22044920280;3;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 2;257;22044920369;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;258;22044920740;3;1;0;0;1;0;0;1;0;0;0;0;0;
2004 49 2;259;22044920354;3;0;0;1;0;0;0;1;0;0;0;0;0;
2004 49 2;260;22044920367;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;261;22044920220;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;262;22044920703;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;263;22044920242;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;264;22044920184;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;265;22044920297;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;266;22044920295;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;267;22044920250;3;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 2;268;22044920266;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;269;22044920563;3;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 2;270;22044930689;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;271;22044920353;3;0;0;1;0;0;0;1;0;0;0;0;0;
2004 49 2;272;22044920500;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;273;22044920655;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;274;22044920014;3;0;0;1;0;0;0;1;0;0;0;0;0;
2004 49 2;275;22044920084;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;276;22044920411;3;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 2;277;22044920324;3;0;0;1;0;1;0;1;0;0;0;0;0;
2004 49 2;278;22044920083;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;279;22044920502;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;280;22044920060;3;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 2;281;22044920171;3;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 2;282;22044920312;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;283;22044920063;3;0;0;1;0;0;0;1;0;0;0;0;0;
2004 49 2;284;22044920330;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;285;22044920558;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;286;22044920474;3;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 2;287;22044920070;3;0;0;1;0;0;0;1;0;0;0;0;0;
2004 49 2;288;22044920485;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;289;22044920551;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;290;22044920634;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;291;22044920124;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;292;22044920066;3;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 2;293;22044920265;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;294;22044920553;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;295;22044920065;3;0;0;1;0;0;0;1;0;0;0;0;0;
2004 49 2;296;22044920391;3;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 2;297;22044920572;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;298;22044920272;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;299;22044920208;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;300;22044920011;3;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 2;301;22044910392;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;302;22044920491;3;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 2;303;22044920050;3;0;0;1;0;0;0;1;0;0;0;0;0;
2004 49 2;304;22044920122;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;305;22044920676;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;306;22044920460;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;307;22044920666;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;308;22044920665;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;309;22044920199;3;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 2;310;22044920335;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;311;22044920336;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;312;22044920376;3;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 2;313;22044920679;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;314;22044920192;3;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 2;315;22044920174;3;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 2;316;22044920381;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;317;22044920059;3;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 2;318;22044920331;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;319;22044950269;3;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;320;22044920030;3;0;0;1;0;0;0;1;0;0;0;0;0;
2004 49 2;321;22044920684;3;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;322;22044950271;3;0;1;0;0;0;0;0;0;0;0;0;0;
