Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;HPRC7;HPRC8;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;LPRC11;LPRC12;
2004 49 4;401;48045020355;12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 4;402;48045020304;12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 4;403;48044950146;12;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 4;404;48045020118;12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 4;405;48044930124;12;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 49 4;406;48044950212;12;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 4;407;48044950103;12;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 4;408;48045120090;12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 4;409;48045220175;12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 4;410;48044950120;12;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 4;411;48044930811;12;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 4;412;48044950200;12;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 4;413;48045020096;12;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 49 4;414;48044950197;12;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 4;415;48044930813;12;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 4;416;48044950130;12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;417;48044940766;12;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;418;48045220214;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;419;48044950118;12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;420;48044940744;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;421;48044950062;12;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 4;422;48044950100;12;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;
2004 49 4;423;48045220176;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 4;424;48045220149;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 4;425;48044950098;12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 4;426;48044940703;12;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;427;48045020349;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;1;48044950110;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 5;2;48044930830;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;3;48044940829;12;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 5;4;48045020117;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;5;48044930825;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;6;48045020081;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;7;48044950131;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;8;48044940705;11;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;9;48044940827;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 5;10;48044940749;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 5;11;48044950104;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;12;48045020135;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 5;13;48044940685;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 5;14;48044940679;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 5;15;48044940751;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 5;16;48044940017;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 5;17;48044940828;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 5;18;48044940639;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 5;19;48044940642;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 5;20;48044603661;2;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;
2004 49 5;21;48044950231;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;22;48044950235;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;23;48044950225;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;24;48044950261;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;25;48044950274;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;26;48044950218;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;
2004 49 5;27;48044950302;10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;
2004 49 5;28;48044950023;4;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;29;48044950230;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;30;48044950253;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;31;48044950045;4;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;
2004 49 5;32;48044950304;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 5;33;48045040062;3;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 49 5;34;48045110295;3;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 5;35;48044950314;13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;36;48044950291;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;37;48045010645;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;38;48045020034;13;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 49 5;39;48044950292;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;40;48045130041;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;41;48044950112;13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;42;48045050144;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;43;48045050045;3;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 49 5;44;48044950309;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 5;45;48044950308;10;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 5;46;48044940400;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 5;47;48044950315;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;48;48044950089;4;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;
2004 49 5;49;48044950185;4;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;50;48044950177;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;51;48044950138;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 5;52;48045030557;10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;
2004 49 5;53;48044950319;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 5;54;48044950152;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 5;55;48044950279;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;56;48044950219;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;57;48044950305;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;58;48044930495;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;59;48044950228;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;60;48045204392;9;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;
2004 49 5;61;48044940407;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;62;48044950233;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;63;48044950245;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;64;48045010376;9;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 49 5;65;48044950267;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;66;48045010692;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;67;48044950013;13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;68;48045040173;9;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 5;69;48044950240;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;70;48044950090;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;71;48044950272;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;72;48045010408;9;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 49 5;73;48044950287;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;74;48044950156;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;75;48044950241;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;76;48045050106;9;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 5;77;48044950252;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;78;48044950265;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;79;48044950123;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;80;48044950194;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;81;48044950183;4;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;82;48045010407;13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;83;48045210145;13;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;84;48045010355;13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;85;48045104064;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;86;48044950217;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;87;48044950150;4;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;88;48044950193;4;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;
2004 49 5;89;48044940392;13;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 49 5;90;48044950184;4;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;91;48044950122;4;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;92;48044950301;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;93;48045030413;4;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 49 5;94;48044950124;4;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;95;48044950168;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;96;48044950290;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;97;48045030019;4;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;
2004 49 5;98;48044950174;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;99;48044950190;4;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;100;48044950114;4;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;101;48044950167;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;102;48045050099;3;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 49 5;103;48044950094;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;104;48044950281;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;105;48044950246;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;106;48045010343;9;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 49 5;107;48044950232;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;108;48044950260;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;109;48044950027;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;110;48044950258;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;111;48044930100;9;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 5;112;48044950268;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;113;48045010686;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;114;48044950015;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;115;48045220120;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;116;48044950270;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;117;48044950096;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;
2004 49 5;118;48044950222;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;119;48044950170;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;120;48044940393;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 5;121;48045040111;5;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;
2004 49 5;122;48044950318;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 5;123;48050230005;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 5;124;48045010619;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 5;125;48045030811;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 5;126;48045120296;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 5;127;48044950285;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 5;128;48044950128;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 5;129;48045030324;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 5;130;48044950269;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;131;48044950006;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;132;48044950250;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;133;48045210072;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 5;134;48045010585;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;135;48045010415;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;136;48044950229;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;137;48045040080;3;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;
2004 49 5;138;48044950017;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 5;139;48044950294;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;140;48045010429;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;141;48044950293;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;142;48044950257;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;143;48045010414;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;144;48044950277;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;145;48050203720;5;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;
2004 49 5;146;48045020385;5;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 49 5;147;48044950221;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;148;48045010684;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;149;48045020356;5;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 49 5;150;48045010671;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;151;48045050040;5;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;152;48044950307;5;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;153;48045010674;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;154;48044950297;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;155;48045010375;13;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 49 5;156;48045030807;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 5;157;48044950206;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 5;158;48044950009;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 5;159;48045030241;10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;
2004 49 5;160;48044940264;10;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 5;161;48044950317;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 5;162;48044950016;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 5;163;48045220140;9;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;164;48044950295;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;165;48045010345;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;166;48044950262;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;167;48045010380;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;168;48045050119;9;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;169;48044950263;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;170;48045020379;9;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 49 5;171;48044950249;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;172;48045010690;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;173;48044950087;4;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;174;48044950172;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;175;48045004109;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;
2004 49 5;176;48045220082;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 5;177;48044950187;4;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;178;48044950171;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;179;48045010401;10;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;
2004 49 5;180;48044950198;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;181;48044950169;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;182;48044950012;4;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;183;48044950061;4;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;184;48045110464;4;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;185;48045030056;13;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 49 5;186;48044950192;4;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;187;48044950173;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 5;188;48045010365;13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;189;48044950176;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;190;48045010688;13;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 5;191;48044930520;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;
