Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;LPRC1;LPRC2;LPRC3;
2004 49 5;92;29044910383;8;1;0;0;0;1;1;0;
2004 49 5;93;29045050056;8;0;1;0;0;1;0;0;
2004 49 5;94;29045050054;8;0;1;0;0;1;0;0;
2004 49 5;95;29044950128;8;0;1;0;0;0;0;0;
2004 49 5;96;29044950279;8;1;0;0;0;1;0;0;
2004 49 5;97;29045050233;8;0;1;0;0;1;0;0;
2004 49 5;98;29044950280;8;1;0;0;0;1;0;0;
2004 49 5;99;29045050036;8;0;1;0;0;1;0;0;
2004 49 5;100;29045050055;8;0;1;0;0;1;0;0;
2004 49 5;101;29044960177;2;1;0;0;0;1;1;0;
2004 49 5;102;29045010126;2;1;0;0;0;0;0;0;
2004 49 5;103;29044960170;2;1;0;0;0;1;1;0;
2004 49 5;104;29044950147;9;0;1;1;0;0;0;0;
2004 49 5;105;29044950305;10;0;1;0;0;1;0;0;
2004 49 5;106;29044960125;2;1;0;0;0;1;1;0;
2004 49 5;107;29044950188;2;1;0;0;0;1;0;0;
2004 49 5;108;29044960146;2;1;0;0;0;1;1;0;
2004 49 5;109;29045030272;10;0;1;0;1;1;0;0;
2004 49 5;110;29045050109;10;0;1;0;0;1;0;0;
2004 49 5;111;29045050105;10;0;1;0;0;1;0;0;
2004 49 5;112;29044960228;10;1;0;0;0;1;1;0;
2004 49 5;113;29045050123;10;0;1;0;0;1;0;0;
2004 49 5;114;29045050112;10;0;1;0;0;1;0;0;
2004 49 5;115;29044902063;14;1;0;0;0;1;0;0;
2004 49 5;116;29044902062;14;1;0;0;0;1;0;0;
2004 49 5;117;29044950103;9;0;1;0;1;0;0;0;
2004 49 5;118;29044960186;2;1;0;0;0;1;1;0;
2004 49 5;119;29044950185;2;1;0;0;0;1;0;0;
2004 49 5;120;29044960128;2;1;0;0;0;1;1;0;
2004 49 5;121;29044950140;9;0;1;1;0;1;0;0;
2004 49 5;122;29044960152;2;1;0;0;0;1;1;0;
2004 49 5;123;29044950191;2;1;0;0;0;1;0;0;
2004 49 5;124;29044960169;2;1;0;0;0;1;1;0;
2004 49 5;125;29045050113;10;0;1;0;0;1;0;0;
2004 49 5;126;29044960227;10;1;0;0;0;1;1;0;
2004 49 5;127;29045050100;10;0;1;0;0;1;0;0;
2004 49 5;128;29045050287;10;0;1;0;0;1;0;0;
2004 49 5;129;29044950261;10;1;0;0;0;1;0;0;
2004 49 5;130;29045050111;10;0;1;0;0;1;0;0;
2004 49 5;131;29045050281;10;0;1;0;0;1;0;0;
2004 49 5;132;29044950106;10;0;1;0;1;0;0;0;
2004 49 5;133;29044950071;5;1;0;0;0;1;1;0;
2004 49 5;134;29044950222;5;1;0;0;0;1;0;0;
2004 49 5;135;29045050348;5;0;1;0;0;1;0;0;
2004 49 5;136;29044950073;5;1;0;0;0;1;1;0;
2004 49 5;137;29044950196;5;1;0;0;0;1;0;0;
2004 49 5;138;29045050330;5;0;1;0;0;1;0;0;
2004 49 5;139;29044950215;5;1;0;0;0;1;0;0;
2004 49 5;140;29044950294;4;0;1;0;0;1;0;0;
2004 49 5;141;29044950249;4;0;1;0;0;0;0;0;
2004 49 5;142;29044950163;4;0;1;0;0;0;0;0;
2004 49 5;143;29044950102;12;1;0;0;0;1;0;0;
2004 49 5;144;29044950100;12;1;0;0;0;1;0;0;
2004 49 5;145;29045050182;12;0;1;0;0;1;0;0;
2004 49 5;146;29044960247;12;1;0;0;0;1;1;0;
2004 49 5;147;29044950095;12;1;0;0;0;1;0;0;
2004 49 5;148;29045050142;12;0;1;0;0;1;0;0;
2004 49 5;149;29045050166;12;0;1;0;0;1;0;0;
2004 49 5;150;29044960234;12;1;0;0;0;1;1;0;
2004 49 5;151;29045050168;12;0;1;0;0;1;0;0;
2004 49 5;152;29045050135;12;0;1;0;0;1;0;0;
2004 49 5;153;29044960230;12;1;0;0;0;1;1;0;
2004 49 5;154;29045050133;12;0;1;0;0;1;0;0;
2004 49 5;155;29044950156;12;0;1;1;0;0;0;0;
2004 49 5;156;29044950099;12;1;0;0;0;1;0;0;
2004 49 5;157;29044950272;12;0;1;0;0;1;0;0;
2004 49 5;158;29045050143;12;0;1;0;0;1;0;0;
2004 49 5;159;29044950220;5;1;0;0;0;1;0;0;
2004 49 5;160;29044950223;5;1;0;0;0;1;0;0;
2004 49 5;161;29044950226;5;1;0;0;0;1;0;0;
2004 49 5;162;29045050346;5;0;1;0;0;1;0;0;
2004 49 5;163;29044910339;5;1;0;0;0;1;1;0;
2004 49 5;164;29045050257;11;0;1;0;0;1;0;0;
2004 49 5;165;29045050075;11;0;1;0;0;1;0;0;
2004 49 5;166;29045050073;11;0;1;0;0;1;0;0;
2004 49 5;167;29044960166;2;1;0;0;0;1;1;0;
2004 49 5;168;29045050074;11;0;1;0;0;1;0;0;
2004 49 5;169;29045050320;11;0;1;0;0;1;0;0;
2004 49 5;170;29045050060;11;0;1;0;0;1;0;0;
2004 49 5;171;29045010091;2;1;0;0;0;1;0;0;
2004 49 5;172;29044960143;2;1;0;0;0;1;1;0;
2004 49 5;173;29045010128;2;1;0;0;0;0;0;0;
2004 49 5;174;29045050149;13;0;1;0;0;1;0;0;
2004 49 5;175;29045050148;13;0;1;0;0;1;0;0;
2004 49 5;176;29044950135;13;0;1;1;0;1;0;0;
2004 49 5;177;29045010255;2;1;0;0;0;1;0;0;
2004 49 5;178;29044960157;2;1;0;0;0;1;1;0;
2004 49 5;179;29045010119;2;1;0;0;0;0;0;0;
2004 49 5;180;29045050308;8;0;1;0;0;1;0;0;
2004 49 5;181;29044910353;8;1;0;0;0;1;1;0;
2004 49 5;182;29045050046;8;0;1;0;0;1;0;0;
2004 49 5;183;29045050312;8;0;1;0;0;1;0;0;
2004 49 5;184;29045010330;8;1;0;0;0;0;1;0;
2004 49 5;185;29045050371;8;0;1;0;0;1;0;0;
2004 49 5;186;29044950278;8;1;0;0;0;1;0;0;
2004 49 5;187;29045050035;8;0;1;0;0;1;0;0;
2004 49 5;188;29045010036;8;1;0;0;0;1;1;0;
2004 49 5;189;29045050369;8;0;1;0;0;1;0;0;
2004 49 5;190;29044950302;8;0;1;0;0;1;0;0;
2004 49 5;191;29044950021;8;1;0;0;0;1;1;0;
2004 49 5;192;29045050027;8;0;1;0;0;1;0;0;
2004 49 5;193;29045050311;8;0;1;0;0;1;0;0;
2004 49 5;194;29045050050;8;0;1;0;0;1;0;0;
2004 49 5;195;29044960124;2;1;0;0;0;1;1;0;
2004 49 5;196;29045010118;2;1;0;0;0;0;0;0;
2004 49 5;197;29044960163;2;1;0;0;0;1;1;0;
2004 49 5;198;29045050099;11;0;1;0;0;1;0;0;
2004 49 5;199;29045050317;11;0;1;0;0;1;0;0;
2004 49 5;200;29044960195;2;1;0;0;0;1;1;0;
2004 49 5;201;29045010337;2;1;0;0;0;1;0;0;
2004 49 5;202;29044960141;2;1;0;0;0;1;1;0;
2004 49 5;203;29045050264;11;0;1;0;0;1;0;0;
2004 49 5;204;29045050070;11;0;1;0;0;1;0;0;
2004 49 5;205;29044960162;2;1;0;0;0;1;1;0;
2004 49 5;206;29044950309;3;0;1;0;0;1;0;0;
2004 49 5;207;29045050161;3;0;1;0;0;1;0;0;
2004 49 5;208;29045020074;3;1;0;0;0;1;0;0;
2004 49 5;209;29045010060;3;0;1;0;1;0;0;0;
2004 49 5;210;29045120058;6;1;0;0;0;1;0;0;
2004 49 5;211;29044920219;6;1;0;0;0;1;1;0;
2004 49 5;212;29045120059;6;1;0;0;0;1;0;0;
2004 49 5;213;29045050152;6;0;1;0;0;1;0;0;
2004 49 5;214;29045010357;6;1;0;0;0;1;0;0;
2004 49 5;215;29045050151;6;0;1;0;0;1;0;0;
2004 49 5;216;29044910351;6;1;0;0;0;1;1;0;
2004 49 5;217;29044950159;4;0;1;1;1;1;0;0;
2004 49 5;218;29044950149;4;0;1;0;0;0;0;0;
2004 49 5;219;29044950239;5;1;0;0;0;1;0;0;
2004 49 5;220;29044950231;5;1;0;0;0;1;0;0;
2004 49 5;221;29044950240;5;1;0;0;0;1;0;0;
2004 49 5;222;29045050325;5;0;1;0;0;1;0;0;
2004 49 5;223;29044950068;5;1;0;0;0;1;1;0;
2004 49 5;224;29044950218;5;1;0;0;0;1;0;0;
2004 49 5;225;29045050354;5;0;1;0;0;1;0;0;
2004 49 5;226;29045010334;5;1;0;0;0;0;0;0;
2004 49 5;227;29044950204;5;1;0;0;0;1;0;0;
2004 49 5;228;29044950069;5;1;0;0;0;1;1;0;
2004 49 5;229;29045010059;8;0;1;0;1;1;0;0;
2004 49 5;230;29044960243;8;1;0;0;0;1;0;0;
2004 49 5;231;29045050028;8;0;1;0;0;1;0;0;
2004 49 5;232;29044950035;8;1;0;0;0;1;1;0;
2004 49 5;233;29045050059;8;0;1;0;0;1;0;0;
2004 49 5;234;29044960237;8;1;0;0;0;1;0;0;
2004 49 5;235;29045050043;8;0;1;0;0;1;0;0;
2004 49 5;236;29044950263;8;0;1;0;0;1;0;0;
2004 49 5;237;29044960145;2;1;0;0;0;1;1;0;
2004 49 5;238;29045010331;2;1;0;0;0;1;0;0;
2004 49 5;239;29045010113;2;1;0;0;0;0;0;0;
2004 49 5;240;29045050077;11;0;1;0;0;1;0;0;
2004 49 5;241;29045050324;11;0;1;0;0;1;0;0;
2004 49 5;242;29045050089;11;0;1;0;0;1;0;0;
2004 49 5;243;29044950214;5;1;0;0;0;1;0;0;
2004 49 5;244;29044950193;5;1;0;0;0;1;0;0;
2004 49 5;245;29044950074;5;1;0;0;0;1;1;0;
2004 49 5;246;29045050335;5;0;1;0;0;1;0;0;
2004 49 5;247;29044950219;5;1;0;0;0;1;0;0;
2004 49 5;248;29045050334;5;0;1;0;0;1;0;0;
2004 49 5;249;29044950075;5;1;0;0;0;1;1;0;
2004 49 5;250;29044950237;5;1;0;0;0;1;0;0;
2004 49 5;251;29044950206;5;1;0;0;0;1;0;0;
2004 49 5;252;29045010032;3;0;1;0;1;0;0;0;
2004 49 5;253;29044950072;5;1;0;0;0;1;1;0;
2004 49 5;254;29044950252;5;1;0;0;0;1;0;0;
2004 49 5;255;29044960121;5;1;0;0;0;1;1;0;
2004 49 5;256;29044950289;8;0;1;0;0;1;0;0;
2004 49 5;257;29044960242;8;1;0;0;0;1;0;0;
2004 49 5;258;29045050058;8;0;1;0;0;1;0;0;
2004 49 5;259;29045050230;8;0;1;0;0;1;0;0;
2004 49 5;260;29044950148;8;0;1;0;1;0;0;0;
2004 49 5;261;29044960245;8;1;0;0;0;1;0;0;
2004 49 5;262;29045050305;8;0;1;0;0;1;0;0;
2004 49 5;263;29044960244;8;1;0;0;0;1;0;0;
2004 49 5;264;29045050147;13;0;1;0;0;1;0;0;
2004 49 5;265;29045050188;13;0;1;0;0;1;0;0;
2004 49 5;266;29044950143;13;0;1;1;0;0;0;0;
2004 49 5;267;29044910449;5;1;0;0;0;1;1;0;
2004 49 5;268;29045050353;5;0;1;0;0;1;0;0;
2004 49 5;269;29044910349;5;1;0;0;0;1;1;0;
2004 49 5;270;29045010333;5;1;0;0;0;0;0;0;
2004 49 5;271;29045050344;5;0;1;0;0;1;0;0;
2004 49 5;272;29044960122;5;1;0;0;0;1;1;0;
2004 49 5;273;29044950200;5;1;0;0;0;1;0;0;
2004 49 5;274;29044950023;5;1;0;0;0;1;1;0;
2004 49 5;275;29045050350;5;0;1;0;0;1;0;0;
2004 49 5;276;29044950290;5;1;0;0;0;1;0;0;
2004 49 5;277;29045050053;8;0;1;0;0;1;0;0;
2004 49 5;278;29045050307;8;0;1;0;0;1;0;0;
2004 49 5;279;29044920113;8;1;0;0;0;1;1;0;
2004 49 5;280;29045050025;8;0;1;0;0;1;0;0;
2004 49 5;281;29045050037;8;0;1;0;0;1;0;0;
2004 49 5;282;29044960239;8;1;0;0;0;1;0;0;
2004 49 5;283;29045050026;8;0;1;0;0;1;0;0;
2004 49 5;284;29045050372;8;0;1;0;0;1;0;0;
2004 49 5;285;29045050375;8;0;1;0;0;1;0;0;
2004 49 5;286;29044950022;8;1;0;0;0;1;1;0;
2004 49 5;287;29045050373;8;0;1;0;0;1;0;0;
2004 49 5;288;29044950110;8;0;1;0;1;0;0;0;
2004 49 5;289;29044950028;8;1;0;0;0;1;1;0;
2004 49 5;290;29045050021;8;0;1;0;0;1;0;0;
2004 49 5;291;29045050367;8;0;1;0;0;1;0;0;
2004 49 5;292;29044960241;8;1;0;0;0;1;0;0;
2004 49 5;293;29044960238;8;1;0;0;0;1;0;0;
2004 49 5;294;29045050310;8;0;1;0;0;1;0;0;
2004 49 5;295;29045050127;10;0;1;0;0;1;0;0;
2004 49 5;296;29045050129;10;0;1;0;0;1;0;0;
2004 49 5;297;29044950288;10;1;0;0;0;1;0;0;
2004 49 5;298;29045050128;10;0;1;0;0;1;0;0;
2004 49 5;299;29044950130;10;0;1;1;0;0;0;0;
2004 49 5;300;29045050110;10;0;1;0;0;1;0;0;
2004 49 5;301;29044920215;6;1;0;0;0;1;1;0;
2004 49 5;302;29045030291;6;1;0;0;0;1;0;0;
2004 49 5;303;29044950171;8;0;1;0;0;1;0;0;
2004 49 5;304;29044960240;8;1;0;0;0;1;0;0;
2004 49 5;305;29045050041;8;0;1;0;0;1;0;0;
2004 49 5;306;29044960130;2;1;0;0;0;1;1;0;
2004 49 5;307;29045010341;2;1;0;0;0;1;0;0;
2004 49 5;308;29044960131;2;1;0;0;0;1;1;0;
2004 49 5;309;29044950144;13;0;1;1;0;0;0;0;
2004 49 5;310;29045050186;13;0;1;0;0;1;0;0;
2004 49 5;311;29044960133;2;1;0;0;0;1;1;0;
2004 49 5;312;29045010121;2;1;0;0;0;0;0;0;
2004 49 5;313;29044960161;2;1;0;0;0;1;1;0;
2004 49 5;314;29045050031;8;0;1;0;0;1;0;0;
2004 49 5;315;29045050057;8;0;1;0;0;1;0;0;
2004 49 5;316;29045050047;8;0;1;0;0;1;0;0;
2004 49 5;317;29044960246;8;1;0;0;0;1;0;0;
2004 49 5;318;29045010359;8;1;0;0;0;1;0;0;
2004 49 5;319;29045010358;8;1;0;0;0;1;0;0;
2004 49 5;320;29045050309;8;0;1;0;0;1;0;0;
2004 49 5;321;29044960011;8;1;0;0;0;1;1;0;
2004 49 5;322;29045050032;8;0;1;0;0;1;0;0;
2004 49 5;323;29045020080;8;0;1;0;1;1;0;0;
2004 49 5;324;29045050376;8;0;1;0;0;1;0;0;
2004 49 5;325;29045010355;8;1;0;0;0;1;0;0;
2004 49 5;326;29045050368;8;0;1;0;0;1;0;0;
2004 49 5;327;29045050052;8;0;1;0;0;1;0;0;
2004 49 5;328;29045010251;8;1;0;0;0;1;0;0;
2004 49 5;329;29045050364;11;0;1;0;0;1;0;0;
2004 49 5;330;29044901929;11;0;1;0;0;0;0;0;
2004 49 5;331;29044950253;11;0;1;0;0;1;0;0;
2004 49 5;332;29044950004;1;1;0;0;0;1;1;0;
2004 49 5;333;29044950285;11;0;1;0;0;0;0;0;
2004 49 5;334;29045050362;11;0;1;0;0;1;0;0;
2004 49 5;335;29045050235;11;0;1;0;0;1;0;0;
2004 49 5;336;29044960233;12;1;0;0;0;1;1;0;
2004 49 5;337;29045050139;12;0;1;0;0;1;0;0;
2004 49 5;338;29044960232;12;1;0;0;0;1;1;0;
2004 49 5;339;29045050132;12;0;1;0;0;1;0;0;
2004 49 5;340;29045050134;12;0;1;0;0;1;0;0;
2004 49 5;341;29045050140;12;0;1;0;0;1;0;0;
2004 49 5;342;29045030309;12;1;0;0;0;1;0;0;
2004 49 5;343;29045010016;12;1;0;0;0;1;0;0;
2004 49 5;344;29044960231;12;1;0;0;0;1;1;0;
2004 49 5;345;29045050171;12;0;1;0;0;1;0;0;
2004 49 5;346;29045030166;12;1;0;0;0;1;0;0;
2004 49 5;347;29045030268;12;1;0;0;0;1;0;0;
2004 49 5;348;29045050169;12;0;1;0;0;1;0;0;
2004 49 5;349;29044950264;12;0;1;0;0;1;0;0;
2004 49 5;350;29045030275;12;1;0;0;0;1;0;0;
2004 49 5;351;29045050138;12;0;1;0;0;1;0;0;
2004 49 5;352;29044950286;9;0;1;0;0;0;0;0;
2004 49 5;353;29044910372;9;1;0;0;0;1;1;0;
2004 49 5;354;29044950150;9;0;1;0;1;1;0;0;
2004 49 5;355;29044950145;9;0;1;1;0;0;0;0;
2004 49 5;356;29044950079;9;1;0;0;0;1;1;0;
2004 49 5;357;29044950152;9;0;1;0;0;1;0;0;
2004 49 5;358;29044950118;9;0;1;0;0;1;0;0;
2004 49 5;359;29044960178;2;1;0;0;0;1;1;0;
2004 49 5;360;29045010335;2;1;0;0;0;1;0;0;
2004 49 5;361;29045010338;2;1;0;0;0;1;0;0;
2004 49 5;362;29044950173;11;0;1;0;0;0;0;0;
2004 49 5;363;29045050255;11;0;1;0;0;1;0;0;
2004 49 5;364;29045030264;12;1;0;0;0;1;0;0;
2004 49 5;365;29045030165;12;1;0;0;0;1;0;0;
2004 49 5;366;29045030227;12;1;0;0;0;1;0;0;
2004 49 5;367;29045050130;12;0;1;0;0;1;0;0;
2004 49 5;368;29045050167;12;0;1;0;0;1;0;0;
2004 49 5;369;29045050183;12;0;1;0;0;1;0;0;
2004 49 5;370;29045010133;12;1;0;0;0;1;0;0;
2004 49 5;371;29044920437;12;1;0;0;0;0;0;0;
2004 49 5;372;29045050178;12;0;1;0;0;1;0;0;
2004 49 5;373;29045050165;12;0;1;0;0;1;0;0;
2004 49 5;374;29045050177;12;0;1;0;0;1;0;0;
2004 49 5;375;29044910374;12;1;0;0;0;1;1;0;
2004 49 5;376;29045050170;12;0;1;0;0;1;0;0;
2004 49 5;377;29044950108;12;0;1;1;1;1;0;0;
2004 49 5;378;29045010280;12;1;0;0;0;1;0;0;
2004 49 5;379;29045050131;12;0;1;0;0;1;0;0;
2004 49 5;380;29044960180;12;1;0;0;0;1;1;0;
2004 49 5;381;29045050144;12;0;1;0;0;1;0;0;
2004 49 5;382;29045050141;12;0;1;0;0;1;0;0;
2004 49 5;383;29044950224;5;1;0;0;0;1;0;0;
2004 49 5;384;29044950199;5;1;0;0;0;1;0;0;
2004 49 5;385;29045050351;5;0;1;0;0;1;0;0;
2004 49 5;386;29044950029;5;1;0;0;0;1;1;0;
2004 49 5;387;29044950229;5;1;0;0;0;1;0;0;
2004 49 5;388;29044950112;4;0;1;0;1;0;0;0;
2004 49 5;389;29044960182;2;1;0;0;0;1;1;0;
2004 49 5;390;29045010114;2;1;0;0;0;0;0;0;
2004 49 5;391;29044960138;2;1;0;0;0;1;1;0;
2004 49 5;392;29045050137;12;0;1;0;0;1;0;0;
2004 49 5;393;29044950169;12;0;1;0;0;1;0;0;
2004 49 5;394;29044960156;2;1;0;0;0;1;1;0;
2004 49 5;395;29045050363;11;0;1;0;0;1;0;0;
2004 49 5;396;29045050095;11;0;1;0;0;1;0;0;
2004 49 5;397;29045050084;11;0;1;0;0;1;0;0;
2004 49 5;398;29044960174;2;1;0;0;0;1;1;0;
2004 49 5;399;29045010062;3;0;1;0;1;0;0;0;
2004 49 5;400;29044950291;5;1;0;0;0;1;0;0;
2004 49 5;401;29044950205;5;1;0;0;0;1;0;0;
2004 49 5;402;29044950194;5;1;0;0;0;1;0;0;
2004 49 5;403;29045050340;5;0;1;0;0;1;0;0;
2004 49 5;404;29044950024;5;1;0;0;0;1;1;0;
2004 49 5;405;29044950235;5;1;0;0;0;1;0;0;
