Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;HPRC7;HPRC8;HPRC9;LPRC1;LPRC2;
2004 48 5;821;64044850024;5;0;1;1;0;0;0;1;0;1;0;0;
2004 48 5;822;64044850164;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;823;64044850225;5;0;1;0;0;0;0;1;0;0;0;0;
2004 48 5;824;64044850111;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;825;64044850448;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;826;64044851043;5;0;1;0;0;0;0;0;0;0;1;1;
2004 48 5;827;64044910665;5;1;0;0;0;0;0;1;0;0;0;1;
2004 48 5;828;64044850064;5;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;829;64044910508;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;830;64044850655;5;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;831;64044850113;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;832;64044850003;5;0;1;1;0;0;0;1;0;1;0;0;
2004 48 5;833;64044850052;5;1;0;0;0;0;0;0;1;0;1;0;
2004 48 5;834;64044910074;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;835;64044850681;5;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;836;64044850119;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;837;64044910833;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;838;64044850775;5;0;1;0;0;0;0;0;0;0;0;1;
2004 48 5;839;64044910837;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;840;64044850188;5;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;841;64044910706;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;842;64044850889;5;1;0;0;0;0;0;0;1;0;1;0;
2004 48 5;843;64044850023;5;0;1;1;0;0;0;1;0;1;0;0;
2004 48 5;844;64044850109;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;845;64044850878;5;0;1;0;0;0;0;0;0;0;0;1;
2004 48 5;846;64044910525;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;847;64044850063;5;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;848;64044911061;5;1;0;0;0;0;0;1;1;0;0;0;
2004 48 5;849;64044850114;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;850;64044850464;5;0;1;0;0;0;0;1;0;0;0;0;
2004 48 5;851;64045120015;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;852;64044850194;5;0;1;0;0;0;0;1;1;0;0;0;
2004 48 5;853;64044851078;5;1;0;0;0;0;0;0;0;0;1;1;
2004 48 5;854;64044850045;5;0;1;1;0;0;0;1;0;1;0;0;
2004 48 5;855;64044850126;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;856;64044910136;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;857;64044850127;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;858;64044850198;5;0;1;0;0;0;0;1;0;0;0;0;
2004 48 5;859;64045120017;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;860;64045011036;5;0;1;0;0;1;0;0;0;0;1;1;
2004 48 5;861;64045011038;5;0;1;0;0;0;0;1;0;0;0;1;
2004 48 5;862;64044850128;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;863;64044850161;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;864;64044850189;5;0;1;0;0;0;0;1;0;1;0;0;
2004 48 5;865;64044620660;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;866;64044910533;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;867;64044850896;5;0;1;0;0;0;0;0;1;0;1;1;
2004 48 5;868;64044910779;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;869;64044850676;5;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;870;64044930179;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;871;64044930525;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;872;64044850797;5;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;873;64044910467;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;874;64045010231;5;1;0;0;0;0;0;0;0;0;1;0;
2004 48 5;875;64044850246;4;0;1;0;0;0;0;1;0;1;0;0;
2004 49 1;1;64044850811;1;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;2;64044910269;8;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;3;64044851017;8;0;1;0;0;0;0;0;0;0;1;1;
2004 49 1;4;64044910173;8;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;5;64044910396;11;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;6;64044910155;11;0;1;0;0;1;0;1;0;0;0;0;
2004 49 1;7;64044910795;11;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;8;64044910730;4;0;1;0;0;0;0;1;0;1;0;0;
2004 49 1;9;64044320352;11;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;10;64044911269;2;0;1;0;0;0;0;1;0;0;0;1;
2004 49 1;11;64044910220;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;12;64044850881;2;0;1;0;0;0;0;0;0;0;1;0;
2004 49 1;13;64044910022;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;14;64044910550;2;1;0;0;0;1;0;1;1;0;0;0;
2004 49 1;15;64044911254;2;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;16;64044910226;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;17;64044911245;2;0;1;0;0;0;0;0;0;0;1;0;
2004 49 1;18;64044910227;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;19;64044911266;2;0;1;0;0;0;0;0;0;0;0;1;
2004 49 1;20;64044910496;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;21;64044910787;7;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;22;64044910202;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;23;64044911136;7;0;1;0;0;0;0;0;0;0;1;0;
2004 49 1;24;64044910197;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;25;64044810022;7;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;26;64044850212;4;0;1;1;0;0;0;1;0;1;0;0;
2004 49 1;27;64044810018;7;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;28;64044910689;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;29;64044911119;7;0;1;0;0;0;0;0;0;0;1;0;
2004 49 1;30;64044910693;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;31;64044910200;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;32;64044911259;12;0;1;0;0;0;0;0;0;0;0;1;
2004 49 1;33;64044910076;12;1;0;0;0;1;0;1;0;0;0;0;
2004 49 1;34;64044911126;12;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;35;64044910360;12;0;1;0;0;0;0;0;0;0;1;0;
2004 49 1;36;64044910726;4;0;1;0;0;0;0;1;0;1;0;0;
2004 49 1;37;64044910204;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;38;64044910786;7;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;39;64044911131;7;0;1;0;0;0;0;1;0;0;0;0;
2004 49 1;40;64044910158;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;41;64044910037;7;0;1;0;0;1;0;0;0;0;1;0;
2004 49 1;42;64044910379;7;1;0;0;0;0;0;1;1;0;0;0;
2004 49 1;43;64044910374;7;1;0;0;0;0;0;1;0;0;0;1;
2004 49 1;44;64044911270;7;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;45;64044910568;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;46;64044910789;7;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;47;64044910861;4;0;1;0;0;0;0;1;0;1;0;0;
2004 49 1;48;64044910820;11;1;0;0;0;0;0;0;0;0;1;0;
2004 49 1;49;64044910528;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;50;64044911251;2;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;51;64044850392;2;0;1;0;0;0;0;1;0;0;0;0;
2004 49 1;52;64044920505;2;1;0;0;0;0;0;0;0;0;0;1;
2004 49 1;53;64044910215;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;54;64044911137;2;0;1;0;0;0;0;0;0;0;1;0;
2004 49 1;55;64044910818;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;56;64044910106;11;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;57;64044910739;4;0;1;0;0;0;0;1;0;1;0;0;
2004 49 1;58;64044910561;1;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;59;64044910872;1;1;0;0;0;0;0;0;1;0;1;0;
2004 49 1;60;64044850394;1;0;1;0;0;0;0;1;0;0;0;0;
2004 49 1;61;64044911276;1;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;62;64044840827;1;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;63;64044911255;1;0;1;0;0;0;0;0;0;0;0;1;
2004 49 1;64;64044910303;1;1;0;0;0;1;0;1;1;0;0;0;
2004 49 1;65;64044850809;1;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;66;64044910267;1;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;67;64044850803;1;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;68;64044910759;1;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;69;64044910157;1;1;0;0;0;0;0;0;0;0;1;0;
2004 49 1;70;64044910842;4;0;1;0;0;0;0;1;0;1;0;0;
2004 49 1;71;64044911242;5;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;72;64044911052;5;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;73;64044911267;5;0;1;0;0;0;0;0;0;0;0;1;
2004 49 1;74;64044910113;8;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;75;64044910476;8;1;0;0;0;0;0;0;0;0;1;0;
2004 49 1;76;64044850070;8;0;1;0;0;0;0;1;0;0;0;0;
2004 49 1;77;64044910794;8;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;78;64044910104;8;0;1;0;0;0;0;1;0;0;0;0;
2004 49 1;79;64044910563;8;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;80;64044850022;4;0;1;1;0;0;0;1;0;1;0;0;
2004 49 1;81;64044910781;8;1;0;0;0;0;0;0;0;0;1;0;
2004 49 1;82;64044910093;8;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;83;64044911247;5;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;84;64044330986;13;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;85;64044910085;5;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;86;64044910654;5;0;1;0;0;0;0;1;0;0;0;0;
2004 49 1;87;64044911246;5;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;88;64044910373;5;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;89;64044911265;5;0;1;0;0;0;0;0;0;0;0;1;
2004 49 1;90;64044910814;5;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;91;64044910578;5;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;92;64044910746;4;0;1;0;0;0;0;1;0;1;0;0;
2004 49 1;93;64044910250;12;1;0;0;0;0;0;0;0;0;1;0;
2004 49 1;94;64044910588;12;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;95;64044911144;12;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;96;64044910262;12;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;97;64044910058;12;0;1;0;0;0;0;0;0;0;0;1;
2004 49 1;98;64044910643;12;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;99;64044910892;12;0;1;0;0;0;0;0;0;0;1;0;
2004 49 1;100;64044910028;12;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;101;64044911260;12;1;0;0;0;0;0;0;0;0;0;1;
2004 49 1;102;64044910744;4;0;1;0;0;0;0;1;0;1;0;0;
2004 49 1;103;64044910245;1;1;0;0;0;0;0;0;0;0;1;0;
2004 49 1;104;64044910716;1;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;105;64044850784;1;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;106;64044910537;1;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;107;64044850197;1;0;1;0;0;0;0;1;0;0;0;0;
2004 49 1;108;64044910147;1;1;0;0;0;0;0;0;1;0;1;0;
2004 49 1;109;64044910266;1;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;110;64044850798;1;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;111;64044910493;1;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;112;64044910912;1;1;0;0;0;0;0;0;0;0;1;0;
2004 49 1;113;64044850075;1;0;1;0;0;0;0;1;0;0;0;0;
2004 49 1;114;64044910075;1;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;115;64044911272;1;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;116;64044910742;4;0;1;0;0;0;0;1;0;1;0;0;
2004 49 1;117;64044910103;3;1;0;0;0;0;0;0;1;0;1;0;
2004 49 1;118;64044910800;3;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;119;64044910865;3;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;120;64044911070;3;0;1;0;0;0;0;1;0;0;0;1;
2004 49 1;121;64044911275;3;1;0;0;0;0;0;0;0;0;1;0;
2004 49 1;122;64044910388;3;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;123;64044910125;3;0;1;0;0;0;0;1;1;0;0;0;
2004 49 1;124;64044910364;3;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;125;64044910631;3;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;126;64044910610;3;0;1;0;0;0;0;0;0;0;1;0;
2004 49 1;127;64044910672;3;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;128;64044910356;3;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;129;64044910691;3;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;130;64044850642;1;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;131;64044910799;1;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;132;64044911080;1;0;1;0;0;0;0;0;1;0;1;1;
2004 49 1;133;64044910760;1;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;134;64044850783;1;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;135;64044920652;1;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;136;64044911277;4;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;137;64044910682;4;0;1;0;0;0;0;1;0;1;0;0;
2004 49 1;138;64044910802;4;1;0;0;0;0;0;0;0;0;1;0;
2004 49 1;139;64044310527;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;140;64044911244;2;0;1;0;0;0;0;1;0;0;0;0;
2004 49 1;141;64044911150;2;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;142;64044911155;2;0;1;0;0;0;0;1;0;0;0;1;
2004 49 1;143;64044910475;2;1;0;0;0;0;0;0;0;0;1;0;
2004 49 1;144;64044910719;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;145;64044911268;2;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;146;64044910807;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;147;64044910722;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;148;64044910903;7;0;1;0;0;0;0;0;0;0;1;0;
2004 49 1;149;64044910808;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;150;64044911239;7;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;151;64044910144;7;1;0;0;0;1;0;1;1;0;0;0;
2004 49 1;152;64044910723;4;0;1;0;0;0;0;1;0;1;0;0;
2004 49 1;153;64044910697;12;1;0;0;0;0;0;0;0;0;1;0;
2004 49 1;154;64044911152;12;1;0;0;0;0;0;1;0;0;0;1;
2004 49 1;155;64044911147;12;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;156;64044910718;12;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;157;64044910067;12;0;1;0;0;0;0;0;0;0;0;1;
2004 49 1;158;64044910205;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;159;64044910018;7;1;0;0;0;1;0;0;1;0;1;0;
2004 49 1;160;64044910769;7;0;1;0;0;0;0;1;0;0;0;0;
2004 49 1;161;64044910715;7;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;162;64044910754;4;0;1;0;0;0;0;1;0;1;0;0;
2004 49 1;163;64044810187;7;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;164;64044910622;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;165;64044910924;7;0;1;0;0;0;0;0;0;0;1;0;
2004 49 1;166;64044910514;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;167;64044910061;12;0;1;0;0;0;0;0;0;0;0;1;
2004 49 1;168;64044910775;12;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;169;64044911115;12;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;170;64044910700;12;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;171;64044910870;12;1;0;0;0;0;0;0;1;0;1;0;
2004 49 1;172;64044910809;4;0;1;0;0;0;0;1;0;1;0;0;
2004 49 1;173;64044911243;4;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;174;64044850076;10;0;1;0;0;0;0;1;0;0;0;0;
2004 49 1;175;64044910402;10;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;176;64044910224;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;177;64044911151;2;0;1;0;0;0;0;0;0;0;1;1;
2004 49 1;178;64044910145;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;179;64044911157;2;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;180;64044910228;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;181;64044910417;2;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;182;64044850037;2;0;1;1;0;0;0;1;0;1;0;0;
2004 49 1;183;64044910517;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;184;64044911107;2;0;1;0;0;0;0;0;0;0;1;0;
2004 49 1;185;64044910539;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;186;64044911256;2;0;1;0;0;0;0;0;0;0;0;1;
2004 49 1;187;64044910222;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;188;64044910209;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;189;64044911098;2;0;1;0;0;0;0;0;0;0;1;0;
2004 49 1;190;64044910214;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;191;64044911127;4;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;192;64044910765;4;0;1;0;0;0;0;1;0;1;0;0;
2004 49 1;193;64044910884;4;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;194;64044911082;2;0;1;0;0;0;0;1;0;0;0;0;
2004 49 1;195;64044910880;3;1;0;0;0;0;0;0;0;0;1;0;
2004 49 1;196;64044910187;3;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;197;64044911154;2;0;1;0;0;0;0;1;0;0;0;1;
2004 49 1;198;64044910882;2;1;0;0;0;0;0;0;1;0;1;0;
2004 49 1;199;64044910668;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;200;64044911141;2;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;201;64044820337;4;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;202;64044910617;4;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;203;64044910695;4;0;1;0;0;0;0;1;0;1;0;0;
2004 49 1;204;64044910615;4;1;0;0;0;0;0;0;0;0;1;0;
2004 49 1;205;64044910817;3;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;206;64044911055;2;0;1;0;0;0;0;0;0;0;0;1;
2004 49 1;207;64044910270;2;0;1;0;0;0;0;1;0;0;0;0;
2004 49 1;208;64044910231;2;1;0;0;0;0;0;0;0;0;1;0;
2004 49 1;209;64044910207;2;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;210;64044910427;2;0;1;0;0;0;0;1;0;0;0;0;
2004 49 1;211;64044910397;11;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;212;64044910461;11;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;213;64044910621;11;1;0;0;0;0;0;0;0;0;1;0;
2004 49 1;214;64044850019;4;0;1;1;0;0;0;1;0;1;0;0;
2004 49 1;215;64044910535;4;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;216;64044910553;4;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;217;64044911257;4;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;218;64044911060;4;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;219;64044911248;4;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;220;64044910687;4;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;221;64044911133;4;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;222;64044910154;4;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;223;64044910099;4;1;0;0;0;0;0;0;1;0;1;1;
2004 49 1;224;64044910856;4;0;1;0;0;0;0;1;0;1;0;0;
2004 49 1;225;64044910875;4;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;226;64044910078;4;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;227;64044911109;4;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;228;64044910196;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;229;64044910414;7;1;0;0;0;0;0;0;1;0;1;0;
2004 49 1;230;64044910242;7;0;1;0;0;0;0;1;0;0;0;0;
2004 49 1;231;64044810019;7;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;232;64044130643;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;233;64044910030;7;0;1;0;0;0;0;1;1;0;0;0;
2004 49 1;234;64044851028;7;0;1;0;0;0;0;0;0;0;1;1;
2004 49 1;235;64044910201;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;236;64044910429;7;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;237;64044910007;7;0;1;0;0;0;0;1;0;0;0;0;
2004 49 1;238;64044910656;7;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;239;64044910198;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;240;64044911123;6;0;1;0;0;0;0;0;1;0;1;0;
2004 49 1;241;64044910203;7;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;242;64044910748;4;0;1;0;0;0;0;1;0;1;0;0;
2004 49 1;243;64044910569;6;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;244;64044910898;6;0;1;0;0;0;0;1;0;0;0;0;
2004 49 1;245;64044910767;6;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;246;64044910389;2;0;1;0;0;0;0;1;0;0;0;1;
2004 49 1;247;64044910371;8;1;0;0;0;0;0;0;0;0;1;0;
2004 49 1;248;64044910816;8;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;249;64044911263;6;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;250;64044910845;8;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;251;64044910165;8;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;252;64044851082;6;0;1;0;0;0;0;0;0;0;1;0;
2004 49 1;253;64044910163;8;1;0;0;0;0;0;1;0;0;0;0;
2004 49 1;254;64044911262;6;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;255;64044840845;8;1;0;0;0;0;0;1;0;0;0;1;
