Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;LPRC1;
2004 51 2;23;655045040105;1;0;0;0;0;1;
2004 51 2;24;655045040063;1;0;0;0;0;0;
2004 51 2;25;655045040062;6;1;0;0;1;0;
2004 51 2;26;655045020103;6;0;0;0;0;0;
2004 51 2;27;655045020081;1;0;0;0;0;0;
2004 51 2;28;655045040101;1;1;0;0;1;0;
2004 51 2;29;655045050077;1;0;0;0;0;0;
2004 51 2;30;655045120052;1;0;0;0;0;0;
2004 51 2;31;655045050107;1;0;0;0;0;0;
2004 51 2;32;655045020083;1;0;0;0;0;0;
2004 51 2;33;655045040116;1;0;0;0;0;1;
2004 51 2;34;655045040084;1;0;0;0;0;0;
2004 51 2;35;655045050085;3;0;0;0;0;0;
2004 51 2;36;655045140021;3;0;0;0;0;0;
2004 51 2;37;655045020131;3;0;0;0;0;0;
2004 51 2;38;655045050092;3;0;0;0;0;0;
2004 51 2;39;655045120054;9;0;0;0;0;0;
2004 51 2;40;655045040108;9;1;0;0;1;0;
2004 51 2;41;655045040070;9;0;0;0;0;0;
2004 51 2;42;655045140022;3;0;0;0;0;0;
2004 51 2;43;655045020111;3;0;0;0;0;0;
2004 51 2;44;655045040078;9;0;0;0;0;0;
2004 51 2;45;655045050101;3;0;0;0;0;0;
2004 51 2;46;655045020129;3;0;0;0;0;0;
2004 51 2;47;655045040059;3;0;0;0;0;1;
2004 51 2;48;655045140028;3;0;0;0;0;0;
2004 51 2;49;655045020116;6;0;0;0;0;0;
2004 51 2;50;655045040123;6;0;0;0;0;0;
2004 51 2;51;655045010075;6;0;0;0;0;0;
2004 51 2;52;655044940186;6;0;0;0;0;0;
2004 51 2;53;655045050065;9;0;0;0;0;0;
2004 51 2;54;655044940183;6;0;0;0;0;0;
2004 51 2;55;655045040080;9;0;0;0;0;0;
2004 51 2;56;655050170002;2;0;0;0;0;0;
2004 51 2;57;655045050095;2;0;0;0;0;0;
2004 51 2;58;655045040082;1;0;0;0;0;0;
2004 51 2;59;655045050071;1;0;0;0;0;0;
2004 51 2;60;655045040083;1;0;0;0;0;0;
2004 51 2;61;655045050103;3;0;0;0;0;0;
2004 51 2;62;655045120053;1;0;0;0;0;0;
2004 51 2;63;655045050105;3;0;0;0;0;0;
2004 51 2;64;655044930105;3;0;0;0;0;0;
2004 51 2;65;655045050098;1;0;0;0;0;0;
2004 51 2;66;655045050067;1;0;0;0;0;0;
2004 51 2;67;655045040114;1;0;0;0;0;1;
2004 51 2;68;655045040088;1;0;0;0;0;0;
2004 51 2;69;655045050100;1;0;0;0;0;0;
2004 51 2;70;655044950126;5;0;0;0;0;0;
2004 51 2;71;655045050078;5;0;0;0;0;0;
2004 51 2;72;655045050096;5;0;0;0;0;0;
2004 51 2;73;655045050080;5;0;0;0;0;0;
2004 51 2;74;655045050108;5;0;0;0;0;0;
2004 51 2;75;655045020095;6;0;0;0;0;0;
2004 51 2;76;655050170001;1;0;0;0;0;0;
2004 51 2;77;655045040129;1;0;0;0;0;0;
2004 51 2;78;655045270007;1;0;0;0;0;0;
2004 51 2;79;655045140016;1;0;0;0;0;0;
2004 51 2;80;655045050063;1;0;0;0;0;0;
2004 51 2;81;655045050075;3;1;0;0;1;0;
2004 51 2;82;655045050117;1;0;0;0;0;0;
2004 51 2;83;655044920069;3;0;0;0;0;0;
2004 51 2;84;655045220001;3;0;0;0;0;0;
2004 51 2;85;655045220002;3;0;0;0;0;0;
2004 51 2;86;655044950145;3;0;0;0;0;0;
2004 51 2;87;655044950107;3;0;0;0;0;0;
2004 51 2;88;655044950111;3;0;0;0;0;0;
2004 51 2;89;655045130096;3;0;0;0;0;0;
2004 51 2;90;655045020123;8;0;0;0;0;0;
2004 51 2;91;655045130057;3;0;0;0;0;0;
2004 51 2;92;655045130063;3;0;0;0;0;0;
2004 51 2;93;655045040106;3;0;0;0;0;0;
2004 51 2;94;655044940173;3;0;0;0;0;0;
2004 51 2;95;655045130064;8;0;0;0;0;0;
2004 51 2;96;655044950104;1;0;0;0;0;0;
2004 51 2;97;655045050087;1;0;0;0;0;0;
2004 51 2;98;655044950144;1;0;0;0;0;0;
2004 51 2;99;655044950151;1;0;0;0;0;0;
2004 51 2;100;655045050090;1;0;0;0;0;0;
2004 51 2;101;655044950156;1;0;0;0;0;0;
2004 51 2;102;655045130094;8;0;0;0;0;0;
2004 51 2;103;655050120004;1;0;0;0;0;0;
2004 51 2;104;655044950103;1;0;0;0;0;0;
2004 51 2;105;655045040092;1;0;0;0;0;0;
2004 51 2;106;655044950148;1;0;0;0;0;0;
2004 51 2;107;655044950123;1;0;0;0;0;0;
2004 51 2;108;655044950109;1;0;0;0;0;0;
2004 51 2;109;655045050083;1;0;0;0;0;0;
2004 51 2;110;655044950130;1;0;0;0;0;0;
2004 51 2;111;655044950141;9;0;0;0;0;0;
2004 51 2;112;655044950163;9;0;0;0;0;0;
2004 51 2;113;655044950099;9;0;0;0;0;0;
2004 51 2;114;655044950169;9;0;0;0;0;0;
2004 51 2;115;655045040126;3;0;0;0;0;0;
2004 51 2;116;655045040121;3;0;0;0;0;0;
2004 51 2;117;655044950171;9;0;0;0;0;0;
2004 51 2;118;655044950133;9;0;0;0;0;0;
2004 51 2;119;655044950152;9;0;0;0;0;0;
2004 51 2;120;655044950154;2;0;0;0;0;0;
2004 51 2;121;655045050111;2;0;0;0;0;0;
2004 51 2;122;655045050093;2;0;0;0;0;0;
2004 51 2;123;655044950116;2;0;0;0;0;0;
2004 51 2;124;655045040100;2;0;0;0;0;0;
2004 51 2;125;655045020130;3;0;0;0;0;0;
2004 51 2;126;655045130062;3;0;0;0;0;0;
2004 51 2;127;655045020064;3;0;0;0;0;0;
2004 51 2;128;655045020137;3;0;0;0;0;0;
2004 51 2;129;655044940088;1;0;0;0;0;0;
2004 51 2;130;655044950105;1;0;0;0;0;0;
2004 51 2;131;655044950101;1;0;0;0;0;0;
2004 51 2;132;655044950114;1;0;0;0;0;0;
2004 51 2;133;655045050068;1;0;0;0;0;0;
2004 51 2;134;655044950106;1;0;0;0;0;0;
2004 51 2;135;655044950115;1;0;0;0;0;0;
2004 51 2;136;655044950117;1;0;0;0;0;0;
2004 51 2;137;655044940077;1;0;0;0;0;0;
2004 51 2;138;655044950118;1;0;0;0;0;0;
2004 51 2;139;655044930106;3;0;0;0;0;0;
2004 51 2;140;655045130086;3;0;0;0;0;0;
2004 51 2;141;655045130058;3;0;0;0;0;0;
2004 51 2;142;655044950067;3;1;0;0;1;0;
2004 51 2;143;655044950137;1;0;0;0;0;0;
2004 51 2;144;655044950119;1;0;0;0;0;0;
2004 51 2;145;655044950139;1;0;0;0;0;0;
2004 51 2;146;655045020106;2;0;0;0;0;0;
2004 51 2;147;655044950180;2;0;0;0;0;0;
2004 51 2;148;655045040098;2;0;0;0;0;0;
2004 51 2;149;655045230012;4;1;0;0;1;0;
2004 51 2;150;655044940160;1;0;0;0;0;0;
2004 51 2;151;655044950176;1;0;0;0;0;0;
2004 51 2;152;655044950143;1;0;0;0;0;0;
2004 51 2;153;655044950121;1;0;0;0;0;0;
2004 51 2;154;655044950131;1;0;0;0;0;0;
2004 51 2;155;655045040096;1;0;0;0;0;0;
2004 51 2;156;655044950132;1;0;0;0;0;0;
2004 51 2;157;655045140073;1;0;0;0;0;0;
2004 51 2;158;655044950122;1;0;0;0;0;0;
2004 51 2;159;655044950172;1;0;0;0;0;0;
2004 51 2;160;655045040127;6;0;0;0;0;0;
2004 51 2;161;655045050089;6;0;0;0;0;0;
2004 51 2;162;655045040131;6;0;0;0;0;0;
2004 51 2;163;655044950128;6;0;0;0;0;0;
2004 51 2;164;655045050081;6;0;0;0;0;0;
2004 51 2;165;655044950135;6;0;0;0;0;0;
2004 51 2;166;655045020115;9;0;0;0;0;0;
2004 51 2;167;655044950170;9;0;0;0;0;0;
2004 51 2;168;655044950150;9;0;0;0;0;0;
2004 51 2;169;655044950158;9;0;0;0;0;0;
2004 51 2;170;655044950155;9;0;0;0;0;0;
2004 51 2;171;655044950177;9;0;0;0;0;0;
2004 51 2;172;655045040090;5;0;0;0;0;0;
2004 51 2;173;655045050084;5;0;0;0;0;0;
2004 51 2;174;655045050088;5;0;0;0;0;0;
2004 51 2;175;655045040097;5;0;0;0;0;0;
2004 51 2;176;655045050091;5;0;0;0;0;0;
2004 51 2;177;655045130061;3;0;0;0;0;0;
2004 51 2;178;655045130079;3;0;0;0;0;0;
2004 51 2;179;655045130059;3;0;0;0;0;0;
2004 51 2;180;655045140072;6;0;0;0;0;0;
2004 51 2;181;655050120007;6;0;0;0;0;0;
2004 51 2;182;655045140095;6;0;0;0;0;0;
2004 51 2;183;655050120014;6;0;0;0;0;0;
2004 51 2;184;655045050086;6;0;0;0;0;0;
2004 51 2;185;655050120012;6;0;0;0;0;0;
2004 51 2;186;655050120015;6;0;0;0;0;0;
2004 51 2;187;655045130074;6;0;0;0;0;0;
2004 51 2;188;655045140094;6;0;0;0;0;0;
2004 51 2;189;655045230003;6;0;0;0;0;0;
2004 51 2;190;655045130054;3;0;0;0;0;0;
2004 51 2;191;655045130068;3;0;0;0;0;0;
2004 51 2;192;655045130051;3;0;0;0;0;0;
2004 51 2;193;655045130066;3;0;0;0;0;0;
2004 51 2;194;655045130065;3;0;0;0;0;0;
2004 51 2;195;655045130070;3;0;0;0;0;0;
2004 51 2;196;655045120058;3;0;0;0;0;0;
2004 51 2;197;655045130053;3;0;0;0;0;0;
2004 51 2;198;655045130083;3;0;0;0;0;0;
2004 51 2;199;655045130067;3;0;0;0;0;0;
2004 51 2;200;655045230005;2;1;0;0;1;0;
2004 51 2;201;655045140077;2;0;0;0;0;0;
2004 51 2;202;655045140076;2;0;0;0;0;0;
2004 51 2;203;655045140052;2;0;0;0;0;0;
2004 51 2;204;655045140079;2;0;0;0;0;0;
2004 51 2;205;655045020108;2;0;0;0;0;0;
2004 51 2;206;655045230006;2;1;0;0;1;0;
2004 51 2;207;655050120010;2;0;0;0;0;0;
2004 51 2;208;655045230001;2;1;0;0;1;0;
2004 51 2;209;655045040091;2;0;0;0;0;0;
2004 51 2;210;655045140082;1;0;0;0;0;0;
2004 51 2;211;655045140081;1;0;0;0;0;0;
2004 51 2;212;655045140025;1;0;0;0;0;0;
2004 51 2;213;655045140078;1;0;0;0;0;0;
2004 51 2;214;655045130076;1;0;0;0;0;0;
2004 51 2;215;655045040086;2;0;0;0;0;0;
2004 51 2;216;655045130073;2;0;0;0;0;0;
2004 51 2;217;655050120001;2;0;0;0;0;0;
2004 51 2;218;655045130093;7;0;0;0;0;0;
2004 51 2;219;655045140091;7;0;0;0;0;0;
2004 51 2;220;655045140092;7;0;0;0;0;0;
2004 51 2;221;655045170016;3;0;0;0;0;0;
2004 51 2;222;655045130088;3;0;0;0;0;0;
2004 51 2;223;655044950112;3;0;0;0;0;0;
2004 51 2;224;655045170017;3;0;0;0;0;0;
2004 51 2;225;655045220003;3;0;0;0;0;0;
2004 51 2;226;655045170015;3;0;0;0;0;0;
2004 51 2;227;655045010083;3;0;0;0;0;0;
2004 51 2;228;655045170018;3;0;0;0;0;0;
2004 51 2;229;655045220004;3;0;0;0;0;0;
2004 51 2;230;655045130092;8;0;0;0;0;0;
2004 51 2;231;655045130085;8;0;0;0;0;0;
2004 51 2;232;655044950167;9;0;0;0;0;0;
2004 51 2;233;655045140070;9;0;0;0;0;0;
2004 51 2;234;655045140084;1;0;0;0;0;0;
2004 51 2;235;655045140075;1;0;0;0;0;0;
2004 51 2;236;655050340021;1;0;0;0;0;0;
2004 51 2;237;655045140056;1;0;0;0;0;0;
2004 51 2;238;655050250001;1;1;0;0;1;0;
2004 51 2;239;655045140051;1;0;0;0;0;0;
2004 51 2;240;655045270008;1;0;0;0;0;0;
2004 51 2;241;655050120006;1;0;0;0;0;0;
2004 51 2;242;655044950178;1;0;0;0;0;0;
2004 51 2;243;655050120013;1;0;0;0;0;0;
2004 51 2;244;655045210053;4;0;0;0;0;0;
2004 51 2;245;655045020076;1;0;0;0;0;0;
2004 51 2;246;655044950162;1;0;0;0;0;0;
2004 51 2;247;655044950153;1;0;0;0;0;0;
2004 51 2;248;655050120003;1;0;0;0;0;0;
2004 51 2;249;655044950157;1;0;0;0;0;0;
2004 51 2;250;655045050057;1;0;0;0;0;0;
2004 51 2;251;655044950168;1;0;0;0;0;0;
2004 51 2;252;655050120005;1;0;0;0;0;0;
2004 51 2;253;655044950174;1;0;0;0;0;0;
2004 51 2;254;655045140088;1;0;0;0;0;0;
2004 51 2;255;655045130087;7;0;0;0;0;0;
2004 51 2;256;655045140093;7;0;0;0;0;0;
2004 51 2;257;655045140090;7;0;0;0;0;0;
2004 51 2;258;655045130078;7;0;0;0;0;0;
2004 51 2;259;655044950124;5;0;0;0;0;0;
2004 51 2;260;655044950140;5;0;0;0;0;0;
2004 51 2;261;655045040099;5;0;0;0;0;0;
2004 51 2;262;655050250004;5;1;0;0;1;0;
2004 51 2;263;655045020105;5;0;0;0;0;0;
2004 51 2;264;655045020107;5;0;0;0;0;0;
