Date;SeqRank;Ident;Paint Color;HPRC1;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;LPRC11;
2004 48 5;1030;39044920246;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1031;39044950709;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1032;39044911452;10;0;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;1033;39044940163;10;0;0;1;0;1;0;0;0;1;1;0;0;
2004 48 5;1034;39044950116;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1035;39044930391;10;0;1;0;0;1;0;1;0;0;0;0;1;
2004 48 5;1036;39044911441;10;0;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;1037;39044920478;10;0;0;1;0;1;0;0;0;1;0;0;0;
2004 48 5;1038;39044912024;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1039;39044912003;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1040;39044910440;10;0;0;1;1;0;0;0;0;0;0;1;1;
2004 48 5;1041;39044911996;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1042;39044912015;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1043;39044912022;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1044;39044920447;10;0;0;1;1;1;0;0;0;0;1;0;0;
2004 48 5;1045;39044940197;10;0;0;0;0;0;0;0;0;0;0;0;1;
2004 48 5;1046;39044911993;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1047;39044912012;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1048;39044911439;10;0;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;1049;39044820385;10;0;0;1;0;0;0;0;0;1;0;0;1;
2004 48 5;1050;39044911971;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1051;39044940774;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1052;39044920252;10;0;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1053;39044920448;10;0;0;1;1;1;0;0;0;0;1;0;0;
2004 48 5;1054;39044912025;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1055;39044911982;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1056;39044930087;10;0;0;0;0;1;0;0;0;1;0;0;1;
2004 48 5;1057;39044950260;10;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1058;39044920637;10;0;0;0;1;1;0;1;0;0;0;0;0;
2004 48 5;1059;39044950154;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1060;39044910668;10;0;0;0;0;1;0;0;0;0;1;0;1;
2004 48 5;1061;39045210370;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1062;39044930771;10;0;0;0;1;1;0;0;0;1;0;0;0;
2004 48 5;1063;39045210371;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1064;39045210368;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1065;39044850348;10;0;0;1;0;0;0;0;0;0;0;0;1;
2004 48 5;1066;39044920804;10;0;0;0;0;1;0;0;0;1;0;0;0;
2004 48 5;1067;39045130134;10;0;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1068;39044912029;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1069;39044920842;10;0;0;0;1;1;0;0;0;1;1;0;1;
2004 48 5;1070;39044912028;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1071;39044930731;10;0;0;0;0;1;0;1;1;0;0;0;0;
2004 48 5;1072;39044840276;10;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1073;39044950121;10;0;1;0;0;0;0;0;0;0;0;0;1;
2004 48 5;1074;39044940147;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1075;39044930748;10;0;0;0;1;1;0;0;0;1;1;0;1;
2004 48 5;1076;39044912040;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1077;39044911599;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1078;39044950559;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1079;39044840284;10;0;0;1;1;0;0;0;0;1;0;0;1;
2004 48 5;1080;39044912093;10;0;0;0;0;0;0;0;1;0;0;0;0;
2004 48 5;1081;39045120114;10;0;0;0;0;0;0;0;0;0;0;0;1;
2004 48 5;1082;39044851065;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1083;39044920656;10;0;1;0;1;1;0;0;0;1;0;0;0;
2004 48 5;1084;39044920988;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1085;39044950122;10;0;1;0;0;0;0;0;0;0;0;0;1;
2004 48 5;1086;39044920477;10;0;0;1;0;1;0;0;0;1;0;0;1;
2004 48 5;1087;39044950125;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1088;39045110059;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1089;39044930779;10;0;0;0;1;1;0;1;1;0;0;0;1;
2004 48 5;1090;39044910424;10;0;0;1;1;0;0;0;0;0;0;1;0;
2004 48 5;1091;39044930670;10;0;0;0;0;1;0;0;0;0;1;0;0;
2004 48 5;1092;39044920194;10;0;0;0;0;1;0;0;0;1;0;0;1;
2004 48 5;1093;39045210110;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1094;39044940234;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1095;39044930769;10;0;0;0;0;1;0;0;0;0;1;0;0;
2004 48 5;1096;39044910707;10;0;0;0;1;1;0;0;0;1;0;0;1;
2004 48 5;1097;39045210794;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1098;39045210006;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1099;39044830266;10;0;0;1;0;0;0;0;1;0;0;0;1;
2004 48 5;1100;39044930657;10;0;0;0;1;1;0;0;0;0;1;0;0;
2004 48 5;1101;39045220033;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1102;39044930710;10;0;0;0;0;1;0;0;0;1;0;0;1;
2004 48 5;1103;39044940818;10;0;1;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1104;39044850639;10;0;0;0;1;1;0;1;1;0;1;0;1;
2004 48 5;1105;39044910426;10;0;0;1;1;0;0;0;0;0;0;1;0;
2004 48 5;1106;39044930061;10;0;0;0;0;1;1;0;0;1;0;0;1;
2004 48 5;1107;39044950722;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1108;39044940836;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1109;39044910708;10;0;0;0;1;1;0;0;0;1;0;0;1;
2004 48 5;1110;39045150083;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1111;39044920787;10;0;0;0;0;1;0;0;0;0;1;0;0;
2004 48 5;1112;39044850959;10;0;0;0;0;0;0;0;0;0;0;0;1;
2004 48 5;1113;39044950795;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1114;39044921132;10;0;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1115;39045210394;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1116;39044830208;10;0;0;1;0;0;0;0;0;1;0;0;1;
2004 48 5;1117;39044910556;10;0;0;0;0;1;0;1;1;0;0;0;0;
2004 48 5;1118;39044911440;10;0;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;1119;39044911486;10;0;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;1120;39044930740;10;0;0;0;0;1;0;0;0;1;0;0;0;
2004 48 5;1121;39044950257;10;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1122;39044921119;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1123;39044912004;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1124;39044911981;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1125;39044920060;10;0;0;0;1;1;0;0;0;1;0;0;1;
2004 48 5;1126;39044950254;10;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1127;39044920788;10;0;0;0;0;1;0;0;0;0;1;0;0;
2004 48 5;1128;39045150050;10;0;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1129;39044911487;10;0;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;1130;39044912021;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1131;39044911967;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1132;39044950164;10;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1133;39044851023;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1134;39044911438;10;0;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;1135;39044850893;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1136;39044940464;10;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1137;39044950717;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1138;39045220005;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1139;39044950561;10;0;0;0;0;1;0;0;0;1;0;0;0;
2004 48 5;1140;39044910410;10;0;1;1;1;0;0;0;0;0;0;1;1;
2004 48 5;1141;39044920759;10;0;0;0;0;1;0;1;1;0;1;0;0;
2004 48 5;1142;39045210583;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1143;39044920372;10;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1144;39044930774;10;0;0;0;1;1;0;0;0;1;1;0;0;
2004 48 5;1145;39044750303;10;0;0;1;0;1;0;0;0;1;0;0;1;
2004 48 5;1146;39044920783;10;0;0;0;1;1;0;0;0;0;0;0;0;
2004 48 5;1147;39045210147;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1148;39044940357;10;0;0;1;0;1;0;0;0;1;0;0;1;
2004 48 5;1149;39045210818;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1150;39044920688;10;0;0;0;0;1;0;1;1;0;0;0;1;
2004 48 5;1151;39044910409;10;0;1;1;1;0;0;0;0;0;0;1;0;
2004 48 5;1152;39044940802;10;0;0;0;1;1;0;0;0;1;1;0;0;
2004 48 5;1153;39044851694;10;0;0;0;1;1;0;0;0;0;0;0;1;
2004 48 5;1154;39044920205;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1155;39044920289;10;0;0;1;0;0;0;0;0;1;0;0;0;
2004 48 5;1156;39044920426;10;0;0;1;1;1;0;0;0;0;1;0;1;
2004 48 5;1157;39044940956;10;0;1;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1158;39044920662;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1159;39044930361;10;0;0;1;0;0;0;0;0;1;0;0;0;
2004 48 5;1160;39044911087;10;0;0;0;1;1;0;0;1;0;0;0;1;
2004 48 5;1161;39044920183;10;0;0;0;0;1;0;0;0;1;1;0;0;
2004 48 5;1162;39044921146;10;0;0;0;0;1;0;1;0;0;0;0;0;
2004 48 5;1163;39044851237;10;0;0;0;0;0;0;0;0;0;0;0;1;
2004 48 5;1164;39044910425;10;0;0;1;1;0;0;0;0;0;0;1;0;
2004 48 5;1165;39044910727;10;0;0;0;0;1;0;0;0;1;0;0;0;
2004 48 5;1166;39044950483;10;0;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1167;39044930237;10;0;0;0;0;1;0;0;0;0;0;0;1;
2004 48 5;1168;39044930627;10;0;0;0;1;1;0;0;1;0;1;0;0;
2004 48 5;1169;39044851317;10;0;0;0;0;0;0;1;0;0;0;0;1;
2004 48 5;1170;39044920723;10;0;0;0;0;1;0;0;0;1;0;0;0;
2004 48 5;1171;39044930073;10;0;0;0;0;1;0;0;0;1;0;0;1;
2004 48 5;1172;39044840214;10;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1173;39044930177;10;0;0;0;0;1;0;0;0;0;0;0;1;
2004 48 5;1174;39044930698;10;0;0;0;0;1;0;0;0;0;1;0;0;
2004 48 5;1175;39044920719;10;0;0;0;0;1;0;0;0;1;0;0;0;
2004 48 5;1176;39044910398;10;0;1;1;1;0;0;0;0;0;0;1;0;
2004 48 5;1177;39044940958;10;0;0;0;0;0;0;0;0;1;0;0;1;
2004 48 5;1178;39044950732;10;0;0;0;0;1;0;0;0;0;1;0;0;
2004 48 5;1179;39044920112;10;0;0;0;0;1;0;1;1;0;0;0;0;
2004 48 5;1180;39044910151;10;0;0;0;0;0;0;0;0;0;0;1;0;
2004 48 5;1181;39044920843;10;0;0;0;1;1;0;0;0;1;0;0;1;
2004 48 5;1182;39044940343;10;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1183;39044921217;10;0;0;0;0;0;0;0;0;0;0;0;1;
2004 48 5;1184;39044950707;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1185;39044930417;10;0;0;1;0;1;0;0;0;1;1;0;0;
2004 48 5;1186;39044911250;10;0;0;0;0;0;0;0;0;0;0;0;1;
2004 48 5;1187;39044910045;10;0;0;0;0;1;0;0;1;0;0;0;0;
2004 48 5;1188;39044911654;10;0;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;1189;39044930501;10;0;0;1;0;1;0;0;0;1;0;0;0;
2004 48 5;1190;39044940125;10;0;0;0;0;0;0;0;0;0;0;0;1;
2004 48 5;1191;39044950749;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1192;39044930681;10;0;0;0;1;1;0;0;0;1;0;0;1;
2004 48 5;1193;39044910402;10;0;1;1;1;0;0;0;0;0;0;1;0;
2004 48 5;1194;39050130308;10;0;0;0;0;1;0;0;0;1;0;0;0;
2004 48 5;1195;39045220030;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1196;39044920180;10;0;0;0;0;1;0;0;1;0;0;0;1;
2004 48 5;1197;39044850443;10;0;0;1;1;1;0;0;0;1;1;0;0;
2004 48 5;1198;39044910150;10;0;0;0;0;0;0;0;0;0;0;1;0;
2004 48 5;1199;39044930071;10;0;0;0;0;1;0;0;0;1;0;0;1;
2004 48 5;1200;39045110168;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1201;39045210302;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1202;39045210369;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1203;39045210815;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1204;39045210665;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1205;39045210694;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1206;39044950252;10;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1207;39044911163;10;0;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;1208;39044920955;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1209;39044950222;10;0;1;0;0;0;0;1;1;0;0;0;1;
2004 48 5;1210;39044930741;10;0;0;0;0;1;0;0;0;1;0;0;0;
2004 48 5;1211;39044950253;10;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;1212;39044910121;10;0;0;0;1;1;0;0;0;0;0;0;0;
2004 48 5;1213;39044920080;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1214;39045210035;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1215;39045210377;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1216;39044930459;10;0;0;1;1;0;0;0;0;1;0;0;1;
2004 48 5;1217;39044912323;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1218;39044921415;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1219;39044740590;10;0;0;0;0;1;0;0;0;0;1;0;0;
2004 48 5;1220;39045020128;10;0;1;0;0;0;0;0;0;0;0;0;1;
2004 48 5;1221;39044912464;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1222;39044912255;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1223;39044912240;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1224;39045030825;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1225;39044850705;10;0;0;0;1;1;0;0;0;1;1;0;1;
2004 48 5;1226;39045130438;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1227;39044912254;10;0;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1228;39044912370;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1229;39044850325;10;0;0;1;0;0;0;0;0;0;0;0;1;
2004 48 5;1230;39044741006;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1231;39044930936;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1232;39050420011;10;0;0;0;0;0;0;0;0;0;0;1;1;
2004 48 5;1233;39044912449;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1234;39044850464;10;0;1;1;0;1;0;0;0;0;1;0;0;
2004 48 5;1235;39044930062;10;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;1236;39044741079;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1237;39045020862;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1238;39044921259;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1239;39044921269;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1240;39044750909;10;0;0;0;0;1;0;0;0;0;1;0;0;
2004 48 5;1241;39044921260;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1242;39044840598;10;0;0;0;0;1;0;0;0;0;0;0;1;
2004 48 5;1243;39045020505;10;0;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;1244;39044921266;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1245;39044921263;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1246;39044921265;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1247;39044850457;10;0;0;1;0;1;0;0;0;1;1;0;1;
2004 48 5;1248;39044921268;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1249;39044741015;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1250;39044921285;9;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;1;39044830597;14;0;0;0;0;1;0;0;0;0;0;0;1;
2004 49 1;2;39045020498;14;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;3;39050140112;14;0;0;0;1;0;0;1;1;0;0;0;0;
2004 49 1;4;39044810037;14;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;5;39044840489;14;0;0;0;0;1;0;0;0;0;0;0;1;
2004 49 1;6;39044741198;14;0;0;0;0;1;0;0;0;0;1;0;0;
2004 49 1;7;39044850439;14;0;0;1;0;1;0;0;0;1;0;0;0;
2004 49 1;8;39044830596;14;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 1;9;39044912282;14;0;1;0;0;0;0;0;0;0;0;0;1;
2004 49 1;10;39044840541;14;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 1;11;39044811416;14;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;12;39044910259;14;0;0;1;0;1;0;0;0;0;1;0;0;
2004 49 1;13;39045030492;14;0;1;0;0;0;0;0;0;0;0;0;1;
2004 49 1;14;39044840562;14;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 1;15;39044930011;12;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;16;39044741067;12;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 1;17;39044912283;12;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 1;18;39044850463;12;0;1;1;0;1;0;0;0;0;1;0;1;
2004 49 1;19;39044921466;12;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;20;39044921449;12;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;21;39044741028;12;0;0;0;0;1;0;0;0;0;0;0;0;
2004 49 1;22;39044921554;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;23;39044840409;1;0;0;0;0;1;0;1;1;0;1;0;1;
2004 49 1;24;39045030141;1;0;0;0;0;0;0;0;0;1;0;0;0;
2004 49 1;25;39044912423;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;26;39045210748;1;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 1;27;39044921502;6;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;28;39044741063;6;0;0;0;0;1;0;0;0;0;0;0;1;
2004 49 1;29;39044810421;10;0;0;0;0;1;0;0;0;0;1;0;0;
2004 49 1;30;39044840229;10;0;1;1;0;0;0;0;0;0;0;0;0;
2004 49 1;31;39044820367;10;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;32;39044820287;10;0;1;1;0;0;0;0;0;0;0;0;1;
2004 49 1;33;39044921465;12;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;34;39044840468;12;0;0;0;1;1;0;0;0;1;1;0;0;
