Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;HPRC7;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;LPRC11;
2004 49 2;78;24044920764;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;79;24044940066;15;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;80;24044921320;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;81;24044921347;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;82;24044920882;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;83;24044921236;8;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;84;24044921047;8;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;85;24044920581;9;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;86;24044921307;9;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 49 2;87;24044920742;9;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;88;24044920656;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;89;24044920738;9;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;90;24044921309;9;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;91;24044930450;9;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;92;24044921325;14;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;93;24044911037;14;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;
2004 49 2;94;24044921010;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;95;24044921118;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;96;24044920768;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;97;24044850236;15;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;98;24044921203;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;99;24044921272;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;100;24044920862;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;101;24044921161;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;102;24044920288;11;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;103;24044920971;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;104;24044921248;11;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;105;24044921165;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;106;24044920966;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;107;24044910085;11;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;108;24044920955;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;109;24044920809;8;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 2;110;24044921046;8;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;111;24044921227;8;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;112;24044920774;5;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;113;24044911036;5;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;114;24044921134;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;115;24044921218;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;116;24044920849;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;117;24044921244;14;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;118;24050250001;14;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;119;24044920951;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;120;24044830282;11;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;
2004 49 2;121;24044920959;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;122;24044921197;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;123;24044920765;11;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;
2004 49 2;124;24044921096;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;125;24044921379;11;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;126;24044920819;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;127;24044930442;9;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;128;24044921339;9;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;129;24044921361;9;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;
2004 49 2;130;24044921076;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;131;24044920911;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;132;24044920642;3;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;133;24044920700;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 2;134;24044920784;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;135;24044920724;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;136;24045040093;3;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 49 2;137;24044920710;3;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;
2004 49 2;138;24044921029;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;139;24044921007;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;140;24044840132;12;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 2;141;24044611003;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;142;24044921091;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;143;24044920821;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;144;24044910084;11;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;145;24044921164;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;146;24044921268;11;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;147;24044920931;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;148;24044920545;11;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;149;24045040311;11;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;150;24044920824;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;151;24044920900;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;152;24044910737;15;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;
2004 49 2;153;24044920811;4;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;154;24044920719;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;155;24044920958;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;156;24044920831;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;157;24044920822;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;158;24044930440;14;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;159;24044921323;14;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;160;24044921016;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;161;24044921135;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;162;24044920297;15;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 2;163;24044921023;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;164;24044921278;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;165;24044921213;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;166;24044920867;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;167;24044850237;15;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;168;24044920706;15;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;169;24044920762;15;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;170;24044921302;15;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;171;24044850240;15;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;172;24044920878;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;173;24044921060;8;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;174;24044920301;11;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 2;175;24044921083;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;176;24044920799;11;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;177;24044920950;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;178;24044920381;11;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;179;24044921166;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;180;24044921267;11;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;181;24044920838;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;182;24044910730;11;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;
2004 49 2;183;24044710819;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;184;24044910874;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;185;24044921081;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;186;24044910873;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;187;24044920704;11;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;188;24044920780;11;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;189;24044920973;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;190;24044921169;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;191;24044930364;11;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;192;24044920760;11;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;193;24044920818;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;194;24044920827;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;195;24044930363;11;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;196;24044921108;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;197;24044921330;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;198;24044920923;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;199;24044920892;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;200;24044920304;11;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 2;201;24044921160;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;202;24044921260;11;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;203;24044920771;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;204;24044920258;11;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;
2004 49 2;205;24044920935;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;206;24044920886;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;207;24044921285;8;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;208;24044921229;8;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;209;24045040108;8;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;210;24044920480;5;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;211;24044921000;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;212;24045040161;6;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;213;24044920857;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;214;24044921006;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;215;24044921276;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;216;24044921008;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;217;24044921277;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;218;24045040315;15;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;219;24044921237;8;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;220;24044920888;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;221;24044920734;8;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;
2004 49 2;222;24044910731;11;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;
2004 49 2;223;24044920977;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;224;24044921380;11;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;225;24044920893;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;226;24044920290;11;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;227;24044920932;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;228;24044910884;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;229;24044920820;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;230;24044930330;11;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;231;24044921178;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;232;24044920972;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;233;24044921354;11;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 49 2;234;24044921185;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;235;24044930138;11;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 2;236;24044920829;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;237;24044921193;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;238;24044920058;5;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;239;24044920779;5;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
