Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;
2004 49 2;11;23044921268;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;12;23044921012;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;13;23044921271;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;14;23044921293;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;15;23044710116;1;1;0;1;1;0;0;0;0;1;0;0;1;
2004 49 2;16;23044921011;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;17;23044910545;1;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;18;23044910488;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;19;23044920491;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;20;23044921009;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;21;23044750233;2;0;0;1;1;0;0;0;0;0;0;0;0;
2004 49 2;22;23044921039;9;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;23;23044920650;9;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;24;23044640512;9;0;0;0;0;0;1;0;1;0;0;0;0;
2004 49 2;25;23044920665;9;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;26;23044920474;13;1;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;27;23044920371;13;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;28;23044640398;13;0;0;1;0;0;1;0;1;0;0;0;1;
2004 49 2;29;23044650019;9;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 2;30;23044920688;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;31;23044921228;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;32;23044921018;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;33;23044920893;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;34;23044920878;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;35;23044921190;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;36;23044650086;2;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 2;37;23044920803;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;38;23044640555;1;0;0;1;0;0;1;0;1;0;0;0;0;
2004 49 2;39;23044920863;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;40;23044920597;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;41;23044920830;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;42;23044920814;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;43;23044920463;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;44;23044750251;13;0;0;1;1;0;0;0;0;0;0;0;0;
2004 49 2;45;23044920429;13;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;46;23044921273;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;47;23044921015;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;48;23044921101;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;49;23044921290;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;50;23044650030;8;0;0;0;1;0;0;0;0;1;0;0;0;
2004 49 2;51;23044920765;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;52;23044920573;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;53;23044920480;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;54;23044920477;13;0;1;0;0;0;1;1;0;0;0;0;0;
2004 49 2;55;23044640467;13;0;0;1;0;0;1;0;1;0;1;0;0;
2004 49 2;56;23044650172;13;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 2;57;23044921226;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;58;23044920696;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;59;23044921189;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;60;23044920674;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;61;23044921214;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;62;23044920699;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;63;23044921220;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;64;23044920880;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;65;23044920689;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;66;23044750249;13;0;0;1;1;0;0;0;0;0;0;0;0;
2004 49 2;67;23044920380;13;0;1;0;0;0;1;1;0;0;0;0;0;
2004 49 2;68;23044920454;8;1;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;69;23044920558;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;70;23044920754;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;71;23044920755;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;72;23044640117;8;0;0;1;1;0;0;0;0;0;0;0;0;
2004 49 2;73;23044920753;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;74;23044920571;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;75;23044920488;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;76;23044640291;8;0;0;0;0;0;1;0;1;0;1;0;0;
2004 49 2;77;23044920339;13;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;78;23044710111;9;1;0;1;1;0;0;0;0;0;0;0;1;
2004 49 2;79;23044921041;9;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;80;23044921043;9;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;81;23044920502;9;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;82;23044920667;9;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;83;23044920664;9;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;84;23044830137;9;0;1;0;1;0;0;0;0;0;0;0;0;
2004 49 2;85;23044921053;9;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;86;23044920660;9;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;87;23044920666;9;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;88;23044640421;9;0;0;0;0;0;1;0;1;0;0;0;0;
2004 49 2;89;23044920663;9;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;90;23044921047;9;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;91;23044810210;9;0;0;0;1;0;0;0;0;0;0;0;1;
2004 49 2;92;23044921054;9;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;93;23044920661;9;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;94;23044920811;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;95;23044921093;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;96;23044920423;1;0;1;1;0;0;1;1;0;0;0;0;0;
2004 49 2;97;23044450013;1;1;0;0;1;0;0;0;0;1;0;0;0;
2004 49 2;98;23044920641;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;99;23044920856;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;100;23044921013;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;101;23044920797;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;102;23044921063;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;103;23044920401;1;0;1;0;0;0;1;1;0;0;0;0;0;
2004 49 2;104;23044750236;2;0;0;1;1;0;0;0;0;0;0;0;0;
2004 49 2;105;23044920669;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;106;23044920901;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;107;23044920676;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;108;23044920445;7;1;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;109;23044920687;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;110;23044640072;7;0;0;1;1;0;0;0;0;0;1;0;0;
2004 49 2;111;23044921200;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;112;23044920680;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;113;23044921229;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;114;23044921027;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;115;23044921218;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;116;23044602736;7;0;0;1;1;0;1;1;0;0;0;0;0;
2004 49 2;117;23044920892;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;118;23044920704;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;119;23044920471;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;120;23044920670;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;121;23044920905;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;122;23044920355;13;0;1;0;0;0;1;1;0;0;0;0;0;
2004 49 2;123;23044750254;8;1;0;1;1;0;0;0;0;0;0;0;0;
2004 49 2;124;23044920775;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;125;23044930261;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;126;23044920770;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;127;23044920481;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;128;23044930277;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;129;23044810137;8;0;0;1;1;0;0;0;0;0;0;0;1;
2004 49 2;130;23044921262;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;131;23044920791;8;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;132;23044920576;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;133;23044921236;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;134;23044920577;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;135;23044750240;8;0;0;1;1;0;0;0;0;0;0;0;0;
2004 49 2;136;23044920557;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;137;23044930294;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;138;23044921242;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;139;23044920894;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;140;23044921217;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;141;23044810148;13;0;1;0;1;0;0;0;0;0;0;0;0;
2004 49 2;142;23044920697;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;143;23044920914;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;144;23044920706;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;145;23044921227;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;146;23044921230;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;147;23044640466;13;0;0;1;0;0;1;0;1;0;1;0;0;
2004 49 2;148;23044920335;13;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;149;23044610052;8;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 2;150;23044920562;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;151;23044920751;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;152;23044920575;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;153;23044920749;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;154;23044920759;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;155;23044640047;8;0;0;1;1;0;0;0;0;0;0;1;0;
2004 49 2;156;23044921294;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;157;23044920848;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;158;23044920409;1;0;1;0;0;0;1;1;0;0;0;0;0;
2004 49 2;159;23044920802;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;160;23044920599;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;161;23044550004;1;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 2;162;23044640435;1;0;0;1;0;0;1;0;1;0;0;0;0;
2004 49 2;163;23044921060;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;164;23044920859;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;165;23044920633;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;166;23044921058;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;167;23044920618;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;168;23044921276;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;169;23044920821;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;170;23044920235;1;1;1;1;1;0;0;0;0;0;0;0;0;
2004 49 2;171;23044930609;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;172;23044920860;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;173;23044921289;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;174;23044920804;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;175;23044920868;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;176;23044920592;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;177;23044921091;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;178;23044920614;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;179;23044921076;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;180;23044920231;11;0;1;1;1;0;0;0;0;0;0;0;1;
2004 49 2;181;23044921194;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;182;23044920479;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;183;23044921191;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;184;23044920673;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;185;23044920885;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;186;23044650177;2;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 2;187;23044920363;13;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;188;23044920979;6;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;189;23044921159;6;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;190;23044930626;6;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;191;23044640359;2;0;0;1;0;0;1;0;1;0;0;0;0;
2004 49 2;192;23044650073;2;0;0;0;1;0;0;0;0;0;0;1;1;
2004 49 2;193;23044920526;2;0;0;0;0;1;1;1;0;0;0;0;0;
2004 49 2;194;23044920343;13;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;195;23044921292;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;196;23044921067;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;197;23044920792;2;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;198;23044640120;2;0;0;0;1;0;1;1;0;0;0;0;0;
2004 49 2;199;23044920532;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;200;23044920602;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;201;23044930178;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;202;23044921279;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;203;23044920632;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;204;23044810094;1;1;0;0;1;0;0;0;0;1;1;0;1;
2004 49 2;205;23044920613;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;206;23044921086;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;207;23044920611;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;208;23044921070;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;209;23044930186;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;210;23044920624;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;211;23044920866;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;212;23044920631;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;213;23044921104;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;214;23044920536;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;215;23044921281;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;216;23044640263;1;0;0;0;0;0;1;0;1;0;0;0;0;
2004 49 2;217;23044750253;2;1;0;1;1;0;0;0;0;0;0;0;0;
2004 49 2;218;23044920348;13;0;1;0;0;0;1;1;0;0;0;0;0;
2004 49 2;219;23044920808;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;220;23044921005;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;221;23044920799;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;222;23044921287;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;223;23044750238;2;0;0;1;1;0;0;0;0;0;0;0;0;
2004 49 2;224;23044920852;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;225;23044920997;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;226;23044930177;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;227;23044921016;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;228;23044921073;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;229;23044920844;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;230;23044640581;1;0;0;0;0;0;1;0;1;0;0;0;0;
2004 49 2;231;23044640183;1;0;0;1;1;0;0;0;0;0;0;0;0;
2004 49 2;232;23044920876;1;0;0;0;0;1;1;1;0;0;0;0;0;
2004 49 2;233;23044920508;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;234;23044921001;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;235;23044930174;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;236;23044920539;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;237;23044920857;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;238;23044640378;1;0;0;1;0;0;1;0;1;0;1;0;0;
2004 49 2;239;23044720244;1;0;0;0;1;0;0;0;0;0;0;0;1;
2004 49 2;240;23044920634;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;241;23044921057;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;242;23044920407;1;0;1;0;0;0;1;1;0;0;0;0;0;
2004 49 2;243;23044921075;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;244;23044920636;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;245;23044750237;2;0;0;1;1;0;0;0;0;0;0;0;0;
2004 49 2;246;23044920690;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;247;23044920883;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;248;23044921032;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;249;23044921210;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;250;23044921029;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;251;23045150026;7;1;0;1;0;0;0;0;0;1;0;0;1;
2004 49 2;252;23044920161;7;0;0;0;1;0;1;1;0;0;0;0;0;
2004 49 2;253;23044921198;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;254;23044920456;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;255;23044921202;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;256;23044921035;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;257;23044921225;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;258;23044920705;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;259;23044920881;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;260;23044921184;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;261;23044520002;7;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 2;262;23044920916;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;263;23044930512;7;0;0;1;0;0;1;1;0;0;0;0;0;
2004 49 2;264;23044921231;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;265;23044921192;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;266;23044921036;7;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;267;23044920879;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;268;23044921209;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;269;23044750143;2;1;0;1;1;0;0;0;0;0;0;0;1;
2004 49 2;270;23044920470;3;0;0;0;0;1;1;1;0;0;0;0;0;
2004 49 2;271;23044920372;13;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;272;23044921261;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;273;23044921234;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;274;23044920578;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;275;23044920780;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;276;23044750244;8;0;0;1;1;0;0;0;0;0;0;0;0;
2004 49 2;277;23044921144;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;278;23044920388;10;0;1;0;0;0;1;1;0;0;0;0;0;
2004 49 2;279;23044921156;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;280;23044920948;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;281;23044920943;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;282;23044750006;10;1;0;0;1;0;0;0;0;1;1;0;1;
2004 49 2;283;23044920741;10;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;284;23044920438;10;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 2;285;23044920743;10;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;286;23044921153;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;287;23044920736;10;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;288;23044650045;2;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 2;289;23044920359;13;0;1;0;0;0;1;1;0;0;0;0;0;
2004 49 2;290;23044920964;11;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;291;23044930510;11;0;0;1;0;0;1;1;0;0;0;0;0;
2004 49 2;292;23044640296;11;0;0;0;0;0;1;0;1;0;1;0;0;
2004 49 2;293;23044920461;11;0;0;0;0;0;1;1;0;0;0;0;1;
2004 49 2;294;23044710202;11;1;0;0;1;0;0;0;0;0;0;0;0;
2004 49 2;295;23044920955;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;296;23044921126;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;297;23044921107;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;298;23044921132;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;299;23044921148;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;300;23044920952;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;301;23044921155;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;302;23044750248;13;0;0;1;1;0;0;0;0;0;0;0;0;
2004 49 2;303;23044920517;13;0;0;0;0;0;1;1;0;0;1;0;1;
2004 49 2;304;23044920482;13;1;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;305;23044920737;10;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;306;23044921134;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;307;23044920940;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;308;23044750229;2;0;0;1;1;0;0;0;0;0;0;0;0;
2004 49 2;309;23044921002;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;310;23044921072;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;311;23044920410;1;0;1;0;0;0;1;1;0;0;0;0;0;
2004 49 2;312;23044921282;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;313;23044920807;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;314;23044920524;1;0;0;0;0;1;1;1;0;0;0;0;0;
2004 49 2;315;23044921085;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;316;23044920644;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;317;23044820120;1;1;0;1;1;0;0;0;0;0;0;0;0;
