Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;
2004 50 4;138;35045040078;3;0;0;
2004 50 4;139;35044750290;4;1;1;
2004 50 4;140;35045040427;4;0;0;
2004 50 4;141;35045040001;4;1;1;
2004 50 4;142;35045040178;4;0;1;
2004 50 4;143;35044520182;4;1;1;
2004 50 4;144;35045040353;4;0;0;
2004 50 4;145;35044520174;4;1;1;
2004 50 4;146;35045040162;4;0;1;
2004 50 4;147;35045040018;4;1;1;
2004 50 4;148;35045040340;4;0;0;
2004 50 4;149;35045040031;4;1;1;
2004 50 4;150;35045040361;4;0;0;
2004 50 4;151;35044510139;4;1;1;
2004 50 4;152;35045040279;4;0;1;
2004 50 4;153;35045040244;4;0;0;
2004 50 4;154;35045040010;4;1;1;
2004 50 4;155;35045040377;4;0;0;
2004 50 4;156;35044510148;4;1;1;
2004 50 4;157;35045040400;4;0;1;
2004 50 4;158;35045040364;4;0;0;
2004 50 4;159;35045040013;4;1;1;
2004 50 4;160;35045040189;4;0;0;
2004 50 4;161;35045040276;4;0;1;
2004 50 4;162;35045040016;4;1;1;
2004 50 4;163;35045040230;4;0;1;
2004 50 4;164;35044520107;4;1;1;
2004 50 4;165;35045040267;4;0;0;
2004 50 4;166;35045040155;4;0;1;
2004 50 4;167;35044510091;4;1;1;
2004 50 4;168;35045040188;4;0;0;
2004 50 4;169;35045040026;4;1;1;
2004 50 4;170;35045040185;4;0;0;
2004 50 4;171;35045040017;4;1;1;
2004 50 4;172;35045040413;4;0;1;
2004 50 4;173;35045040157;4;0;0;
2004 50 4;174;35044660089;4;1;1;
2004 50 4;175;35045040202;4;0;1;
2004 50 4;176;35045040014;4;1;1;
2004 50 4;177;35045040266;4;0;0;
2004 50 4;178;35044540165;4;1;1;
2004 50 4;179;35045040245;4;0;0;
2004 50 4;180;35045040180;4;0;1;
2004 50 4;181;35045040247;4;0;0;
2004 50 4;182;35044520229;4;1;1;
2004 50 4;183;35045040379;4;0;0;
2004 50 4;184;35045040398;4;0;1;
2004 50 4;185;35045040015;4;1;1;
2004 50 4;186;35045040277;4;0;1;
2004 50 4;187;35045040380;4;0;0;
2004 50 4;188;35044520190;4;1;1;
2004 50 4;189;35045040275;4;0;1;
2004 50 4;190;35045040004;4;1;1;
2004 50 4;191;35045040246;4;0;0;
2004 50 4;192;35044510118;4;1;1;
2004 50 4;193;35045040291;4;0;0;
2004 50 4;194;35044510212;4;1;1;
2004 50 4;195;35045040389;4;0;0;
2004 50 4;196;35045040002;4;1;1;
2004 50 4;197;35045040231;4;0;1;
2004 50 4;198;35044520079;4;1;1;
2004 50 4;199;35045040378;4;0;0;
2004 50 4;200;35044540254;4;1;1;
2004 50 4;201;35045040159;4;0;0;
2004 50 4;202;35045040179;4;0;1;
2004 50 4;203;35045040362;4;0;0;
2004 50 4;204;35044520075;4;1;1;
2004 50 4;205;35045040166;4;0;0;
2004 50 4;206;35045040274;4;0;1;
2004 50 4;207;35045040401;4;0;1;
2004 50 4;208;35045040352;4;0;0;
2004 50 4;209;35044510209;4;1;1;
2004 50 4;210;35045320021;4;0;1;
2004 50 4;211;35045040205;4;0;0;
2004 50 4;212;35044820180;4;1;1;
2004 50 4;213;35045040206;4;0;0;
2004 50 4;214;35045040003;4;1;1;
2004 50 4;215;35045040278;4;0;1;
2004 50 4;216;35045050375;4;0;0;
2004 50 4;217;35044350194;4;1;1;
2004 50 4;218;35045050247;4;0;0;
2004 50 4;219;35044350163;4;1;1;
2004 50 4;220;35045040229;4;0;1;
2004 50 4;221;35045040012;4;1;1;
2004 50 4;222;35045040363;4;0;0;
2004 50 4;223;35045040399;4;0;1;
2004 50 4;224;35045240034;4;0;1;
2004 50 4;225;35045040390;4;0;0;
2004 50 4;226;35044350197;4;1;1;
2004 50 4;227;35045050220;4;0;0;
2004 50 4;228;35045040412;4;0;1;
2004 50 4;229;35045040030;5;1;1;
2004 50 4;230;35045040366;5;0;0;
2004 50 4;231;35045040415;5;0;1;
2004 50 4;232;35045040344;5;0;0;
2004 50 4;233;35045040284;5;0;1;
2004 50 4;234;35045040019;5;1;1;
2004 50 4;235;35045040217;5;0;1;
2004 50 4;236;35045040285;5;0;1;
2004 50 4;237;35045040009;5;1;1;
2004 50 4;238;35045040249;5;0;0;
2004 50 4;239;35044520233;5;1;1;
2004 50 4;240;35045040383;5;0;0;
2004 50 4;241;35045040021;5;1;1;
2004 50 4;242;35045040160;5;0;0;
2004 50 4;243;35045040022;5;1;1;
2004 50 4;244;35045040193;5;0;0;
2004 50 4;245;35045040402;5;0;1;
2004 50 4;246;35045040405;5;0;1;
2004 50 4;247;35045040250;5;0;0;
2004 50 4;248;35045040233;5;0;1;
2004 50 4;249;35044510134;5;1;1;
2004 50 4;250;35045040392;5;0;0;
2004 50 4;251;35044510125;5;1;1;
2004 50 4;252;35045040382;5;0;0;
2004 50 4;253;35045040283;5;0;1;
2004 50 4;254;35045040248;5;0;0;
2004 50 4;255;35045040207;5;0;1;
2004 50 4;256;35045130051;5;0;0;
2004 50 4;257;35045040011;5;1;1;
2004 50 4;258;35045040354;5;0;0;
2004 50 4;259;35045040281;5;0;1;
2004 50 4;260;35045040156;5;0;0;
2004 50 4;261;35045040020;5;1;1;
2004 50 4;262;35045040227;5;0;0;
2004 50 4;263;35045040404;5;0;1;
2004 50 4;264;35045040421;5;0;0;
2004 50 4;265;35044520116;5;1;1;
2004 50 4;266;35045320058;5;0;1;
2004 50 4;267;35045040280;5;0;1;
2004 50 4;268;35045040232;5;0;1;
2004 50 4;269;35045040191;5;0;1;
2004 50 4;270;35045040211;5;0;1;
2004 50 4;271;35045040384;5;0;0;
2004 50 4;272;35044510210;5;1;1;
2004 50 4;273;35045040251;5;0;0;
2004 50 4;274;35045040203;5;0;1;
2004 50 4;275;35045040368;5;0;0;
2004 50 4;276;35045040234;5;0;1;
2004 50 4;277;35045040345;5;0;0;
2004 50 4;278;35044520115;5;1;1;
2004 50 4;279;35045040190;5;0;0;
2004 50 4;280;35045040208;5;0;1;
2004 50 4;281;35044520260;5;1;1;
2004 50 4;282;35045040186;5;0;0;
2004 50 4;283;35045040152;5;0;1;
2004 50 4;284;35045040212;5;0;0;
2004 50 4;285;35045040201;5;0;1;
2004 50 4;286;35045040252;5;0;0;
2004 50 4;287;35045040210;5;0;1;
2004 50 4;288;35045040365;5;0;0;
2004 50 4;289;35045040023;5;1;1;
2004 50 4;290;35045040343;5;0;0;
2004 50 4;291;35045040403;5;0;1;
2004 50 4;292;35045040199;5;0;0;
2004 50 4;293;35045040027;5;1;1;
2004 50 4;294;35045040351;5;0;0;
2004 50 4;295;35044520204;5;1;1;
2004 50 4;296;35045040381;5;0;0;
2004 50 4;297;35045040282;5;0;1;
2004 50 4;298;35045040391;5;0;0;
2004 50 4;299;35045040007;5;1;1;
2004 50 4;300;35045040341;5;0;0;
2004 50 4;301;35044520167;5;1;1;
2004 50 4;302;35045040367;5;0;0;
2004 50 4;303;35045040414;5;0;1;
2004 50 4;304;35045040008;5;1;1;
2004 50 4;305;35045020248;6;0;0;
2004 50 4;306;35045040066;6;0;1;
2004 50 4;307;35045120316;6;0;0;
2004 50 4;308;35045040174;6;0;0;
2004 50 4;309;35044940337;6;0;0;
2004 50 4;310;35045040175;6;0;0;
2004 50 4;311;35045040150;6;0;1;
2004 50 4;312;35045040176;6;0;0;
2004 50 4;313;35045040409;6;0;1;
2004 50 4;314;35045040395;6;0;0;
2004 50 4;315;35045040061;6;0;0;
2004 50 4;316;35045040173;6;0;0;
2004 50 4;317;35045040187;6;0;0;
2004 50 4;318;35045040172;6;0;0;
2004 50 4;319;35045040151;6;0;1;
2004 50 4;320;35045040387;6;0;0;
2004 50 4;321;35045040416;7;0;1;
2004 50 4;322;35045330023;7;0;0;
2004 50 4;323;35045040154;7;0;1;
2004 50 4;324;35045040005;7;1;1;
2004 50 4;325;35045040161;7;0;0;
2004 50 4;326;35044630131;7;1;1;
2004 50 4;327;35045040254;7;0;0;
2004 50 4;328;35045040287;7;0;1;
2004 50 4;329;35045040223;7;0;1;
2004 50 4;330;35045040164;7;0;1;
2004 50 4;331;35045040349;7;0;0;
2004 50 4;332;35045040024;7;1;1;
2004 50 4;333;35045040222;7;0;1;
2004 50 4;334;35045040286;7;0;1;
2004 50 4;335;35045040033;7;1;1;
2004 50 4;336;35045040289;7;0;1;
2004 50 4;337;35045040032;7;1;1;
2004 50 4;338;35044940149;7;0;1;
2004 50 4;339;35045040253;7;0;0;
2004 50 4;340;35045040290;7;0;1;
2004 50 4;341;35044920113;7;0;1;
2004 50 4;342;35045040257;7;0;0;
2004 50 4;343;35045040025;7;1;1;
2004 50 4;344;35045040394;7;0;0;
2004 50 4;345;35045040153;7;0;1;
2004 50 4;346;35045040198;7;0;0;
2004 50 4;347;35045040034;7;1;1;
2004 50 4;348;35045040256;7;0;0;
2004 50 4;349;35044920114;7;0;1;
2004 50 4;350;35044830123;7;1;1;
2004 50 4;351;35045040255;7;0;0;
2004 50 4;352;35044630157;7;1;1;
2004 50 4;353;35045040386;7;0;0;
2004 50 4;354;35045040196;7;0;1;
2004 50 4;355;35045040406;7;0;1;
2004 50 4;356;35044630138;7;1;1;
2004 50 4;357;35045040370;7;0;0;
2004 50 4;358;35045040235;7;0;1;
2004 50 4;359;35045040149;7;0;0;
2004 50 4;360;35045040221;7;0;1;
2004 50 4;361;35045040197;7;0;1;
2004 50 4;362;35045040369;7;0;0;
2004 50 4;363;35045040408;7;0;1;
2004 50 4;364;35045040288;7;0;1;
2004 50 4;365;35045040228;7;0;0;
2004 50 4;366;35045040220;7;0;1;
2004 50 4;367;35045040348;7;0;0;
2004 50 4;368;35044630061;7;1;1;
2004 50 4;369;35045040393;7;0;0;
2004 50 4;370;35045040177;7;0;1;
2004 50 4;371;35045040385;7;0;0;
2004 50 4;372;35050430027;7;1;1;
2004 50 4;373;35045040407;7;0;1;
2004 50 4;374;35045040225;7;0;1;
2004 50 4;375;35044950180;7;0;0;
2004 50 4;376;35045040236;7;0;1;
