Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;
2004 48 3;272;64044850371;7;0;0;0;0;0;0;
2004 48 3;273;64044850282;7;1;1;0;0;0;0;
2004 48 3;274;64044840278;7;0;0;1;0;0;0;
2004 48 3;275;64044850538;7;0;1;0;0;0;0;
2004 48 3;276;64044840302;6;0;0;0;0;0;0;
2004 49 4;1;64044921014;3;0;0;0;0;0;0;
2004 49 4;2;64045050105;2;1;1;1;0;0;0;
2004 49 4;3;64044920923;3;0;0;0;0;0;0;
2004 49 4;4;64044921217;3;0;1;0;0;0;0;
2004 49 4;5;64044941051;3;0;0;0;0;0;0;
2004 49 4;6;64044940583;3;0;0;0;0;0;0;
2004 49 4;7;64044910322;1;0;1;1;0;0;0;
2004 49 4;8;64045040751;1;1;0;1;0;0;0;
2004 49 4;9;64044910315;1;0;0;1;0;0;0;
2004 49 4;10;64044920785;1;0;0;0;0;0;0;
2004 49 4;11;64044920995;1;0;1;1;0;0;0;
2004 49 4;12;64044920829;1;0;0;0;0;0;0;
2004 49 4;13;64044920866;1;0;0;0;0;0;0;
2004 49 4;14;64044931153;1;0;1;0;0;0;0;
2004 49 4;15;64044910412;1;0;0;1;0;0;0;
2004 49 4;16;64044920944;1;0;1;1;0;0;0;
2004 49 4;17;64044940761;1;1;0;1;0;0;0;
2004 49 4;18;64044930789;1;0;0;0;0;0;0;
2004 49 4;19;64044920854;12;0;0;0;0;0;0;
2004 49 4;20;64044940506;12;0;0;0;0;0;0;
2004 49 4;21;64044940599;12;0;0;0;0;0;0;
2004 49 4;22;64044940596;12;0;0;0;0;0;0;
2004 49 4;23;64044940601;12;0;0;0;0;0;0;
2004 49 4;24;64044950118;2;1;1;1;0;0;0;
2004 49 4;25;64044930901;7;0;0;1;0;0;0;
2004 49 4;26;64044921003;7;0;0;0;0;0;0;
2004 49 4;27;64044940735;7;0;0;1;0;0;0;
2004 49 4;28;64044940373;2;0;1;1;0;0;0;
2004 49 4;29;64045010900;2;1;0;1;0;0;0;
2004 49 4;30;64044940580;3;0;0;0;0;0;0;
2004 49 4;31;64044921222;3;0;1;0;0;0;0;
2004 49 4;32;64044940578;3;0;0;0;0;0;0;
2004 49 4;33;64044931147;3;0;1;0;0;0;0;
2004 49 4;34;64044940532;3;0;0;0;0;0;0;
2004 49 4;35;64044940575;3;0;0;0;0;0;0;
2004 49 4;36;64044931148;3;0;1;0;0;0;0;
2004 49 4;37;64044940504;12;0;0;0;0;0;0;
2004 49 4;38;64044940597;12;0;0;0;0;0;0;
2004 49 4;39;64044940784;12;0;0;0;0;1;0;
2004 49 4;40;64044940598;12;0;0;0;0;0;0;
2004 49 4;41;64044950465;12;1;0;1;0;0;0;
2004 49 4;42;64044940789;12;0;0;0;0;0;0;
2004 49 4;43;64044910405;12;0;0;1;0;0;0;
2004 49 4;44;64044940603;12;0;0;0;0;0;0;
2004 49 4;45;64044940600;12;0;0;0;0;0;0;
2004 49 4;46;64044940595;12;0;0;0;0;0;0;
2004 49 4;47;64044940604;12;0;0;0;0;0;0;
2004 49 4;48;64045010831;2;1;1;1;0;0;0;
2004 49 4;49;64044921166;11;0;0;1;0;0;0;
2004 49 4;50;64044921162;11;0;0;1;0;0;0;
2004 49 4;51;64044931186;11;0;0;1;0;0;0;
2004 49 4;52;64044931183;11;0;0;1;0;0;0;
2004 49 4;53;64044931189;11;0;0;1;0;0;0;
2004 49 4;54;64044931184;11;0;0;1;0;0;0;
2004 49 4;55;64044921170;6;0;1;0;0;0;0;
2004 49 4;56;64045050161;6;1;0;1;0;0;0;
2004 49 4;57;64044931201;6;0;1;0;0;0;0;
2004 49 4;58;64044910984;6;0;0;1;0;0;0;
2004 49 4;59;64044931199;6;0;1;0;0;0;0;
2004 49 4;60;64044910292;6;0;0;1;0;0;0;
2004 49 4;61;64045050134;6;1;1;0;0;0;0;
2004 49 4;62;64044911062;6;0;0;1;0;0;0;
2004 49 4;63;64044920827;6;0;0;0;0;0;0;
2004 49 4;64;64044931206;6;0;1;0;0;0;0;
2004 49 4;65;64044930815;6;0;0;0;0;0;0;
2004 49 4;66;64044950562;6;1;0;1;0;0;0;
2004 49 4;67;64044940377;6;0;0;1;0;0;0;
2004 49 4;68;64044931205;6;0;1;0;0;0;0;
2004 49 4;69;64044930832;6;0;0;1;0;0;0;
2004 49 4;70;64044931171;10;0;1;0;0;0;0;
2004 49 4;71;64044940657;1;1;0;1;0;0;0;
2004 49 4;72;64044931150;1;0;1;0;0;0;0;
2004 49 4;73;64044910352;1;0;0;1;0;0;0;
2004 49 4;74;64044931163;1;0;1;0;0;0;0;
2004 49 4;75;64044940730;1;0;0;1;0;0;0;
2004 49 4;76;64044940612;1;0;0;0;0;0;0;
2004 49 4;77;64045050327;1;1;0;1;0;0;0;
2004 49 4;78;64044940581;3;0;0;0;0;0;0;
2004 49 4;79;64044940531;3;0;0;0;0;0;0;
2004 49 4;80;64044940576;3;0;0;0;0;0;0;
2004 49 4;81;64044931143;3;0;1;0;0;0;0;
2004 49 4;82;64044910423;3;0;0;1;0;0;0;
2004 49 4;83;64044931146;3;0;1;0;0;0;0;
2004 49 4;84;64044940579;3;0;0;0;0;0;0;
2004 49 4;85;64044931144;3;0;1;0;0;0;0;
2004 49 4;86;64044940577;3;0;0;0;0;0;0;
2004 49 4;87;64044940535;3;0;0;0;0;0;0;
2004 49 4;88;64044931145;3;0;1;0;0;0;0;
2004 49 4;89;64044940534;3;0;0;0;0;0;0;
2004 49 4;90;64044931149;3;0;1;0;0;0;0;
2004 49 4;91;64044950063;1;1;0;1;0;0;0;
2004 49 4;92;64044940568;1;0;0;0;0;0;0;
2004 49 4;93;64044940571;1;0;0;0;0;0;0;
2004 49 4;94;64044931166;1;0;1;0;0;0;0;
2004 49 4;95;64044940505;1;0;0;1;0;0;0;
2004 49 4;96;64044950102;1;1;1;0;0;0;0;
2004 49 4;97;64044940522;1;0;0;0;0;0;0;
2004 49 4;98;64044940689;1;0;0;1;0;0;0;
2004 49 4;99;64044931159;1;0;1;0;0;0;0;
2004 49 4;100;64044940748;1;0;0;1;0;0;0;
2004 49 4;101;64044931154;1;0;1;0;0;0;0;
2004 49 4;102;64044950557;1;1;0;1;0;0;0;
2004 49 4;103;64044940605;1;0;0;0;0;0;0;
2004 49 4;104;64044940726;1;0;0;1;0;0;0;
2004 49 4;105;64044940530;1;0;0;0;0;0;0;
2004 49 4;106;64044931177;10;0;1;0;0;0;0;
2004 49 4;107;64045010888;11;1;0;1;0;0;0;
2004 49 4;108;64044931190;11;0;0;1;0;0;0;
2004 49 4;109;64044931187;11;0;0;1;0;0;0;
2004 49 4;110;64044911076;4;0;0;1;0;0;0;
2004 49 4;111;64044920790;4;0;0;0;0;0;0;
2004 49 4;112;64044931170;10;0;1;0;0;0;0;
2004 49 4;113;64044931191;11;0;0;1;0;0;0;
2004 49 4;114;64044931185;11;0;0;1;0;0;0;
2004 49 4;115;64044931188;11;0;0;1;0;0;0;
2004 49 4;116;64045010773;11;1;1;1;0;0;0;
2004 49 4;117;64044931197;11;0;0;1;0;0;0;
2004 49 4;118;64044931182;11;0;0;1;0;0;0;
2004 49 4;119;64044931198;11;0;0;1;0;0;0;
2004 49 4;120;64044931196;11;0;0;1;0;0;0;
2004 49 4;121;64044940786;4;0;0;0;0;0;0;
2004 49 4;122;64044940498;4;0;0;0;0;0;0;
2004 49 4;123;64044940818;4;0;0;1;0;0;0;
2004 49 4;124;64044940485;4;0;0;1;0;0;1;
2004 49 4;125;64045030862;1;1;0;1;0;0;0;
2004 49 4;126;64044940570;1;0;0;0;0;0;0;
2004 49 4;127;64044940749;1;0;0;1;0;0;0;
2004 49 4;128;64044931151;1;0;1;0;0;0;0;
2004 49 4;129;64044940528;1;0;0;0;0;0;0;
2004 49 4;130;64044940616;1;0;0;1;0;0;0;
2004 49 4;131;64045010817;1;1;0;1;0;0;0;
2004 49 4;132;64044940569;1;0;0;0;0;0;0;
2004 49 4;133;64044931047;9;0;0;0;0;0;0;
2004 49 4;134;64044910491;9;0;0;1;0;0;0;
2004 49 4;135;64044921192;9;0;1;0;0;0;0;
2004 49 4;136;64044940757;9;0;0;0;0;0;0;
2004 49 4;137;64044910341;9;0;0;1;0;0;0;
2004 49 4;138;64044940592;9;0;0;0;0;0;0;
2004 49 4;139;64044940589;9;0;0;0;0;0;0;
2004 49 4;140;64044910307;9;0;1;1;0;0;0;
2004 49 4;141;64044940588;9;0;0;0;0;0;0;
2004 49 4;142;64044940686;9;0;0;1;0;0;0;
2004 49 4;143;64044931203;6;0;1;0;0;0;0;
2004 49 4;144;64044930824;6;0;0;1;0;0;0;
2004 49 4;145;64044940987;6;0;0;0;0;0;0;
2004 49 4;146;64044910294;6;0;1;1;0;0;0;
2004 49 4;147;64044930846;6;0;0;0;0;0;0;
2004 49 4;148;64044931204;6;0;1;0;0;0;0;
2004 49 4;149;64045010879;6;1;0;1;0;0;0;
2004 49 4;150;64044931202;6;0;1;0;0;0;0;
2004 49 4;151;64044930802;6;0;0;1;0;0;0;
2004 49 4;152;64044940001;6;0;0;1;0;0;0;
2004 49 4;153;64044931200;6;0;1;0;0;0;0;
2004 49 4;154;64044940486;6;0;0;1;0;0;0;
2004 49 4;155;64045050126;6;1;1;1;0;0;0;
2004 49 4;156;64044940670;6;0;0;1;0;0;0;
2004 49 4;157;64044941123;6;0;1;0;0;0;0;
2004 49 4;158;64044931181;11;0;0;1;0;0;0;
2004 49 4;159;64044931194;11;0;0;1;0;0;0;
2004 49 4;160;64044931168;10;0;1;0;0;0;0;
2004 49 4;161;64045010941;6;1;0;1;0;0;0;
2004 49 4;162;64044940378;6;0;1;1;0;0;0;
2004 49 4;163;64044931046;5;0;0;0;0;0;0;
2004 49 4;164;64044910466;5;0;0;1;0;0;0;
2004 49 4;165;64044940798;5;0;0;1;0;0;0;
2004 49 4;166;64044940988;5;0;0;0;0;0;0;
2004 49 4;167;64044930790;5;0;0;0;0;0;0;
2004 49 4;168;64044940501;5;0;0;0;0;0;0;
2004 49 4;169;64044940624;5;0;0;0;0;0;0;
2004 49 4;170;64045210284;5;0;0;0;0;0;0;
2004 49 4;171;64044940903;5;0;0;1;0;0;0;
2004 49 4;172;64044940746;5;0;0;1;0;0;0;
2004 49 4;173;64045050123;6;1;1;1;0;0;0;
2004 49 4;174;64044930711;6;0;0;0;0;0;0;
2004 49 4;175;64044940400;6;0;1;1;0;0;0;
2004 49 4;176;64044930704;6;0;0;0;0;0;0;
2004 49 4;177;64044941118;6;0;1;0;0;0;0;
2004 49 4;178;64044931193;11;0;0;1;0;0;0;
2004 49 4;179;64044931192;11;0;0;1;0;0;0;
2004 49 4;180;64044931195;11;0;0;1;0;0;0;
2004 49 4;181;64045010844;11;1;1;1;0;0;0;
2004 49 4;182;64044940621;11;0;0;1;0;0;0;
2004 49 4;183;64044940799;11;0;0;1;0;0;0;
2004 49 4;184;64044940900;11;0;0;1;0;0;0;
2004 49 4;185;64044940687;11;0;0;1;0;0;0;
2004 49 4;186;64044920924;7;0;0;0;0;0;0;
2004 49 4;187;64044930813;7;0;0;0;0;0;0;
2004 49 4;188;64044930914;7;0;0;0;0;0;0;
2004 49 4;189;64044930855;7;0;0;0;0;0;0;
2004 49 4;190;64044940482;7;0;0;0;0;0;0;
2004 49 4;191;64044950113;8;1;1;1;0;0;0;
2004 49 4;192;64044940384;8;0;0;1;0;0;0;
2004 49 4;193;64044940355;8;0;0;1;0;0;0;
2004 49 4;194;64044940300;8;0;0;1;0;0;0;
2004 49 4;195;64044930944;8;0;0;1;0;0;0;
2004 49 4;196;64044931178;10;0;1;0;0;0;0;
2004 49 4;197;64045010886;1;1;0;1;0;0;0;
2004 49 4;198;64044931174;10;0;1;0;0;0;0;
2004 49 4;199;64044940593;9;0;0;0;0;0;0;
2004 49 4;200;64044940812;9;0;0;1;0;0;0;
2004 49 4;201;64044940586;9;0;0;0;0;0;0;
2004 49 4;202;64044931179;10;0;1;0;0;0;0;
2004 49 4;203;64044940620;6;0;0;1;0;0;0;
2004 49 4;204;64044950112;6;1;1;1;0;0;0;
2004 49 4;205;64044940515;6;0;0;1;0;0;0;
2004 49 4;206;64044941106;6;0;1;0;0;0;0;
2004 49 4;207;64044940682;6;0;0;1;0;0;0;
2004 49 4;208;64044941102;6;0;1;0;0;0;0;
2004 49 4;209;64045010005;6;1;0;1;0;0;0;
2004 49 4;210;64044940520;6;0;0;0;0;0;0;
2004 49 4;211;64044941114;6;0;1;0;0;0;0;
2004 49 4;212;64044940777;6;0;0;0;0;0;0;
2004 49 4;213;64044930772;6;0;1;0;0;0;0;
2004 49 4;214;64044940703;6;0;0;1;0;0;0;
2004 49 4;215;64044940724;6;0;1;0;0;0;0;
2004 49 4;216;64044940817;6;0;0;0;0;0;0;
2004 49 4;217;64044950104;6;1;1;1;0;0;0;
2004 49 4;218;64044940677;1;0;0;1;0;0;0;
2004 49 4;219;64044940572;1;0;0;0;0;0;0;
2004 49 4;220;64044940610;1;0;0;0;0;0;0;
2004 49 4;221;64044931155;1;0;1;0;0;0;0;
2004 49 4;222;64044940524;1;0;0;0;0;0;0;
2004 49 4;223;64044940608;1;0;0;0;0;0;0;
2004 49 4;224;64044940525;1;0;0;0;0;0;0;
2004 49 4;225;64045011018;1;1;0;1;0;0;0;
2004 49 4;226;64044921022;1;0;1;1;0;0;0;
2004 49 4;227;64044940679;1;0;0;1;0;0;0;
2004 49 4;228;64044940523;1;0;0;0;0;0;0;
2004 49 4;229;64044940609;1;0;0;0;0;0;0;
2004 49 4;230;64044940615;1;0;0;0;0;0;0;
2004 49 4;231;64044931160;1;0;1;0;0;0;0;
2004 49 4;232;64045010940;1;1;0;1;0;0;0;
2004 49 4;233;64044931176;10;0;1;0;0;0;0;
2004 49 4;234;64044940899;11;0;0;1;0;0;0;
2004 49 4;235;64044940896;11;0;0;1;0;0;0;
2004 49 4;236;64044931172;10;0;1;0;0;0;0;
2004 49 4;237;64044940611;1;0;0;0;0;0;0;
2004 49 4;238;64044940685;1;0;0;1;0;0;0;
2004 49 4;239;64044931152;1;0;1;0;0;0;0;
2004 49 4;240;64044940836;1;0;0;1;0;0;0;
2004 49 4;241;64044950007;1;1;0;0;0;0;0;
2004 49 4;242;64044940527;1;0;0;0;0;0;0;
2004 49 4;243;64044931162;1;0;1;0;0;0;0;
2004 49 4;244;64044940606;1;0;0;0;0;0;0;
2004 49 4;245;64044940690;1;0;0;1;0;0;0;
2004 49 4;246;64045010987;1;1;0;1;0;0;0;
2004 49 4;247;64044940614;1;0;0;0;0;0;0;
2004 49 4;248;64044920945;1;0;1;1;0;0;0;
2004 49 4;249;64044940769;1;0;0;0;0;0;0;
2004 49 4;250;64044931158;1;0;1;0;0;0;0;
2004 49 4;251;64045010895;1;1;0;1;0;0;0;
2004 49 4;252;64044940692;7;0;0;0;0;0;0;
2004 49 4;253;64044940691;7;0;0;0;0;0;0;
2004 49 4;254;64044940508;7;0;1;0;0;0;0;
2004 49 4;255;64044940813;7;0;0;1;0;0;0;
2004 49 4;256;64044940489;7;0;0;0;0;0;0;
2004 49 4;257;64044940678;7;0;1;0;0;0;0;
2004 49 4;258;64044940756;7;0;0;0;0;0;0;
2004 49 4;259;64045010899;8;1;1;1;0;0;0;
2004 49 4;260;64044940594;9;0;0;0;0;0;0;
2004 49 4;261;64044940754;9;0;1;0;0;0;0;
2004 49 4;262;64044940590;9;0;0;0;0;0;0;
2004 49 4;263;64044940585;9;0;0;0;0;0;0;
2004 49 4;264;64044931173;10;0;1;0;0;0;0;
2004 49 4;265;64045010942;11;1;0;1;0;0;0;
2004 49 4;266;64044940895;11;0;0;1;0;0;0;
2004 49 4;267;64044940897;11;0;0;1;0;0;0;
2004 49 4;268;64044940626;11;0;0;1;0;0;0;
2004 49 4;269;64044940901;11;0;0;1;0;0;0;
2004 49 4;270;64045010932;11;1;0;1;0;0;0;
2004 49 4;271;64044940898;11;0;0;1;0;0;0;
2004 49 4;272;64044940562;11;0;0;1;0;0;0;
2004 49 4;273;64044931167;1;0;1;0;0;0;0;
