Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;LPRC1;LPRC2;
2004 51 1;49;34045130023;1;1;0;1;0;0;0;0;0;
2004 51 1;50;34045110047;2;0;0;0;0;0;0;1;0;
2004 51 1;51;34045110066;4;0;0;0;1;0;0;0;0;
2004 51 1;52;34045050023;1;1;0;0;0;0;0;0;0;
2004 51 1;53;34045130035;1;1;0;1;0;0;0;0;0;
2004 51 1;54;34045050065;1;1;0;0;0;0;0;0;0;
2004 51 1;55;34045110013;1;0;0;0;1;0;0;0;1;
2004 51 1;56;34045030058;1;0;0;0;0;0;0;1;0;
2004 51 1;57;34045030031;1;1;0;0;0;0;0;0;0;
2004 51 1;58;34045130046;1;1;1;1;0;0;0;0;0;
2004 51 1;59;34045050037;1;1;0;0;0;0;0;0;0;
2004 51 1;60;34045110015;1;0;0;0;1;0;0;0;1;
2004 51 1;61;34045120001;2;0;0;0;0;0;0;1;0;
2004 51 1;62;34045130002;2;1;0;1;0;0;0;0;0;
2004 51 1;63;34045050027;2;0;0;0;0;0;0;1;0;
2004 51 1;64;34045110030;4;0;0;0;1;0;0;0;0;
2004 51 1;65;34045040039;1;1;0;0;0;0;0;0;0;
2004 51 1;66;34045040001;1;1;0;0;0;0;0;0;0;
2004 51 1;67;34045120059;1;1;0;1;0;0;0;0;0;
2004 51 1;68;34045050015;4;0;0;0;1;1;1;0;0;
2004 51 1;69;34045030057;2;0;0;0;0;0;0;1;0;
2004 51 1;70;34045040048;1;1;0;0;0;0;0;0;0;
2004 51 1;71;34045120060;4;1;0;1;0;0;0;0;0;
2004 51 1;72;34045030076;4;0;0;0;1;0;0;0;0;
2004 51 1;73;34045040055;3;1;0;0;0;0;0;0;0;
2004 51 1;74;34045120013;3;0;0;0;0;0;0;1;0;
2004 51 1;75;34045120034;4;1;0;1;0;0;0;0;0;
2004 51 1;76;34045030002;4;0;0;0;1;0;0;0;0;
2004 51 1;77;34045040011;3;1;0;0;0;0;0;0;0;
2004 51 1;78;34045120031;4;1;0;1;0;0;0;0;0;
2004 51 1;79;34045130047;4;1;1;1;0;0;0;0;0;
2004 51 1;80;34045030025;4;1;0;0;0;0;0;0;0;
2004 51 1;81;34045050057;4;0;0;0;1;1;1;0;0;
2004 51 1;82;34050270003;3;1;0;0;0;0;0;0;0;
2004 51 1;83;34045030056;3;0;0;0;0;0;0;1;0;
2004 51 1;84;34045130027;1;1;0;1;0;0;0;0;0;
2004 51 1;85;34045030035;4;0;0;0;1;0;0;0;0;
2004 51 1;86;34045040040;1;1;0;0;0;0;0;0;0;
2004 51 1;87;34045110056;1;0;0;0;0;0;0;1;0;
2004 51 1;88;34045030013;1;1;0;0;0;0;0;0;0;
2004 51 1;89;34045130030;1;1;0;1;0;0;0;0;0;
2004 51 1;90;34050297859;4;0;0;0;1;0;0;0;0;
2004 51 1;91;34050270005;3;1;0;0;0;0;0;0;0;
2004 51 1;92;34045040077;3;0;0;0;0;0;0;1;0;
2004 51 1;93;34045040075;3;1;0;0;0;0;0;0;0;
2004 51 1;94;34045120067;3;1;0;1;0;0;0;0;0;
2004 51 1;95;34045130041;4;0;0;0;1;0;0;0;0;
2004 51 1;96;34045040052;3;1;0;0;0;0;0;0;0;
2004 51 1;97;34045110074;3;0;0;0;0;0;0;1;0;
2004 51 1;98;34045030005;3;1;0;0;0;0;0;0;0;
2004 51 1;99;34045110052;4;0;0;0;1;0;0;0;0;
2004 51 1;100;34045130033;1;1;0;1;0;0;0;0;0;
2004 51 1;101;34045040008;1;1;0;0;0;0;0;0;0;
2004 51 1;102;34045030052;1;0;0;0;0;0;0;1;0;
2004 51 1;103;34045040007;1;1;0;0;0;0;0;0;0;
2004 51 1;104;34045050035;1;0;0;0;1;0;0;0;1;
2004 51 1;105;34045120006;1;1;0;1;0;0;0;0;0;
2004 51 1;106;34045120074;1;0;0;0;0;0;0;1;0;
2004 51 1;107;34045030006;1;1;0;0;0;0;0;0;0;
2004 51 1;108;34045050068;1;1;0;0;0;0;0;0;0;
2004 51 1;109;34045030062;4;0;0;0;1;0;0;0;0;
2004 51 1;110;34045120005;1;1;0;1;0;0;0;0;0;
2004 51 1;111;34045050025;1;0;0;0;0;0;0;1;0;
2004 51 1;112;34045050001;1;1;0;0;0;0;0;0;0;
2004 51 1;113;34045020058;4;0;0;0;1;1;1;0;0;
2004 51 1;114;34045040054;1;1;0;0;0;0;0;0;0;
2004 51 1;115;34050270017;1;1;0;1;0;0;0;0;0;
2004 51 1;116;34045040029;1;0;0;0;0;0;0;1;0;
2004 51 1;117;34045030034;1;1;0;0;0;0;0;0;0;
2004 51 1;118;34045120018;4;0;0;0;1;0;0;0;0;
2004 51 1;119;34045050054;2;1;0;0;0;0;0;0;0;
2004 51 1;120;34045130005;2;1;0;1;0;0;0;0;0;
2004 51 1;121;34045050043;3;0;0;0;0;0;0;1;0;
2004 51 1;122;34045120017;4;0;0;0;1;0;0;0;0;
2004 51 1;123;34045120007;2;0;0;0;0;0;0;1;0;
2004 51 1;124;34045030053;2;1;0;0;0;0;0;0;0;
2004 51 1;125;34045130006;2;1;0;1;0;0;0;0;0;
2004 51 1;126;34045110060;4;0;0;0;1;0;0;0;1;
2004 51 1;127;34045040010;3;1;0;0;0;0;0;0;0;
2004 51 1;128;34045120009;3;0;0;0;0;0;0;1;0;
2004 51 1;129;34045040006;3;1;0;0;0;0;0;0;0;
2004 51 1;130;34045050010;4;0;0;0;1;1;1;0;0;
2004 51 1;131;34045050024;1;0;0;0;0;0;0;1;0;
2004 51 1;132;34045130018;1;1;0;1;0;0;0;0;0;
2004 51 1;133;34045050036;1;1;0;0;0;0;0;0;0;
2004 51 1;134;34045110020;4;0;0;0;1;0;0;0;0;
2004 51 1;135;34045050034;3;1;0;0;0;0;0;0;0;
2004 51 1;136;34045030061;3;0;0;0;0;0;0;1;0;
2004 51 1;137;34045130052;4;1;0;1;0;0;0;0;0;
2004 51 1;138;34045030009;4;0;0;0;1;0;0;0;0;
2004 51 1;139;34045050047;3;1;0;0;0;0;0;0;0;
2004 51 1;140;34045040060;3;1;0;0;0;0;0;0;0;
2004 51 1;141;34045040053;3;0;0;0;0;0;0;1;0;
2004 51 1;142;34045120039;4;0;0;0;1;0;0;0;0;
2004 51 1;143;34045040061;3;1;0;0;0;0;0;0;0;
2004 51 1;144;34045050016;3;1;0;0;0;0;0;0;0;
2004 51 1;145;34045120008;3;0;0;0;0;0;0;1;0;
2004 51 1;146;34045120002;2;1;0;1;0;0;0;0;0;
2004 51 1;147;34045050070;4;0;0;0;1;1;1;0;0;
2004 51 1;148;34045040064;3;1;0;0;0;0;0;0;0;
2004 51 1;149;34045050058;3;1;0;0;0;0;0;0;0;
2004 51 1;150;34045040078;3;0;0;0;0;0;0;1;0;
2004 51 1;151;34045130003;3;1;0;1;0;0;0;0;0;
2004 51 1;152;34045050074;3;1;0;0;0;0;0;0;0;
2004 51 1;153;34045030007;4;0;0;0;1;0;0;0;1;
2004 51 1;154;34045040014;4;0;0;0;1;1;1;0;0;
2004 51 1;155;34045050072;5;1;0;0;0;0;0;0;0;
2004 51 1;156;34045050020;5;1;0;0;0;0;0;0;0;
2004 51 1;157;34050270016;5;1;0;1;0;0;0;0;0;
2004 51 1;158;34045197682;4;0;0;0;1;0;0;0;1;
2004 51 1;159;34045030059;3;0;0;0;0;0;0;1;0;
2004 51 1;160;34045050003;3;1;0;0;0;0;0;0;0;
2004 51 1;161;34045050011;3;1;0;0;0;0;0;0;0;
2004 51 1;162;34045050021;3;1;0;0;0;0;0;0;0;
2004 51 1;163;34045110067;3;0;0;0;0;0;0;1;0;
2004 51 1;164;34045050044;4;0;0;0;1;1;1;0;0;
2004 51 1;165;34045120051;5;1;0;1;0;0;0;0;0;
2004 51 1;166;34045050028;5;1;0;0;0;0;0;0;0;
2004 51 1;167;34050270008;5;1;0;0;0;0;0;0;0;
2004 51 1;168;34045030038;6;0;0;0;0;0;0;1;0;
2004 51 1;169;34045197688;4;0;0;0;1;0;0;0;1;
2004 51 1;170;34050270009;5;1;0;0;0;0;0;0;0;
2004 51 1;171;34050270010;5;1;0;0;0;0;0;0;0;
2004 51 1;172;34045120024;5;1;0;1;0;0;0;0;0;
2004 51 1;173;34045130050;5;0;0;0;0;0;0;1;0;
2004 51 1;174;34045120075;4;0;0;0;1;0;0;0;0;
2004 51 1;175;34045040071;7;1;0;0;0;0;0;0;0;
2004 51 1;176;34045040025;7;1;0;0;0;0;0;0;0;
2004 51 1;177;34045130017;7;0;0;0;0;0;0;1;0;
2004 51 1;178;34045050051;4;0;0;0;1;1;1;0;0;
2004 51 1;179;34050297883;4;1;0;1;0;0;0;0;0;
2004 51 1;180;34045040076;1;1;0;0;0;0;0;0;0;
2004 51 1;181;34045040065;1;1;0;0;0;0;0;0;0;
2004 51 1;182;34045050049;7;0;0;0;0;0;0;1;0;
2004 51 1;183;34045197636;1;0;0;0;1;0;0;0;1;
2004 51 1;184;34045030069;1;1;0;0;0;0;0;0;0;
2004 51 1;185;34050270018;1;1;0;1;0;0;0;0;0;
2004 51 1;186;34045030020;1;1;0;0;0;0;0;0;0;
2004 51 1;187;34045050033;1;0;0;0;1;0;0;0;1;
2004 51 1;188;34045050064;7;0;0;0;0;0;0;1;0;
2004 51 1;189;34045050038;5;1;0;0;0;0;0;0;0;
2004 51 1;190;34045050046;5;1;0;0;0;0;0;0;0;
2004 51 1;191;34045050045;4;0;0;0;1;1;1;0;0;
2004 51 1;192;34045120020;5;1;0;1;0;0;0;0;0;
2004 51 1;193;34045130048;5;0;0;0;0;0;0;1;0;
2004 51 1;194;34045050050;5;1;0;0;0;0;0;0;0;
2004 51 1;195;34045130020;4;0;0;0;1;0;0;0;0;
2004 51 1;196;34045050053;5;1;0;0;0;0;0;0;0;
2004 51 1;197;34045050067;5;1;0;0;0;0;0;0;0;
2004 51 1;198;34045130039;5;0;0;0;0;0;0;1;0;
2004 51 1;199;34050270015;5;1;0;1;0;0;0;0;0;
2004 51 1;200;34045197669;5;0;0;0;1;0;0;0;1;
2004 51 1;201;34045050069;5;1;0;0;0;0;0;0;0;
2004 51 1;202;34050270011;5;1;0;0;0;0;0;0;0;
2004 51 1;203;34045030030;6;0;0;0;0;0;0;1;0;
2004 51 1;204;34045040017;4;0;0;0;1;1;1;0;0;
2004 51 1;205;34050270013;2;1;0;1;0;0;0;0;0;
2004 51 1;206;34045050077;2;1;0;0;0;0;0;0;0;
2004 51 1;207;34045050075;2;1;0;0;0;0;0;0;0;
2004 51 1;208;34050297830;4;0;0;0;1;0;0;0;0;
2004 51 1;209;34045050063;7;0;0;0;0;0;0;1;0;
2004 51 1;210;34050270002;2;1;0;0;0;0;0;0;0;
2004 51 1;211;34050270014;2;1;0;1;0;0;0;0;0;
2004 51 1;212;34050297719;4;0;0;0;1;0;0;0;0;
2004 51 1;213;34045050029;7;0;0;0;0;0;0;1;0;
2004 51 1;214;34045030054;3;1;0;0;0;0;0;0;0;
2004 51 1;215;34045030003;3;1;0;0;0;0;0;0;0;
2004 51 1;216;34045050018;4;0;0;0;1;1;1;0;0;
2004 51 1;217;34050270006;4;1;0;1;0;0;0;0;0;
2004 51 1;218;34045130021;7;0;0;0;0;0;0;1;0;
2004 51 1;219;34045040063;7;1;0;0;0;0;0;0;0;
2004 51 1;220;34045197699;4;0;0;0;1;0;0;0;1;
2004 51 1;221;34045040050;7;1;0;0;0;0;0;0;0;
2004 51 1;222;34045130022;7;0;0;0;0;0;0;1;0;
2004 51 1;223;34045130015;7;0;0;0;0;0;0;1;0;
2004 51 1;224;34050297865;4;1;0;1;0;0;0;0;0;
2004 51 1;225;34050297842;4;0;0;0;1;0;0;0;0;
2004 51 1;226;34045040018;1;1;0;0;0;0;0;0;0;
2004 51 1;227;34045040043;1;1;0;0;0;0;0;0;0;
2004 51 1;228;34045030040;6;0;0;0;0;0;0;1;0;
2004 51 1;229;34045030037;6;0;0;0;0;0;0;1;0;
2004 51 1;230;34050297868;4;1;0;1;0;0;0;0;0;
2004 51 1;231;34045120071;4;0;0;0;1;1;1;0;0;
