Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;
2004 52 1;41;655045130039;5;0;0;0;1;
2004 52 1;42;655045120036;3;0;0;1;1;
2004 52 1;43;655045120014;5;0;0;0;0;
2004 52 1;44;655045120041;5;0;0;0;1;
2004 52 1;45;655045130044;5;0;0;0;0;
2004 52 1;46;655045130045;5;0;0;0;0;
2004 52 1;47;655045110002;5;0;0;0;1;
2004 52 1;48;655045130033;1;0;0;1;1;
2004 52 1;49;655045140006;1;0;0;0;0;
2004 52 1;50;655045140010;1;0;0;0;0;
2004 52 1;51;655045120043;1;0;0;0;1;
2004 52 1;52;655045130019;6;0;0;0;0;
2004 52 1;53;655045120004;1;0;0;0;1;
2004 52 1;54;655044950072;1;0;0;1;1;
2004 52 1;55;655045120016;1;0;0;0;0;
2004 52 1;56;655045120007;1;0;0;0;1;
2004 52 1;57;655045120022;1;0;0;0;1;
2004 52 1;58;655045130042;1;0;0;0;0;
2004 52 1;59;655045140009;1;0;0;0;1;
2004 52 1;60;655045110004;1;0;0;1;1;
2004 52 1;61;655045120046;2;0;0;0;0;
2004 52 1;62;655045120019;2;0;0;0;1;
2004 52 1;63;655045120039;5;0;0;0;1;
2004 52 1;64;655045130022;5;0;0;0;0;
2004 52 1;65;655045120028;5;0;0;0;1;
2004 52 1;66;655045110034;5;0;0;1;1;
2004 52 1;67;655045130002;5;0;0;0;0;
2004 52 1;68;655045120021;5;0;0;0;1;
2004 52 1;69;655045130001;5;0;0;0;0;
2004 52 1;70;655045130025;5;0;0;0;1;
2004 52 1;71;655045120040;5;0;0;0;0;
2004 52 1;72;655045140008;5;0;0;0;1;
2004 52 1;73;655050270046;3;0;1;1;1;
2004 52 1;74;655045130029;5;0;0;1;1;
2004 52 1;75;655045130011;5;0;0;1;1;
2004 52 1;76;655050270013;5;0;0;0;0;
2004 52 1;77;655050270017;5;0;0;0;0;
2004 52 1;78;655045110037;4;0;0;1;1;
2004 52 1;79;655050270018;5;0;0;0;0;
2004 52 1;80;655045140017;5;0;0;1;1;
2004 52 1;81;655045140035;5;0;0;1;1;
2004 52 1;82;655050270020;5;0;0;0;0;
2004 52 1;83;655050270039;5;0;0;0;0;
2004 52 1;84;655050270009;5;0;0;1;1;
2004 52 1;85;655045140034;5;0;0;1;1;
2004 52 1;86;655050270032;5;0;0;0;0;
2004 52 1;87;655050270014;5;0;0;0;0;
2004 52 1;88;655050270016;5;0;0;0;0;
2004 52 1;89;655050270043;2;0;0;1;1;
2004 52 1;90;655050470035;2;0;1;1;1;
2004 52 1;91;655050370026;2;0;0;0;0;
2004 52 1;92;655045120005;1;0;0;0;1;
2004 52 1;93;655050270041;1;0;0;0;0;
2004 52 1;94;655045130009;1;0;0;1;1;
2004 52 1;95;655050270040;3;0;0;1;1;
2004 52 1;96;655050270019;5;0;0;0;0;
2004 52 1;97;655050270023;5;0;0;0;0;
2004 52 1;98;655045110015;3;0;0;1;1;
2004 52 1;99;655045110010;3;0;0;1;1;
2004 52 1;100;655050270053;5;0;0;0;0;
2004 52 1;101;655050270052;5;0;0;0;0;
2004 52 1;102;655045140002;5;0;0;0;1;
2004 52 1;103;655050270049;5;0;0;0;0;
2004 52 1;104;655045140029;1;0;0;1;1;
2004 52 1;105;655050270047;1;0;0;1;1;
2004 52 1;106;655050270045;1;0;0;0;0;
2004 52 1;107;655050370030;1;0;0;0;1;
2004 52 1;108;655050270060;1;0;0;0;0;
2004 52 1;109;655045130010;1;0;0;1;1;
2004 52 1;110;655050370015;1;0;0;0;0;
2004 52 1;111;655050470039;6;0;1;1;1;
2004 52 1;112;655050370048;5;0;0;0;1;
2004 52 1;113;655050270044;5;0;0;0;0;
2004 52 1;114;655045130026;5;0;0;1;1;
2004 52 1;115;655050370047;5;0;0;0;0;
2004 52 1;116;655045130020;5;0;0;1;1;
2004 52 1;117;655050370028;5;0;0;0;1;
2004 52 1;118;655045140023;5;0;0;0;0;
2004 52 1;119;655050270080;2;0;0;1;1;
2004 52 1;120;655045130032;2;0;0;1;1;
2004 52 1;121;655050370018;5;0;0;0;0;
2004 52 1;122;655050370027;5;0;0;0;0;
2004 52 1;123;655045130037;5;0;0;1;1;
2004 52 1;124;655045193452;5;0;0;0;0;
2004 52 1;125;655050270079;5;0;0;1;1;
2004 52 1;126;655050370029;5;0;0;0;1;
2004 52 1;127;655045193456;5;0;0;0;0;
2004 52 1;128;655050270074;5;0;0;1;1;
2004 52 1;129;655045193455;5;0;0;0;0;
2004 52 1;130;655045040034;3;0;0;1;1;
2004 52 1;131;655045193453;5;0;0;0;0;
2004 52 1;132;655045193454;5;0;0;0;0;
2004 52 1;133;655045193457;5;0;0;0;0;
2004 52 1;134;655050470030;3;0;1;1;1;
2004 52 1;135;655050470045;5;0;0;0;0;
2004 52 1;136;655050470004;5;0;0;1;1;
2004 52 1;137;655050470007;5;0;0;0;0;
2004 52 1;138;655050470008;5;0;0;0;0;
2004 52 1;139;655050270011;1;0;0;1;1;
2004 52 1;140;655045130023;1;0;0;1;1;
2004 52 1;141;655050370016;1;0;0;0;0;
2004 52 1;142;655050270038;1;0;0;0;1;
2004 52 1;143;655050270054;1;0;0;1;1;
2004 52 1;144;655050270037;1;0;0;0;0;
2004 52 1;145;655050270063;1;0;0;1;1;
2004 52 1;146;655050470003;1;0;0;1;1;
2004 52 1;147;655050270061;5;0;0;0;0;
2004 52 1;148;655050270004;5;0;0;0;0;
2004 52 1;149;655050270030;5;0;0;0;0;
2004 52 1;150;655050270010;5;0;0;0;0;
2004 52 1;151;655045010049;2;0;0;1;1;
2004 52 1;152;655050270024;5;0;0;0;0;
2004 52 1;153;655050270031;5;0;0;0;0;
2004 52 1;154;655045170037;5;1;0;0;1;
2004 52 1;155;655050270029;5;0;0;0;0;
2004 52 1;156;655045020026;3;0;0;1;1;
2004 52 1;157;655050270028;5;0;0;0;0;
2004 52 1;158;655045050050;3;0;0;1;1;
2004 52 1;159;655050270027;5;0;0;0;0;
2004 52 1;160;655050270025;5;0;0;0;0;
2004 52 1;161;655050270058;5;0;0;0;0;
2004 52 1;162;655050270062;5;0;0;0;0;
2004 52 1;163;655050270059;5;0;0;0;0;
2004 52 1;164;655045050052;7;0;0;1;1;
2004 52 1;165;655050270057;5;0;0;0;0;
2004 52 1;166;655045140032;5;0;0;0;0;
2004 52 1;167;655045140030;5;0;0;0;0;
2004 52 1;168;655045170038;5;1;0;0;1;
2004 52 1;169;655050270056;5;0;0;0;0;
2004 52 1;170;655045040050;3;0;0;1;1;
2004 52 1;171;655045050008;3;0;0;1;1;
2004 52 1;172;655050270055;5;0;0;0;0;
2004 52 1;173;655050270001;5;0;0;0;0;
2004 52 1;174;655050270072;5;0;0;0;0;
2004 52 1;175;655050270071;5;0;0;0;0;
2004 52 1;176;655045040019;3;0;0;1;1;
2004 52 1;177;655050270078;5;0;0;0;0;
2004 52 1;178;655045170085;5;1;0;0;1;
2004 52 1;179;655050270050;5;0;0;0;0;
2004 52 1;180;655050270070;5;0;0;0;0;
2004 52 1;181;655045040052;1;0;0;1;1;
2004 52 1;182;655045040009;1;0;0;0;1;
2004 52 1;183;655045140039;5;0;0;0;0;
2004 52 1;184;655045040056;1;0;0;0;1;
2004 52 1;185;655045050035;1;0;0;1;1;
2004 52 1;186;655045140036;5;0;0;0;0;
2004 52 1;187;655045170086;5;1;0;0;1;
2004 52 1;188;655050270064;5;0;0;0;0;
2004 52 1;189;655045050024;2;0;0;1;1;
2004 52 1;190;655045130050;5;0;0;0;0;
2004 52 1;191;655045040007;1;0;0;0;1;
2004 52 1;192;655050270026;2;0;0;0;0;
2004 52 1;193;655045110033;2;0;0;0;1;
2004 52 1;194;655045040032;2;0;0;1;1;
2004 52 1;195;655050270077;2;0;0;0;0;
2004 52 1;196;655045050056;2;0;0;1;1;
2004 52 1;197;655045170126;5;1;0;0;1;
2004 52 1;198;655050270081;5;0;0;0;0;
2004 52 1;199;655050270067;5;0;0;0;0;
2004 52 1;200;655050270065;5;0;0;0;0;
2004 52 1;201;655050270068;5;0;0;0;0;
2004 52 1;202;655045050002;3;0;0;1;1;
2004 52 1;203;655050270066;5;0;0;0;0;
2004 52 1;204;655045130049;5;0;0;0;0;
2004 52 1;205;655045050017;3;0;0;1;1;
2004 52 1;206;655045140037;5;0;0;0;0;
2004 52 1;207;655050220053;5;0;0;0;0;
2004 52 1;208;655045170073;5;1;0;0;1;
2004 52 1;209;655045050040;3;0;0;1;1;
2004 52 1;210;655050110046;5;0;0;0;0;
2004 52 1;211;655050210014;5;0;0;0;0;
2004 52 1;212;655050220054;5;0;0;0;0;
2004 52 1;213;655050210016;5;0;0;0;0;
2004 52 1;214;655045040035;4;0;0;1;1;
2004 52 1;215;655050210015;5;0;0;0;0;
2004 52 1;216;655050220052;5;0;0;0;0;
2004 52 1;217;655045170071;5;1;0;0;1;
2004 52 1;218;655050110048;5;0;0;0;0;
2004 52 1;219;655045050010;4;0;0;1;1;
