Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;
2004 50 5;310;656050330129;4;0;0;0;0;0;0;1;0;
2004 51 1;1;656045060039;9;0;0;0;0;0;0;1;0;
2004 51 1;2;656045110104;9;0;0;0;0;0;0;1;0;
2004 51 1;3;656045110106;9;0;0;0;0;0;0;1;0;
2004 51 1;4;656045110109;9;0;0;0;0;0;0;1;0;
2004 51 1;5;656045103890;6;1;0;0;0;0;0;0;0;
2004 51 1;6;656050220205;7;0;0;0;0;0;0;1;0;
2004 51 1;7;656050220204;7;0;0;0;0;0;0;1;0;
2004 51 1;8;656044892525;7;0;0;1;0;0;0;1;0;
2004 51 1;9;656050220214;7;0;0;0;0;0;0;1;0;
2004 51 1;10;656045103908;6;1;0;0;1;0;0;0;0;
2004 51 1;11;656045110110;9;0;0;0;0;0;0;1;0;
2004 51 1;12;656045110112;9;0;0;0;0;0;0;1;0;
2004 51 1;13;656045110122;9;0;0;0;0;0;0;1;0;
2004 51 1;14;656045110124;9;0;0;0;0;0;0;1;0;
2004 51 1;15;656045103900;9;1;0;0;0;0;0;0;0;
2004 51 1;16;656045110130;9;0;0;0;0;0;0;1;0;
2004 51 1;17;656045110140;9;0;0;0;0;0;0;1;0;
2004 51 1;18;656045110144;9;0;0;0;0;0;0;1;0;
2004 51 1;19;656045110151;9;0;0;0;0;0;0;1;0;
2004 51 1;20;656045040147;1;1;0;0;1;0;0;0;0;
2004 51 1;21;656050260023;1;0;0;0;0;0;0;0;1;
2004 51 1;22;656045050156;1;0;0;0;0;0;0;0;0;
2004 51 1;23;656045030379;1;0;0;0;0;0;0;0;0;
2004 51 1;24;656045030274;1;0;1;0;0;0;0;0;0;
2004 51 1;25;656045103903;1;1;0;0;1;0;0;0;0;
2004 51 1;26;656045050100;1;0;1;0;0;0;0;0;1;
2004 51 1;27;656044940256;5;0;0;0;0;0;0;1;0;
2004 51 1;28;656044940023;5;0;0;0;0;0;0;1;0;
2004 51 1;29;656044940043;5;0;0;0;0;0;0;1;0;
2004 51 1;30;656045103891;4;1;0;0;0;0;0;0;0;
2004 51 1;31;656045110152;9;0;0;0;0;0;0;1;0;
2004 51 1;32;656045060014;9;0;0;0;0;0;0;1;0;
2004 51 1;33;656050220215;2;0;0;0;0;0;0;1;0;
2004 51 1;34;656050220216;2;0;0;0;0;0;0;1;0;
2004 51 1;35;656045103888;2;1;0;0;1;0;0;0;0;
2004 51 1;36;656050220211;2;0;0;0;0;0;0;1;0;
2004 51 1;37;656050220208;2;0;0;0;0;0;0;1;0;
2004 51 1;38;656050220227;2;0;0;0;0;0;0;1;0;
2004 51 1;39;656044930241;2;0;0;1;0;0;0;1;0;
2004 51 1;40;656045103895;3;1;0;0;0;0;0;0;0;
2004 51 1;41;656044940262;5;0;0;0;0;0;0;1;0;
2004 51 1;42;656044940258;5;0;0;0;0;0;0;1;0;
2004 51 1;43;656050260072;1;0;0;0;0;0;0;0;1;
2004 51 1;44;656045040141;1;0;1;0;0;0;0;0;0;
2004 51 1;45;656045103899;1;1;0;0;1;0;0;0;0;
2004 51 1;46;656045050006;1;0;0;0;0;0;0;0;0;
2004 51 1;47;656045050077;1;0;1;0;0;0;0;0;0;
2004 51 1;48;656045030380;1;0;0;0;0;0;0;0;0;
2004 51 1;49;656050260006;1;0;0;0;0;0;0;0;1;
2004 51 1;50;656044930024;1;1;0;0;0;0;0;0;0;
2004 51 1;51;656045050082;1;0;1;0;0;0;0;0;0;
2004 51 1;52;656045050057;1;0;0;0;1;0;0;0;1;
2004 51 1;53;656045110072;1;0;1;0;0;0;0;0;0;
2004 51 1;54;656045030363;1;0;0;0;0;0;0;0;0;
2004 51 1;55;656045020011;1;1;0;0;0;0;0;0;0;
2004 51 1;56;656045030362;1;0;0;0;0;0;0;0;0;
2004 51 1;57;656045110322;1;0;1;0;0;0;0;0;1;
2004 51 1;58;656050320144;1;0;0;0;0;0;0;1;0;
2004 51 1;59;656045050093;1;0;1;0;0;0;0;0;0;
2004 51 1;60;656045103902;1;1;0;0;1;0;0;0;0;
2004 51 1;61;656045120140;1;0;0;0;0;0;0;1;0;
2004 51 1;62;656045110319;1;0;1;0;0;0;0;0;1;
2004 51 1;63;656045110083;1;0;0;0;0;0;0;0;0;
2004 51 1;64;656045050090;1;0;1;0;0;0;0;0;0;
2004 51 1;65;656045050051;1;0;0;0;0;0;0;0;0;
2004 51 1;66;656045050094;1;0;1;0;0;0;0;0;0;
2004 51 1;67;656050240106;1;1;0;0;1;1;0;0;0;
2004 51 1;68;656045110250;1;0;1;0;0;0;0;0;1;
2004 51 1;69;656045060015;9;0;0;0;0;0;0;1;0;
2004 51 1;70;656045060033;9;0;0;0;0;0;0;1;0;
2004 51 1;71;656045060034;9;0;0;0;0;0;0;1;0;
2004 51 1;72;656045103892;9;1;0;0;1;0;0;0;0;
2004 51 1;73;656045110184;9;0;0;0;0;0;0;1;0;
2004 51 1;74;656045110185;9;0;0;0;0;0;0;1;0;
2004 51 1;75;656045110186;9;0;0;0;0;0;0;1;0;
2004 51 1;76;656045110291;1;0;1;0;0;0;0;0;1;
2004 51 1;77;656045020017;1;1;0;0;0;0;0;0;0;
2004 51 1;78;656045050154;1;0;1;0;0;0;0;0;0;
2004 51 1;79;656045030377;1;0;0;0;0;0;0;0;0;
2004 51 1;80;656045030372;1;0;0;0;0;0;0;0;0;
2004 51 1;81;656050240099;1;0;0;0;1;0;0;0;1;
2004 51 1;82;656045110105;1;0;1;0;0;0;0;0;0;
2004 51 1;83;656045050023;1;1;0;0;0;0;0;0;0;
2004 51 1;84;656045050091;1;0;1;0;0;0;0;0;0;
2004 51 1;85;656044892792;7;0;0;1;0;0;0;1;0;
2004 51 1;86;656050220221;7;0;0;0;0;0;0;1;0;
2004 51 1;87;656045110294;1;0;1;0;0;0;0;0;1;
2004 51 1;88;656045170011;1;1;0;0;1;0;0;0;0;
2004 51 1;89;656045030094;1;0;1;0;0;0;0;0;0;
2004 51 1;90;656045050108;1;0;0;0;0;0;0;0;0;
2004 51 1;91;656045050169;1;0;0;0;0;0;0;0;0;
2004 51 1;92;656050220050;1;0;0;0;0;0;0;1;0;
2004 51 1;93;656045030325;1;1;0;0;0;0;0;0;0;
2004 51 1;94;656050260014;1;0;0;0;0;0;0;0;1;
2004 51 1;95;656045050079;1;0;1;0;0;0;0;0;0;
2004 51 1;96;656045050162;1;0;0;0;0;0;0;0;0;
2004 51 1;97;656045050080;1;0;1;0;0;0;0;0;0;
2004 51 1;98;656045120008;1;1;0;0;1;0;0;0;0;
2004 51 1;99;656045110296;1;0;1;0;0;0;0;0;1;
2004 51 1;100;656045030369;1;0;0;0;0;0;0;0;0;
2004 51 1;101;656045110101;1;0;1;0;0;0;0;0;0;
2004 51 1;102;656050220057;1;0;0;0;0;0;0;1;0;
2004 51 1;103;656045050009;1;1;0;0;0;0;0;0;0;
2004 51 1;104;656045110098;1;0;1;0;0;0;0;0;0;
2004 51 1;105;656050260075;1;0;0;0;0;0;0;0;1;
2004 51 1;106;656045110102;1;0;1;0;0;0;0;0;0;
2004 51 1;107;656045050002;1;0;0;0;0;0;0;0;0;
2004 51 1;108;656045130077;1;1;0;0;1;0;0;0;0;
2004 51 1;109;656045110273;1;0;1;0;0;0;0;0;1;
2004 51 1;110;656045050179;1;0;0;0;0;0;0;0;0;
2004 51 1;111;656045040046;1;0;1;0;0;0;0;0;0;
2004 51 1;112;656050220058;1;0;0;0;0;0;0;1;0;
2004 51 1;113;656045040044;1;0;1;0;0;0;0;0;0;
2004 51 1;114;656045120010;1;1;0;0;1;0;0;0;0;
2004 51 1;115;656045110303;1;0;1;0;0;0;0;0;1;
2004 51 1;116;656045110187;9;0;0;0;0;0;0;1;0;
2004 51 1;117;656045110189;9;0;0;0;0;0;0;1;0;
2004 51 1;118;656045110194;9;0;0;0;0;0;0;1;0;
2004 51 1;119;656045103951;3;1;0;0;0;0;0;0;0;
2004 51 1;120;656044892686;7;0;0;1;0;0;0;1;0;
2004 51 1;121;656045110292;1;0;1;0;0;0;0;0;1;
2004 51 1;122;656045030364;1;0;0;0;0;0;0;0;0;
2004 51 1;123;656045050095;1;0;1;0;0;0;0;0;0;
2004 51 1;124;656045050096;1;1;0;0;1;0;0;0;0;
2004 51 1;125;656045110313;1;0;1;0;0;0;0;0;1;
2004 51 1;126;656045030371;1;0;0;0;0;0;0;0;0;
2004 51 1;127;656045050178;1;0;0;0;0;0;0;0;0;
2004 51 1;128;656045110103;1;0;1;0;0;0;0;0;0;
2004 51 1;129;656044940066;1;1;0;0;0;0;0;0;0;
2004 51 1;130;656045050180;1;0;0;0;0;0;0;0;0;
2004 51 1;131;656045110252;1;0;1;0;0;0;0;0;1;
2004 51 1;132;656050470200;1;0;0;0;0;0;0;1;0;
2004 51 1;133;656045050064;1;0;1;0;0;0;0;0;0;
2004 51 1;134;656045050098;1;1;0;0;1;0;0;0;0;
2004 51 1;135;656050470048;1;0;0;0;0;0;0;1;0;
2004 51 1;136;656045110286;1;0;1;0;0;0;0;0;1;
2004 51 1;137;656045050053;1;0;0;0;0;0;0;0;0;
2004 51 1;138;656045020013;1;1;0;0;0;0;0;0;0;
2004 51 1;139;656050470050;1;0;0;0;0;0;0;1;0;
2004 51 1;140;656045110285;1;0;1;0;0;0;0;0;1;
2004 51 1;141;656045050168;1;0;0;0;0;0;0;0;0;
2004 51 1;142;656045050104;1;0;1;0;0;0;0;0;0;
2004 51 1;143;656045120011;1;1;0;0;1;0;0;0;0;
2004 51 1;144;656045050167;1;0;0;0;0;0;0;0;0;
2004 51 1;145;656045050105;1;0;1;0;0;0;0;0;0;
2004 51 1;146;656050260035;1;0;0;0;0;0;0;0;1;
2004 51 1;147;656045050107;1;0;1;0;0;0;0;0;0;
2004 51 1;148;656045050049;1;1;0;0;1;1;0;0;0;
2004 51 1;149;656045130157;1;0;0;0;0;0;0;1;0;
2004 51 1;150;656045030367;1;0;0;0;0;0;0;0;0;
2004 51 1;151;656045110284;1;0;1;0;0;0;0;0;1;
2004 51 1;152;656050240058;1;0;0;0;0;0;0;0;0;
2004 51 1;153;656045110024;1;1;0;0;0;0;0;0;0;
2004 51 1;154;656050240088;1;0;0;0;0;0;0;0;0;
2004 51 1;155;656045050102;1;0;1;0;0;0;0;0;0;
2004 51 1;156;656045130168;1;0;0;0;0;0;0;0;0;
2004 51 1;157;656045110253;1;0;1;0;0;0;0;0;1;
2004 51 1;158;656045130073;1;1;0;0;1;0;0;0;0;
2004 51 1;159;656045040149;1;0;1;0;0;0;0;0;0;
2004 51 1;160;656050250137;1;0;0;0;0;0;0;1;0;
2004 51 1;161;656045120147;1;0;1;0;0;0;0;0;0;
2004 51 1;162;656050260069;1;0;0;0;0;0;0;0;1;
2004 51 1;163;656045130163;1;0;1;0;0;0;0;0;0;
2004 51 1;164;656045120006;1;1;0;0;1;0;0;0;0;
2004 51 1;165;656050210035;1;0;0;1;0;0;0;1;0;
2004 51 1;166;656050260056;1;0;0;0;0;0;0;0;0;
2004 51 1;167;656050240086;1;0;0;0;0;0;0;0;0;
2004 51 1;168;656045110282;1;0;1;0;0;0;0;0;1;
2004 51 1;169;656044930308;1;1;0;0;0;0;0;0;0;
2004 51 1;170;656045030370;1;0;0;0;0;0;0;0;0;
2004 51 1;171;656045120084;1;0;1;0;0;0;0;0;0;
2004 51 1;172;656050470163;1;0;0;0;0;0;0;1;0;
2004 51 1;173;656045030378;1;0;0;0;0;0;0;0;0;
2004 51 1;174;656045110264;1;0;1;0;0;0;0;0;1;
2004 51 1;175;656045130074;1;1;0;0;1;0;0;0;0;
2004 51 1;176;656045050157;1;0;0;0;0;0;0;0;0;
2004 51 1;177;656045120142;1;0;1;0;0;0;0;0;0;
2004 51 1;178;656045050046;1;0;0;0;0;0;0;0;0;
2004 51 1;179;656045030368;1;0;0;0;0;0;0;0;0;
2004 51 1;180;656045020016;1;1;0;0;0;0;0;0;0;
2004 51 1;181;656045110281;1;0;1;0;0;0;0;0;1;
2004 51 1;182;656045030365;1;0;0;0;0;0;0;0;0;
2004 51 1;183;656050260092;1;0;0;0;0;0;0;0;0;
2004 51 1;184;656045130141;1;0;1;0;0;0;0;0;0;
2004 51 1;185;656045120003;1;1;0;0;1;0;0;0;0;
2004 51 1;186;656050260052;1;0;0;0;0;0;0;0;1;
2004 51 1;187;656045130188;1;0;1;0;0;0;0;0;0;
2004 51 1;188;656050470168;1;0;0;0;0;0;0;1;0;
2004 51 1;189;656045120233;1;0;1;0;0;0;0;0;0;
2004 51 1;190;656045040021;1;1;0;0;0;0;0;0;0;
2004 51 1;191;656045130186;1;0;1;0;0;0;0;0;0;
2004 51 1;192;656050210048;1;0;0;0;1;0;0;0;1;
2004 51 1;193;656050320021;1;0;0;0;0;0;0;0;0;
2004 51 1;194;656050210058;1;0;0;1;0;0;0;1;0;
2004 51 1;195;656045040119;1;1;0;0;0;0;0;0;0;
2004 51 1;196;656045110280;1;0;1;0;0;0;0;0;1;
2004 51 1;197;656044940223;5;0;0;0;0;0;0;1;0;
2004 51 1;198;656044940251;5;0;0;0;0;0;0;1;0;
2004 51 1;199;656044940249;5;0;0;0;0;0;0;1;0;
2004 51 1;200;656045103893;3;1;0;0;1;0;0;0;0;
2004 51 1;201;656045120074;5;0;0;0;0;0;0;0;0;
2004 51 1;202;656044940230;5;0;0;0;0;0;0;1;0;
2004 51 1;203;656045120065;5;0;0;0;0;0;0;1;0;
2004 51 1;204;656045110255;1;0;1;0;0;0;0;0;1;
2004 51 1;205;656045120050;1;1;0;0;0;0;0;0;0;
2004 51 1;206;656050250124;1;0;0;0;0;0;0;0;0;
2004 51 1;207;656045130140;1;0;1;0;0;0;0;0;0;
2004 51 1;208;656050260077;1;0;0;0;0;0;0;1;0;
2004 51 1;209;656045110317;1;0;1;0;0;0;0;0;1;
2004 51 1;210;656045170008;1;1;0;0;1;0;0;0;0;
2004 51 1;211;656045120236;1;0;1;0;0;0;0;0;0;
2004 51 1;212;656050240102;1;0;0;0;0;0;0;0;0;
2004 51 1;213;656045130233;1;0;1;0;0;0;0;0;0;
2004 51 1;214;656050250161;1;0;0;0;0;0;0;1;0;
2004 51 1;215;656050240136;1;0;1;0;0;0;0;0;1;
2004 51 1;216;656045050050;1;1;0;0;1;1;0;0;0;
2004 51 1;217;656045110198;9;0;0;0;0;0;0;1;0;
2004 51 1;218;656045110200;9;0;0;0;0;0;0;1;0;
2004 51 1;219;656045110202;9;0;0;0;0;0;0;1;0;
2004 51 1;220;656045060037;9;0;0;0;0;0;0;1;0;
2004 51 1;221;656045110145;9;0;0;0;0;0;0;1;0;
2004 51 1;222;656045103948;3;1;0;0;0;0;0;0;0;
2004 51 1;223;656044940008;5;0;0;0;0;0;0;1;0;
2004 51 1;224;656044930272;2;0;0;1;0;0;0;1;0;
2004 51 1;225;656044910216;10;0;0;0;0;0;0;0;0;
2004 51 1;226;656050230028;10;0;0;0;0;0;0;1;0;
2004 51 1;227;656045103907;10;1;0;0;1;0;0;0;0;
2004 51 1;228;656050230029;10;0;0;0;0;0;0;1;0;
2004 51 1;229;656044920023;10;0;0;0;0;0;0;0;0;
2004 51 1;230;656050230031;10;0;0;0;0;0;0;0;0;
2004 51 1;231;656045040088;10;0;0;0;0;0;0;1;0;
2004 51 1;232;656045103889;10;1;0;0;1;0;0;0;0;
2004 51 1;233;656050230014;10;0;0;0;0;0;0;0;0;
2004 51 1;234;656045060005;10;0;0;0;0;0;0;1;0;
2004 51 1;235;656045060035;10;0;0;0;0;0;0;1;0;
2004 51 1;236;656045110301;1;0;1;0;0;0;0;0;1;
2004 51 1;237;656045120031;1;1;0;0;0;0;0;0;0;
2004 51 1;238;656045130266;1;0;0;0;0;0;0;0;0;
2004 51 1;239;656050250075;1;0;0;0;0;0;0;0;0;
2004 51 1;240;656045130234;1;0;1;0;0;0;0;0;0;
2004 51 1;241;656050260082;1;0;0;0;0;0;0;0;1;
2004 51 1;242;656045050088;1;1;0;0;1;0;0;0;0;
2004 51 1;243;656045130236;1;0;1;0;0;0;0;0;0;
2004 51 1;244;656050240031;1;0;0;0;0;0;0;0;0;
2004 51 1;245;656050320147;1;0;0;0;0;0;0;1;0;
2004 51 1;246;656045130116;1;0;1;0;0;0;0;0;0;
2004 51 1;247;656045103897;1;1;0;0;0;0;0;0;0;
2004 51 1;248;656050260044;1;0;0;0;0;0;0;0;1;
2004 51 1;249;656050470185;1;0;0;0;0;0;0;1;0;
2004 51 1;250;656045130221;1;0;1;0;0;0;0;0;0;
2004 51 1;251;656045110027;1;1;0;0;1;0;0;0;0;
2004 51 1;252;656050260008;1;0;0;0;0;0;0;0;0;
2004 51 1;253;656045130170;1;0;1;0;0;0;0;0;0;
2004 51 1;254;656050260013;1;0;0;0;0;0;0;0;1;
2004 51 1;255;656050260040;1;0;0;0;0;0;0;0;0;
2004 51 1;256;656045103921;1;1;0;0;0;0;0;0;0;
2004 51 1;257;656045130180;1;0;1;0;0;0;0;0;0;
2004 51 1;258;656050220209;7;0;0;0;0;0;0;1;0;
2004 51 1;259;656044892635;7;0;0;1;0;0;0;1;0;
2004 51 1;260;656045110279;1;0;1;0;0;0;0;0;1;
2004 51 1;261;656045040036;1;1;0;0;1;0;0;0;0;
2004 51 1;262;656045130241;1;0;0;0;0;0;0;1;0;
2004 51 1;263;656045130124;1;0;1;0;0;0;0;0;0;
2004 51 1;264;656050240085;1;0;0;0;0;0;0;0;0;
2004 51 1;265;656045130219;1;0;1;0;0;0;0;0;0;
2004 51 1;266;656045103940;1;1;0;0;0;0;0;0;0;
2004 51 1;267;656045110266;1;0;1;0;0;0;0;0;1;
2004 51 1;268;656044940261;5;0;0;0;0;0;0;1;0;
2004 51 1;269;656045020196;5;0;0;0;0;0;0;1;0;
2004 51 1;270;656044940219;5;0;0;0;0;0;0;1;0;
2004 51 1;271;656045103896;3;1;0;0;1;0;0;0;0;
2004 51 1;272;656050220207;7;0;0;0;0;0;0;1;0;
2004 51 1;273;656050220212;7;0;0;0;0;0;0;1;0;
2004 51 1;274;656050220080;7;0;0;0;0;0;0;1;0;
2004 51 1;275;656050294048;7;0;0;0;0;0;0;1;0;
2004 51 1;276;656045103905;3;1;0;0;1;0;0;0;0;
2004 51 1;277;656044940208;5;0;0;0;0;0;0;1;0;
2004 51 1;278;656044940036;5;0;0;0;0;0;0;1;0;
2004 51 1;279;656044940005;5;0;0;0;0;0;0;1;0;
2004 51 1;280;656044940221;5;0;0;0;0;0;0;1;0;
2004 51 1;281;656045110299;1;0;1;0;0;0;0;0;1;
2004 51 1;282;656050260093;1;0;0;0;0;0;0;0;0;
2004 51 1;283;656045050047;1;1;0;0;1;1;0;0;0;
2004 51 1;284;656045120221;1;0;1;0;0;0;0;0;0;
2004 51 1;285;656050470194;1;0;0;0;0;0;0;1;0;
2004 51 1;286;656045110258;1;0;1;0;0;0;0;0;1;
2004 51 1;287;656050260017;1;0;0;0;0;0;0;0;0;
2004 51 1;288;656050220060;1;0;0;0;0;0;0;1;0;
2004 51 1;289;656044930072;1;1;0;0;0;0;0;0;0;
2004 51 1;290;656050320086;1;0;0;0;0;0;0;0;0;
2004 51 1;291;656045120089;1;0;1;0;0;0;0;0;0;
2004 51 1;292;656050260051;1;0;0;0;0;0;0;0;1;
2004 51 1;293;656050320065;1;0;0;0;0;0;0;0;0;
2004 51 1;294;656045110058;1;1;0;0;1;0;0;0;0;
2004 51 1;295;656045130246;1;0;1;0;0;0;0;0;0;
2004 51 1;296;656050470204;1;0;0;0;0;0;0;1;0;
2004 51 1;297;656050260084;1;0;0;0;0;0;0;0;1;
2004 51 1;298;656050250158;1;0;0;0;0;0;0;0;0;
2004 51 1;299;656045020015;1;1;0;0;0;0;0;0;0;
2004 51 1;300;656045130253;1;0;1;0;0;0;0;0;0;
2004 51 1;301;656050210020;1;0;0;1;0;0;0;1;0;
2004 51 1;302;656045130156;1;0;1;0;0;0;0;0;0;
2004 51 1;303;656045120069;1;0;0;0;1;0;0;0;1;
2004 51 1;304;656045020012;1;1;0;0;0;0;0;0;0;
2004 51 1;305;656045130109;1;0;1;0;0;0;0;0;0;
2004 51 1;306;656050250112;1;0;0;0;0;0;0;0;0;
2004 51 1;307;656045120168;1;0;1;0;0;0;0;0;0;
2004 51 1;308;656050240039;1;0;0;0;0;0;0;0;0;
2004 51 1;309;656045110314;1;0;1;0;0;0;0;0;1;
2004 51 1;310;656045110047;1;1;0;0;1;0;0;0;0;
2004 51 1;311;656050410084;2;0;0;0;0;0;0;1;0;
2004 51 1;312;656045130130;2;0;1;0;0;0;0;0;1;
2004 51 1;313;656050494067;2;0;0;0;0;0;0;1;0;
2004 51 1;314;656050494068;2;0;0;0;0;0;0;1;0;
2004 51 1;315;656050240055;2;1;0;0;1;1;0;0;0;
2004 51 1;316;656044930184;2;0;0;1;0;0;0;1;0;
2004 51 1;317;656050410028;2;0;1;0;0;0;0;0;0;
2004 51 1;318;656050494069;2;0;0;0;0;0;0;1;0;
2004 51 1;319;656045130249;2;0;1;0;0;0;0;0;1;
2004 51 1;320;656050410091;2;0;0;0;0;0;0;1;0;
2004 51 1;321;656045030357;2;1;0;0;1;0;1;0;0;
2004 51 1;322;656050494066;2;0;0;0;0;0;0;1;0;
2004 51 1;323;656050410035;2;0;1;0;0;0;0;0;0;
2004 51 1;324;656050494075;2;0;0;0;0;0;0;1;0;
2004 51 1;325;656050220148;2;0;0;0;0;0;0;1;0;
2004 51 1;326;656045110032;2;1;0;0;0;0;0;0;0;
2004 51 1;327;656050220089;2;0;0;0;0;0;0;1;0;
2004 51 1;328;656050220145;2;0;1;0;1;0;0;0;1;
2004 51 1;329;656050220096;2;0;0;0;0;0;0;1;0;
2004 51 1;330;656050410047;2;0;1;0;0;0;0;0;0;
2004 51 1;331;656045110046;2;1;0;0;0;0;0;0;0;
2004 51 1;332;656050220220;2;0;0;0;0;0;0;1;0;
2004 51 1;333;656045130105;2;0;1;0;0;0;0;0;1;
2004 51 1;334;656050220083;2;0;0;0;0;0;0;1;0;
2004 51 1;335;656050294049;2;0;0;0;0;0;0;1;0;
2004 51 1;336;656045110049;2;1;0;0;0;0;0;0;0;
2004 51 1;337;656050220073;2;0;0;0;0;0;0;1;0;
2004 51 1;338;656045030376;2;0;0;0;0;0;0;0;0;
2004 51 1;339;656050220178;2;0;1;0;1;0;0;0;1;
2004 51 1;340;656050220222;2;0;0;0;0;0;0;1;0;
2004 51 1;341;656045110025;2;1;0;0;0;0;0;0;0;
2004 51 1;342;656044950153;2;0;0;0;0;0;0;0;0;
2004 51 1;343;656050220097;2;0;0;0;0;0;0;1;0;
2004 51 1;344;656050220102;2;0;0;0;0;0;0;1;0;
2004 51 1;345;656050240081;2;0;1;0;0;0;0;0;0;
2004 51 1;346;656044950064;2;0;0;0;0;0;0;1;0;
2004 51 1;347;656050240032;2;1;0;0;1;1;0;0;0;
2004 51 1;348;656045030256;2;0;0;0;0;0;0;1;0;
2004 51 1;349;656045130256;2;0;1;0;0;0;0;0;1;
2004 51 1;350;656045030086;2;0;0;0;0;0;0;1;0;
2004 51 1;351;656045130072;2;0;0;0;0;0;0;0;0;
2004 51 1;352;656044950007;2;1;0;0;0;0;0;0;0;
2004 51 1;353;656045030264;2;0;0;0;0;0;0;1;0;
2004 51 1;354;656044950015;2;0;0;0;0;0;0;1;0;
2004 51 1;355;656050410108;2;0;0;0;1;0;0;0;1;
2004 51 1;356;656045030245;2;0;0;0;0;0;0;1;0;
