Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;LPRC11;LPRC12;LPRC13;LPRC14;
2004 48 5;951;25044850026;20;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;
2004 48 5;952;25044840042;20;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;
2004 48 5;953;25044911038;20;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 48 5;954;25044940589;20;1;0;1;1;0;1;0;1;1;0;0;1;0;1;0;1;1;1;0;0;
2004 48 5;955;25044910208;20;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;956;25044940717;20;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 48 5;957;25044850043;20;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 48 5;958;25044950418;20;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;
2004 48 5;959;25044920482;20;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 48 5;960;25044950308;20;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;
2004 48 5;961;25044950378;20;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 48 5;962;25045010305;20;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 48 5;963;25044910381;20;1;1;1;0;1;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;
2004 48 5;964;25044911011;20;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;
2004 48 5;965;25044911196;20;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;
2004 48 5;966;25044850243;20;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 48 5;967;25044850177;20;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 48 5;968;25044840075;20;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;969;25044850909;20;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;
2004 48 5;970;25044850272;20;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 48 5;971;25044840270;20;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 48 5;972;25044940739;20;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;973;25044850039;20;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 48 5;974;25044911255;20;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;
2004 48 5;975;25044950303;20;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;
2004 48 5;976;25044830231;20;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;
2004 48 5;977;25044911225;20;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 48 5;978;25044920619;20;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;
2004 48 5;979;25044920344;20;1;0;1;1;0;1;0;1;0;0;0;1;0;1;0;0;1;1;0;0;
2004 48 5;980;25044940629;20;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 48 5;981;25044911323;20;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;
2004 48 5;982;25044940661;20;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 48 5;983;25045010183;20;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;
2004 48 5;984;25044911317;20;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;985;25045020530;20;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 48 5;986;25044940219;20;0;1;1;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;
2004 48 5;987;25044911321;20;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;
2004 48 5;988;25045020529;20;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 48 5;989;25044911311;20;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;990;25044940635;20;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 48 5;991;25044911318;20;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;
2004 48 5;992;25044940465;20;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;
2004 48 5;993;25044911315;20;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;994;25045020528;20;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 48 5;995;25044911322;20;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 48 5;996;25045010184;19;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;
2004 49 1;1;25044911328;19;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;
2004 49 1;2;25044850037;19;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;3;25044920184;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;4;25044830049;19;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;
2004 49 1;5;25044911411;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;6;25044920260;19;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;7;25044911438;13;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;8;25044850036;19;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;
2004 49 1;9;25044920259;19;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;10;25044911071;13;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;
2004 49 1;11;25044911363;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;12;25044920263;13;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;13;25044850872;13;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 49 1;14;25044950197;13;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;
2004 49 1;15;25044911360;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;16;25044911327;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;17;25044920141;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;18;25044911395;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;19;25044850697;13;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 49 1;20;25044850153;13;1;1;1;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;
2004 49 1;21;25044920669;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;22;25044911451;19;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;1;
2004 49 1;23;25044920257;19;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;24;25044911259;13;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;
2004 49 1;25;25044840046;15;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;
2004 49 1;26;25044910394;19;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;
2004 49 1;27;25044911116;13;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 49 1;28;25044911312;19;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;29;25044910018;13;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;30;25044911422;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;31;25044911361;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;32;25044850147;13;1;1;0;0;1;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;
2004 49 1;33;25044850698;13;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 49 1;34;25044920067;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;35;25044911335;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;36;25044920668;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;37;25044910247;13;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;38;25044911439;19;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;
2004 49 1;39;25044850615;13;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 49 1;40;25044920258;19;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;41;25044911344;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;42;25044911416;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;43;25044920245;19;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;44;25044911413;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;45;25044850365;13;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 49 1;46;25044910364;13;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;47;25044911401;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;48;25044911427;13;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;
2004 49 1;49;25044920254;19;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;50;25044911357;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;51;25044920499;19;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;
2004 49 1;52;25044920072;19;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;53;25044911421;13;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;54;25044911324;19;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;
2004 49 1;55;25044920253;19;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;56;25044911247;15;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;57;25044840036;15;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;
2004 49 1;58;25044911313;19;1;1;1;1;1;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1;
2004 49 1;59;25044850466;13;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 49 1;60;25044911384;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;61;25044920155;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;62;25044850923;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;63;25044850907;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;64;25044911412;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;65;25044920132;19;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;66;25044850098;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 49 1;67;25044911133;15;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;
2004 49 1;68;25044920665;19;1;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;
2004 49 1;69;25044850899;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;70;25044850005;13;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 49 1;71;25044910096;13;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;72;25044911339;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;73;25044911330;13;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;
2004 49 1;74;25044920074;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;75;25044920233;19;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;76;25044911333;13;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;
2004 49 1;77;25044911378;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;78;25044920117;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;79;25044850004;13;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 49 1;80;25044911381;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;81;25044911325;19;1;1;1;0;1;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1;
2004 49 1;82;25044850683;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;83;25044911441;19;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;
2004 49 1;84;25044920065;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;85;25044820029;13;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;
2004 49 1;86;25044911374;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;87;25044920073;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;88;25044850714;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;89;25044911402;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;90;25044920005;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;91;25044850901;15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;92;25044840047;15;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;
2004 49 1;93;25044940224;19;1;1;1;1;1;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1;
2004 49 1;94;25044911063;13;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;
2004 49 1;95;25044850741;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;96;25044920187;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;97;25044911342;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;98;25044850738;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;99;25044910934;13;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;
2004 49 1;100;25044910255;13;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;101;25044911450;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;
2004 49 1;102;25044911106;13;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 49 1;103;25044910064;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;104;25044940695;19;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;
2004 49 1;105;25044850599;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;106;25044950108;19;1;1;1;0;1;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1;
2004 49 1;107;25044911345;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;108;25044910936;13;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;
2004 49 1;109;25044920265;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;110;25044910669;19;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;
2004 49 1;111;25044911234;13;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 49 1;112;25044920119;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;113;25044911354;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;114;25044850695;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;115;25044910040;13;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;116;25044911114;13;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;
2004 49 1;117;25044911393;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;118;25044920153;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;119;25044850493;13;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;
2004 49 1;120;25044850739;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;121;25044911415;19;1;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;
2004 49 1;122;25044840035;15;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;
2004 49 1;123;25044910989;15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;124;25044920140;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;125;25044911404;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;126;25044830048;19;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;
2004 49 1;127;25044920066;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;128;25044850742;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;129;25044911362;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;130;25044850523;13;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;
2004 49 1;131;25045020227;19;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;132;25044850737;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;133;25044920661;19;1;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;
2004 49 1;134;25044920512;14;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;135;25044940283;14;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;
2004 49 1;136;25044920248;19;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;137;25044911099;13;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 49 1;138;25044911341;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;139;25044920217;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;140;25044850685;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;141;25044910751;19;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;
2004 49 1;142;25044920154;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;143;25044910915;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;
2004 49 1;144;25044911390;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;145;25044940214;15;0;1;1;0;1;1;0;0;1;0;0;1;0;1;0;1;1;0;0;0;
2004 49 1;146;25044911428;13;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;147;25044920085;19;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;148;25044911336;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;149;25044911104;13;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 49 1;150;25044910256;13;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;151;25044850686;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;152;25044911389;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;153;25044920142;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;154;25044850684;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;155;25044840033;15;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;
2004 49 1;156;25044920032;19;1;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;
2004 49 1;157;25044850736;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 49 1;158;25044850518;13;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;
2004 49 1;159;25044911028;13;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 49 1;160;25044911338;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;161;25044920075;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;162;25044920493;13;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;
2004 49 1;163;25044911410;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 49 1;164;25044920083;19;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;165;25044911423;19;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;
